State_Cd,State,PlanType,NoRounding,ExtendedText,RoundingPermitted?,DropDownTableVersion
AK,Alaska,No Value,False,False,False,No Value
AL,Alabama,Range,False,False,True,Three
AR,Arkansas,Range,False,False,True,Three
AZ,Arizona,Range,False,False,True,Three
CA,California,No Range,True,True,False,One
CO,Colorado,Range,False,False,True,Three
CT,Connecticut,Range,False,False,True,Three
DC,District of Columbia,Range,True,False,False,Three
DE,Delaware,Range,False,False,True,Three
FL,Florida,No Range,True,True,False,One
GA,Georgia,No Range,False,True,True,One
HI,Hawaii,No Range,False,True,True,One
IA,Iowa,Range,False,False,True,Three
ID,Idaho,Range,False,False,True,Three
IL,Illinois,Range,False,False,True,Three
IN,Indiana,Range,True,False,False,Three
KS,Kansas,No Range,False,False,True,Two
KY,Kentucky,Range,False,False,True,Three
LA,Louisiana,No Value,False,False,False,No Value
MA,Massachusetts,Range,False,False,True,Three
MD,Maryland,No Range,False,False,True,Two
ME,Maine,No Value,False,False,False,No Value
MI,Michigan,Range,False,False,True,Three
MN,Minnesota,Range,False,False,True,Three
MO,Missouri,No Range,False,True,True,One
MS,Mississippi,Range,False,False,True,Three
MT,Montana,Range,False,False,True,Three
NC,North Carolina,Range,False,False,True,Three
ND,North Dakota,Range,False,False,True,Three
NE,Nebraska,No Range,False,False,True,Two
NH,New Hampshire,Range,False,False,True,Three
NJ,New Jersey,Range,False,False,True,Three
NM,New Mexico,No Value,False,False,False,No Value
NV,Nevada,Range,False,False,True,Three
NY,New York,No Value,False,False,False,No Value
NYFTZ,New York (FTZ),Range,False,False,True,Three
OH,Ohio,Range,False,False,True,Three
OK,Oklahoma,No Range,False,True,True,One
OR,Oregon,Range,False,False,True,Three
PA,Pennsylvania,Range,False,False,True,Three
RI,Rhode Island,No Range,False,False,True,Two
SC,South Carolina,Range,False,False,True,Three
SD,South Dakota,No Range,True,False,False,Two
TN,Tennessee,Range,False,False,True,Three
TX,Texas,Range,False,False,True,Three
UT,Utah,Range,False,False,True,Three
VA,Virginia,Range,False,False,True,Three
VT,Vermont,No Value,False,False,False,No Value
WA,Washington,No Range,True,False,False,Two
WI,Wisconsin,Range,False,False,True,Three
WV,West Virginia,Range,False,False,True,Three
WY,Wyoming,No Value,False,False,False,No Value
