Step,Factor,ListType,PlanType,Activity,Value,Min,Max
3,Merger and Acquisition Activity,True,No Range,No Activity,1.0,0.0,0.0
3,Merger and Acquisition Activity,True,No Range,Limited Activity – acquisitions in the last 5 years <15% of total company assets,1.1,0.0,0.0
3,Merger and Acquisition Activity,True,No Range,Significant Activity – acquisitions in the last 5 years >= 15% of total company assets,1.2,0.0,0.0
3,Merger and Acquisition Activity,False,No Range,No Activity,1.0,0.0,0.0
3,Merger and Acquisition Activity,False,No Range,Limited Activity,1.1,0.0,0.0
3,Merger and Acquisition Activity,False,No Range,Significant Activity,1.2,0.0,0.0
3,Merger and Acquisition Activity,False,Range,No Activity,0.0,0.85,1.0
3,Merger and Acquisition Activity,False,Range,Limited Activity,0.0,1.0,1.15
3,Merger and Acquisition Activity,False,Range,Significant Activity,0.0,1.15,1.3
4,Profitability,True,No Range,Poor - more than one of the following:  debt increase >20% in last 12 months; more than one year net loss; increase in cost of goods sold,1.15,0.0,0.0
4,Profitability,True,No Range,Fair – increase in debt; negative operating and net income,1.05,0.0,0.0
4,Profitability,True,No Range,Good – level debt; steady positive earnings; making operating profit; stable cost of goods sold,1.0,0.0,0.0
4,Profitability,True,No Range,Very Good – slightly lower debt; slight increase in operating and net income,0.9,0.0,0.0
4,Profitability,True,No Range,Excellent – significantly decreased debt trends; increased operating income and net income by more than 20% over prior year; decrease in cost of goods sold,0.85,0.0,0.0
4,Profitability,False,No Range,Poor,1.15,0.0,0.0
4,Profitability,False,No Range,Fair,1.05,0.0,0.0
4,Profitability,False,No Range,Good,1.0,0.0,0.0
4,Profitability,False,No Range,Very Good,0.9,0.0,0.0
4,Profitability,False,No Range,Excellent,0.85,0.0,0.0
4,Profitability,False,Range,Below Average,0.0,1.0,1.15
4,Profitability,False,Range,Average,0.0,1.0,1.0
4,Profitability,False,Range,Above Average,0.0,0.85,1.0
5,Quality of Balance Sheet,True,No Range,"Poor – more than one of the following:  more than 1 year of operating losses; downward trend in revenues over more than 12 months; less profitable than peers; writeoffs, restructuring",1.15,0.0,0.0
5,Quality of Balance Sheet,True,No Range,"Fair – one of the following:  more than 1 year of operating losses; downward trend in revenues over more than 12 months; less profitable than peers; writeoffs, restructuring",1.05,0.0,0.0
5,Quality of Balance Sheet,True,No Range,Good – generally positive earnings; profitability on par with peers; growth levels appropriate to market and industry,1.0,0.0,0.0
5,Quality of Balance Sheet,True,No Range,Very Good – one of the following:  consistently strong earnings; positive trend in revenues over last 12 months or more; more profitable than peers,0.9,0.0,0.0
5,Quality of Balance Sheet,True,No Range,Excellent – more than one of the following:  consistently strong earnings; positive trend in revenues over last 12 months or more; more profitable than peers,0.85,0.0,0.0
5,Quality of Balance Sheet,False,No Range,Poor,1.15,0.0,0.0
5,Quality of Balance Sheet,False,No Range,Fair,1.05,0.0,0.0
5,Quality of Balance Sheet,False,No Range,Good,1.0,0.0,0.0
5,Quality of Balance Sheet,False,No Range,Very Good,0.9,0.0,0.0
5,Quality of Balance Sheet,False,No Range,Excellent,0.85,0.0,0.0
5,Quality of Balance Sheet,False,Range,Below Average,0.0,1.0,1.15
5,Quality of Balance Sheet,False,Range,Average,0.0,1.0,1.0
5,Quality of Balance Sheet,False,Range,Above Average,0.0,0.85,1.0
6,Cash Flow from Operations,True,No Range,Poor – inadequate cash position related to debt and profitability; relies on bank line of credit for short term cash needs; will require debt or equity financing to meet future cash needs,1.15,0.0,0.0
6,Cash Flow from Operations,True,No Range,Fair – breakeven cash position; breakeven working capital,1.05,0.0,0.0
6,Cash Flow from Operations,True,No Range,Good – adequate cash position; positive working capital,1.0,0.0,0.0
6,Cash Flow from Operations,True,No Range,Very Good – sufficient cash flow to operate; positive cash flow from operations; bank line of credit,0.9,0.0,0.0
6,Cash Flow from Operations,True,No Range,Excellent – cash exceeds operating needs; sufficient cash to pay off all debts,0.85,0.0,0.0
6,Cash Flow from Operations,False,No Range,Poor,1.15,0.0,0.0
6,Cash Flow from Operations,False,No Range,Fair,1.05,0.0,0.0
6,Cash Flow from Operations,False,No Range,Good,1.0,0.0,0.0
6,Cash Flow from Operations,False,No Range,Very Good,0.9,0.0,0.0
6,Cash Flow from Operations,False,No Range,Excellent,0.85,0.0,0.0
6,Cash Flow from Operations,False,Range,Below Average,0.0,1.0,1.15
6,Cash Flow from Operations,False,Range,Average,0.0,1.0,1.0
6,Cash Flow from Operations,False,Range,Above Average,0.0,0.85,1.0
7,Financial Restatements,True,No Range,Yes,1.2,0.0,0.0
7,Financial Restatements,True,No Range,No,1.0,0.0,0.0
7,Financial Restatements,False,No Range,Yes,1.2,0.0,0.0
7,Financial Restatements,False,No Range,No,1.0,0.0,0.0
7,Financial Restatements,False,Range,Yes,0.0,1.0,1.5
7,Financial Restatements,False,Range,No,0.0,1.0,1.0
