State,PlanVersion
Alaska,0
Alabama,2
Arkansas,2
Arizona,2
California,3
Colorado,2
Connecticut,2
District of Columbia,2
Delaware,2
Florida,2
Georgia,2
Hawaii,2
Iowa,2
Idaho,2
Illinois,2
Indiana,2
Kansas,2
Kentucky,2
Louisiana,0
Massachusetts,2
Maryland,2
Maine,0
Michigan,2
Minnesota,2
Missouri,2
Mississippi,2
Montana,2
North Carolina,2
North Dakota,2
Nebraska,2
New Hampshire,2
New Jersey,2
New Mexico,0
Nevada,2
New York,0
New York (FTZ),1
Ohio,2
Oklahoma,2
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,2
South Dakota,2
Tennessee,2
Texas,2
Utah,2
Virginia,2
Vermont,0
Washington,2
Wisconsin,2
West Virginia,2
Wyoming,0
