State,Code
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
District of Columbia,DC
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
New York (FTZ),NYFTZ
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
Bahamas,No Code
Carribbean,No Code
Bermuda,No Code
Canada,No Code
Puerto Rico,No Code
US Virgin Islands,No Code
Alberta,No Code
British Columbia,No Code
Manitoba,No Code
New Brunswick,No Code
Newfoundland and Labrador,No Code
Northwest Territories,No Code
Nova Scotia,No Code
Nunavut,No Code
Ontario,No Code
Prince Edward Island,No Code
Quebec,No Code
Saskatchewan,No Code
Yukon,No Code
