Attachment Point Lower,Attachment Point Upper,Below Average Lower,Below Average Upper,Average Lower,Average Upper,Above Average Lower,Above Average Upper,Limited Lower,Limited Upper
0,10000,0.0,0.0114,0.0,0.0101,0.0,0.01,0.0,0.0101
10000,15000,0.0114,0.0171,0.0101,0.0152,0.01,0.015,0.0101,0.0152
15000,20000,0.0171,0.0227,0.0152,0.0202,0.015,0.02,0.0152,0.0202
20000,25000,0.0227,0.0284,0.0202,0.0253,0.02,0.025,0.0202,0.0253
25000,50000,0.0284,0.0568,0.0253,0.0505,0.025,0.05,0.0253,0.0505
50000,100000,0.0568,0.1135,0.0505,0.101,0.05,0.1,0.0505,0.101
100000,250000,0.1135,0.2806,0.101,0.2525,0.1,0.2501,0.101,0.2525
250000,500000,0.2806,0.543,0.2525,0.5041,0.2501,0.5001,0.2525,0.5041
500000,1000000,0.543,1.0,0.5041,1.0,0.5001,1.0,0.5041,1.0
1000000,2000000,1.0,1.6962,1.0,1.945,1.0,1.9972,1.0,1.945
2000000,3000000,1.6962,2.1986,1.945,2.8173,1.9972,2.9877,1.945,2.8173
3000000,4000000,2.1986,2.5784,2.8173,3.618,2.9877,3.9683,2.8173,3.618
4000000,5000000,2.5784,2.8754,3.618,4.3533,3.9683,4.9364,3.618,4.3533
5000000,10000000,2.8754,3.7262,4.3533,7.2646,4.9364,9.5509,4.3533,7.2646
10000000,15000000,3.7262,4.1202,7.2646,9.312,9.5509,13.7607,7.2646,9.312
15000000,20000000,4.1202,4.3397,9.312,10.8305,13.7607,17.585,9.312,10.8305
20000000,25000000,4.3397,4.4756,10.8305,12.0006,17.585,21.0641,10.8305,12.0006
25000000,30000000,4.4756,4.5659,12.0006,12.9284,21.0641,24.2387,12.0006,12.9284
30000000,35000000,4.5659,4.6289,12.9284,13.6806,24.2387,27.1458,12.9284,13.6806
35000000,40000000,4.6289,4.6746,13.6806,14.3014,27.1458,29.8174,13.6806,14.3014
40000000,45000000,4.6746,4.7087,14.3014,14.8211,29.8174,32.2809,14.3014,14.8211
45000000,50000000,4.7087,4.7348,14.8211,15.2617,32.2809,34.5598,14.8211,15.2617
50000000,60000000,4.7348,4.7714,15.2617,15.9652,34.5598,38.6413,15.2617,15.9652
60000000,70000000,4.7714,4.7951,15.9652,16.4985,38.6413,42.1914,15.9652,16.4985
70000000,80000000,4.7951,4.8113,16.4985,16.9137,42.1914,45.3074,16.4985,16.9137
80000000,90000000,4.8113,4.8227,16.9137,17.244,45.3074,48.0641,16.9137,17.244
90000000,100000000,4.8227,4.831,17.244,17.5113,48.0641,50.5195,17.244,17.5113
100000000,125000000,4.831,4.8439,17.5113,17.9937,50.5195,55.6211,17.5113,17.9937
125000000,150000000,4.8439,4.8508,17.9937,18.3094,55.6211,59.6163,17.9937,18.3094
150000000,175000000,4.8508,4.8548,18.3094,18.5272,59.6163,62.8212,18.3094,18.5272
175000000,200000000,4.8548,4.8574,18.5272,18.6835,62.8212,65.4417,18.5272,18.6835
200000000,250000000,4.8574,4.8602,18.6835,18.887,65.4417,69.4494,18.6835,18.887
250000000,300000000,4.8602,4.8615,18.887,19.0089,69.4494,72.3462,18.887,19.0089
300000000,400000000,4.8615,4.8627,19.0089,19.1395,72.3462,76.1916,19.0089,19.1395
400000000,500000000,4.8627,4.8632,19.1395,19.2028,76.1916,78.5721,19.1395,19.2028
500000000,600000000,4.8632,4.8634,19.2028,19.2374,78.5721,80.152,19.2028,19.2374
600000000,700000000,4.8634,4.8634,19.2374,19.2374,80.152,80.152,19.2374,19.2374
