GroupItem,GroupType,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGRICULTURE,Claims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
AGRICULTURE,Exposure,14.0,14.0,14.0,15.0,11.43609,10.84953,11.40328,10.17274,11.45201,11.656,11.656,11.6823,13.38205,11.85057,12.34336,11.31989,11.24929,8.030241759310687,7.816848594413304,9.477862546505659,11.373903323640318,11.373903323640318
AGRICULTURE,Base Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08834008104319035,0.0,0.0,0.0,0.0,0.0,0.08792056443116848
BROADCASTING,Claims,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0
BROADCASTING,Exposure,52.0,47.0,43.0,37.0,55.60762,54.63402,55.21836,49.62643,46.30924,49.94944,51.69277,47.23635,57.20425,53.9113,55.26665,52.2128,45.14067,51.82886334881826,53.283011546347076,55.80492022662743,47.499875427997395,47.499875427997395
BROADCASTING,Base Frequency,0.057692307692307696,0.0,0.0,0.05405405405405406,0.0,0.03660722751135648,0.03621983702522132,0.020150552840492456,0.0,0.0,0.019345065083569712,0.0,0.0,0.018548986947077885,0.0,0.0,0.06645891609495384,0.0,0.0,0.01791956687580476,0.02105268679106008,0.02105268679106008
COMMUNICATIONS,Claims,17.0,4.0,6.0,3.0,5.0,7.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0,7.0,0.0,2.0,0.0,5.0
COMMUNICATIONS,Exposure,125.0,123.0,89.0,83.0,93.071,87.46668,83.58126,75.17928,72.7264,73.95703,73.36894,67.02181,69.242,68.24815,63.41516,64.17462,67.31454,73.15444215165411,54.395032346335405,57.71837809572091,52.6789058306044,52.6789058306044
COMMUNICATIONS,Base Frequency,0.136,0.032520325203252036,0.06741573033707865,0.03614457831325301,0.053722426964360546,0.08003047560511042,0.01196440446099999,0.039904612015438296,0.0,0.013521365041294925,0.0,0.04476154851681863,0.01444210161462696,0.014652411823617198,0.0,0.06232993666343486,0.029711262975279935,0.09568796909815164,0.0,0.034651008326726955,0.0,0.09491465172185096
COMMUNICATIONS EQUIPMENT MANUFACTURING (DURABLE),Claims,17.0,9.0,8.0,9.0,7.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,7.0,6.0,1.0,2.0,0.0,2.0
COMMUNICATIONS EQUIPMENT MANUFACTURING (DURABLE),Exposure,168.0,153.0,138.0,120.0,121.8345,123.7935,118.8754,94.2488,85.39049,98.25272,97.05993,86.42888,88.27467,87.01098,89.4328,84.77581,81.69405,81.93588048067605,85.1061844557218,90.49338047640094,70.18847231751299,70.18847231751299
COMMUNICATIONS EQUIPMENT MANUFACTURING (DURABLE),Base Frequency,0.10119047619047619,0.058823529411764705,0.057971014492753624,0.075,0.05745499017109275,0.008077968552468425,0.025236508142138743,0.02122042933172624,0.023421811960559074,0.030533505840856113,0.010302912849823816,0.05785103312688999,0.011328277976003762,0.034478407207917894,0.03354473973754596,0.0353874530954054,0.08568555482314807,0.07322799199570516,0.011750027408645843,0.022101064071991035,0.0,0.028494707662998563
COMPUTER & DATA PROCESSING SERVICES (INC INTERNET),Claims,18.0,12.0,2.0,13.0,6.0,6.0,8.0,4.0,5.0,8.0,4.0,4.0,9.0,4.0,9.0,12.0,17.0,17.0,8.0,9.0,14.0,15.0
COMPUTER & DATA PROCESSING SERVICES (INC INTERNET),Exposure,366.0,324.0,274.0,239.0,244.8854,243.0359,248.678,207.7999,191.6952,219.7403,214.5884,202.2595,219.8166,242.3021,258.6409,262.346,280.5387,371.23837099088814,390.8342228229678,443.7947877230272,444.3525110237934,444.3525110237934
COMPUTER & DATA PROCESSING SERVICES (INC INTERNET),Base Frequency,0.04918032786885246,0.037037037037037035,0.0072992700729927005,0.05439330543933055,0.024501256506104487,0.024687710745614124,0.03217011557114019,0.01924928741544149,0.026083073545920817,0.03640661271510051,0.018640336569917107,0.019776574153500825,0.04094322266835171,0.016508317509423154,0.03479728070850357,0.04574112050498197,0.06059770006776249,0.04579268019796708,0.020469036570586293,0.020279643314821693,0.03150651712925811,0.033756982638490834
CONSTRUCTION,Claims,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
CONSTRUCTION,Exposure,61.0,55.0,47.0,42.0,52.50975,53.93641,56.29288,50.05402,48.24436,49.79144,49.91989,50.94235,56.64888,59.092,57.54472,57.79419,63.38638,65.40231914600359,66.98573557548276,78.43641045064223,87.76987879328624,87.76987879328624
CONSTRUCTION,Base Frequency,0.0,0.0,0.0851063829787234,0.0,0.038088164578959145,0.07416140599643171,0.03552847180673648,0.0,0.020727811499623997,0.0,0.02003209542328719,0.019630032772339715,0.017652599663047178,0.01692276450280918,0.0,0.03460555464139215,0.03155251964223229,0.06115991072228545,0.0,0.0,0.0,0.0
CREDIT INSTITUTIONS,Claims,4.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
CREDIT INSTITUTIONS,Exposure,34.0,33.0,32.0,29.0,32.09014,30.83966,28.87058,25.97412,23.77282,27.34343,23.41805,24.83635,27.68558,28.62121,27.96577,28.53107,32.42958,35.56624167394626,41.07082739342435,44.87146620731307,49.831084015078396,49.831084015078396
CREDIT INSTITUTIONS,Base Frequency,0.11764705882352941,0.06060606060606061,0.0,0.0,0.0311622199217579,0.0,0.10391201008085046,0.07699972126100904,0.0,0.0,0.042702103719139725,0.0,0.07223977247361262,0.03493912381761637,0.0,0.03504950918419814,0.030836045363523055,0.028116549653109436,0.07304454744148435,0.0,0.0,0.020067795428600547
FINANCE / FINANCE,Claims,9.0,1.0,8.0,1.0,1.0,22.0,27.0,2.0,16.0,14.0,5.0,6.0,9.0,7.0,1.0,1.0,7.0,1.0,9.0,3.0,3.0,14.0
FINANCE / FINANCE,Exposure,677.0,628.0,611.0,601.0,578.2148,580.6471,557.9872,506.7581,438.4159,474.0506,471.722,473.5388,524.7448,537.479,553.5507,567.5985,586.0974,642.7165147488554,666.8307912391468,726.785711565742,1486.6511654254396,1486.6511654254396
FINANCE / FINANCE,Base Frequency,0.013293943870014771,0.0015923566878980893,0.01309328968903437,0.0016638935108153079,0.001729461093005575,0.03788876238252115,0.04838820675456354,0.003946656205396618,0.036495026754276017,0.029532712330709,0.010599463243181366,0.012670556245866231,0.017151194256712975,0.013023764649409558,0.0018065192583082272,0.0017618087433282506,0.011943407358572142,0.0015558959153099635,0.01349667729541348,0.004127764143212153,0.0020179582606666712,0.0094171385497778
HEALTH SERVICES ,Claims,6.0,7.0,6.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,4.0,1.0,1.0,1.0,3.0,8.0,6.0,4.0,2.0,2.0,5.0,0.0
HEALTH SERVICES ,Exposure,76.0,67.0,58.0,52.0,76.90642,76.49122,76.39922,69.26783,63.17041,70.88775,68.04225,61.79044,58.07817,58.50912,59.06613,59.11111,57.44975,64.35333105177986,74.84012155211093,77.51234706242612,77.04283848789905,77.04283848789905
HEALTH SERVICES ,Base Frequency,0.07894736842105263,0.1044776119402985,0.10344827586206896,0.038461538461538464,0.02600563125939291,0.03922018762414824,0.026178277736343382,0.04331014844842115,0.09498117868793317,0.028213619419434247,0.05878700366316517,0.01618373327653922,0.017218173368754558,0.017091352595971363,0.0507905291916027,0.13533834840861558,0.10443909677587805,0.062156844636084604,0.02672363377453104,0.025802340863053212,0.06489895878882161,0.0
INSURANCE,Claims,5.0,6.0,1.0,6.0,3.0,6.0,6.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,6.0,4.0,1.0,1.0,1.0
INSURANCE,Exposure,106.0,100.0,105.0,104.0,171.4089,181.1421,188.9359,174.8502,157.3665,164.4261,160.6532,158.1617,163.5983,163.8354,165.4006,165.5937,163.7917,189.74803907846234,180.53102013785204,188.26694232662945,190.4657859986438,190.4657859986438
INSURANCE,Base Frequency,0.04716981132075472,0.06,0.009523809523809525,0.057692307692307696,0.01750200835545879,0.033123166839735214,0.03175680217470581,0.022876725334028784,0.012709185245906848,0.01824527857803597,0.0062245881190041655,0.018967929656800605,0.01833759886257987,0.0061036869931650915,0.012091854564010046,0.012077754165768383,0.018315946412425052,0.03162088013736443,0.022156857015185712,0.005311606953625841,0.0052502867890778055,0.0052502867890778055
INSURANCE / MEDICAL SERVICE AND HEALTH INSURANCE,Claims,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
INSURANCE / MEDICAL SERVICE AND HEALTH INSURANCE,Exposure,24.0,22.0,20.0,21.0,30.90556,29.15096,27.93139,27.20535,25.90215,27.61999,28.72157,28.73818,26.22357,24.74338,24.89094,25.43669,22.36451,32.66289263861097,30.795725050708572,31.52460440705172,28.083507912118346,28.083507912118346
INSURANCE / MEDICAL SERVICE AND HEALTH INSURANCE,Base Frequency,0.041666666666666664,0.045454545454545456,0.0,0.09523809523809523,0.06471327489293188,0.06860837516157273,0.07160402686726296,0.03675747601115222,0.0,0.0,0.034817038205084194,0.0,0.0,0.0,0.08035052111330468,0.0,0.13414110123584197,0.0,0.0,0.0,0.0,0.0
MANUFACTURING (DURABLE),Claims,15.0,19.0,18.0,33.0,16.0,14.0,12.0,17.0,9.0,13.0,1.0,19.0,3.0,18.0,14.0,24.0,3.0,23.0,17.0,4.0,7.0,27.0
MANUFACTURING (DURABLE),Exposure,839.0,783.0,727.0,699.0,712.0946,721.2892,723.378,659.9574,598.4374,664.3148,676.3309,637.9472,675.3254,671.8915,667.9449,649.7815,656.3942,719.7852087411922,819.8217699941881,891.3797245519111,890.9938644903021,890.9938644903021
MANUFACTURING (DURABLE),Base Frequency,0.017878426698450536,0.024265644955300127,0.024759284731774415,0.04721030042918455,0.022468924774882437,0.0194096903156182,0.016588837371332828,0.025759238399326985,0.015039167003933911,0.01956903564394471,0.0014785661870542954,0.029783029065728325,0.0044423029253749385,0.026790039760884014,0.020959812703113687,0.03693549293108529,0.004570424296863074,0.03195397699297533,0.020736214409286198,0.004487425380929284,0.007856395289550493,0.030303238973980472
