Field,ABC UK Average,ABC US Average,ABC Total,Side A UK Average,Side A US Average,Side A Total
Sector Base Frequency,0.031489198290234825,0.02863496957664218,0.02974031515727547,0.026718122298990846,0.030563972791462994,0.029162771280725492
Market Cap Factor,2.0950011304401692,2.0358056831968314,2.057366255723994,2.0205618003887285,1.8071702634697793,1.884991260146099
IPO Factor,1.197706927971466,1.15530864197531,1.171666429086287,1.108653846153846,1.136043956043956,1.1257906976744194
Minimum Trading Volume Factor,1.0,1.0,1.0,1.0,1.0,1.0
Volatility of Trading During Downturn Factor,1.0,1.0,1.0,1.0,1.0,1.0
Percentage of Executives under age 50 Factor,1.0,1.0,1.0,1.0,1.0,1.0
Years in Business Factor,1.0,1.0,1.0,1.0,1.0,1.0
Total Factor,1.0,1.0,1.0,1.0,1.0,1.0
Frequency After CapIQ Score,0.071112361982463,0.06244729442977177,0.06577470747228434,0.05835445398976235,0.05880255218490953,0.05863223930925912
Frequency After Sector SCA Overrides,0.07109402180700299,0.058847636181242335,0.06358183134567337,0.06375677614503723,0.05973048321091073,0.06118127983558751
Frequency After Modifiers,0.07349316531470614,0.05839050070146883,0.06424940358868396,0.06770885333567071,0.05967162967420593,0.06257769152446749
SCA Dismissal Rate,0.5022365900383131,0.5146580246913591,0.5097754872563746,0.5079487179487171,0.5164377289377285,0.5134360465116293
DIC Adjustment,0.0,0.0,0.0,0.8724666874369413,0.8788361988139272,0.8765253993376262
Bankruptcy Load,0.0,0.0,0.0,1.0862698074560235,1.0932514211190545,1.0907185566273598
