Band,Mcap Lower,Mcap Upper,Lower,Upper,M&A Freq Band Lower,M&A Freq Band Upper,Reg Freq Band Lower,Reg Freq Band Upper,Derivative Freq Band Lower,Derivative Freq Band Upper
1,0,25000000,12500000,37500000,0.08004739103085244,0.2889884395831042,0.6,0.6,0.09875038332565944,0.17196143081555104
2,25000000,50000000,37500000,75000000,0.2889884395831042,0.4957199396640618,0.6,0.6,0.17196143081555104,0.18362118364140148
3,50000000,100000000,75000000,175000000,0.4957199396640618,0.8440233180913577,0.6,0.6,0.18362118364140148,1.0
4,100000000,250000000,175000000,375000000,0.8440233180913577,1.0,0.6,1.0,1.0,1.0
5,250000000,500000000,375000000,750000000,1.0,1.1,1.0,1.0,1.0,1.2241474402981773
6,500000000,1000000000,750000000,1750000000,1.1,1.2,1.0,1.0,1.2241474402981773,1.7314467276107375
7,1000000000,2500000000,1750000000,3750000000,1.2,1.3,1.0,1.0,1.7314467276107375,1.8596795055020208
8,2500000000,5000000000,3750000000,7500000000,1.3,1.55,1.0,1.7,1.8596795055020208,2.979619637741267
9,5000000000,10000000000,7500000000,17500000000,1.55,1.8,1.7,2.1,2.979619637741267,3.915429908707795
10,10000000000,25000000000,17500000000,37500000000,1.8,1.9,2.1,3.8,3.915429908707795,4.8193947352725095
11,25000000000,50000000000,37500000000,999000000000,1.9,2.0,3.8,8.0,4.8193947352725095,9.18144305156141
12,50000000000,999000000000000,999000000000,999000000000000,2.0,2.0,8.0,8.0,9.18144305156141,9.18144305156141
