SICCode,SICClass,Class,SuperClass,MacroDescription,SectorName,SectorID,F5Adj,UWComment,UWMessage,RegLevel,NONSCALevel,FrequencyGroup,SICCombined
100,AGRICULTURAL PRODUCTION - CROPS,AGRICULTURAL PRODUCTION - CROPS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,AGRICULTURAL PRODUCTION - CROPS (100)
111,WHEAT,CASH GRAINS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,WHEAT (111)
112,RICE,CASH GRAINS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,RICE (112)
115,CORN,CASH GRAINS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CORN (115)
116,SOYBEANS,CASH GRAINS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,SOYBEANS (116)
119,"CASH GRAINS, NEC",CASH GRAINS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"CASH GRAINS, NEC (119)"
131,COTTON,"FIELD CROPS, EXCEPT CASH GRAINS",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,COTTON (131)
132,TOBACCO,"FIELD CROPS, EXCEPT CASH GRAINS",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,TOBACCO (132)
133,SUGARCANE AND SUGAR BEETS,"FIELD CROPS, EXCEPT CASH GRAINS",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,SUGARCANE AND SUGAR BEETS (133)
134,IRISH POTATOES,"FIELD CROPS, EXCEPT CASH GRAINS",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,IRISH POTATOES (134)
