State,Reference,Indemnification
Alabama,A,0.0
Alaska,A,0.0
Arizona,A,0.0
Arkansas,A,0.0
California,A,0.0
Colorado,A,0.0
Connecticut,A,0.0
Delaware,A,0.0
District of Columbia,A,0.0
Florida,B,0.5
Georgia,A,0.0
Hawaii,A,0.0
Idaho,A,0.0
Illinois,A,0.0
Indiana,A,0.0
Iowa,A,0.0
Kansas,A,0.0
Kentucky,A,0.0
Louisiana,B,0.5
Maine,A,0.0
Maryland,B,0.5
Massachusetts,C,0.75
Michigan,B,0.5
Minnesota,C,0.75
Mississippi,A,0.0
Missouri,B,0.5
Montana,A,0.0
Nebraska,A,0.0
Nevada,B,0.5
New Hampshire,A,0.0
New Jersey,A,0.0
New Mexico,A,0.0
New York,B,0.5
New York (FTZ),B,0.5
North Carolina,A,0.0
North Dakota,C,0.75
Ohio,A,0.0
Oklahoma,A,0.0
Oregon,A,0.0
Pennsylvania,C,0.75
Rhode Island,A,0.0
South Carolina,A,0.0
South Dakota,A,0.0
Tennessee,B,0.5
Texas,B,0.5
Utah,A,0.0
Vermont,A,0.0
Virginia,A,0.0
Washington,A,0.0
West Virginia,A,0.0
Wisconsin,C,0.75
Wyoming,A,0.0
Bahamas,C,0.75
Carribbean,C,0.75
Bermuda,C,0.75
Canada,C,0.75
Puerto Rico,C,0.75
US Virgin Islands,C,0.75
Alberta,C,0.75
British Columbia,C,0.75
Manitoba,C,0.75
New Brunswick,C,0.75
Newfoundland and Labrador,C,0.75
Northwest Territories,C,0.75
Nova Scotia,C,0.75
Nunavut,C,0.75
Ontario,C,0.75
Prince Edward Island,C,0.75
Quebec,C,0.75
Saskatchewan,C,0.75
Yukon,C,0.75
American Samoa,C,0.75
Anguilla,C,0.75
Antigua,C,0.75
Australia,C,0.75
Austria,C,0.75
Bahamas,C,0.75
Barbados,C,0.75
Belgium,C,0.75
Bermuda,C,0.75
British Virgin Islands,C,0.75
Bulgaria,C,0.75
Canada,C,0.75
Cayman Islands,C,0.75
Croatia,C,0.75
Cyprus,C,0.75
Czech Republic,C,0.75
Denmark,C,0.75
Dominica,C,0.75
Estonia,C,0.75
Falkland Islands,C,0.75
Finland,C,0.75
France,C,0.75
French Guiana,C,0.75
French Polynesia,C,0.75
Germany,C,0.75
Gibraltar,C,0.75
Greece,C,0.75
Grenada,C,0.75
Guadeloupe,C,0.75
Guam,C,0.75
Guernsey,C,0.75
Hong Kong SAR,C,0.75
Hungary,C,0.75
Iceland,C,0.75
Ireland,C,0.75
Isle of Man,C,0.75
Israel,C,0.75
Italy,C,0.75
Jamaica,C,0.75
Jersey,C,0.75
Latvia,C,0.75
Liechtenstein,C,0.75
Lithuania,C,0.75
Luxembourg,C,0.75
Malawi,C,0.75
Malta,C,0.75
Martinique,C,0.75
Mauritius,C,0.75
Monaco,C,0.75
Netherlands,C,0.75
New Caledonia,C,0.75
New Zealand,C,0.75
Norway,C,0.75
Panama,C,0.75
Poland,C,0.75
Portugal,C,0.75
Reunion,C,0.75
Romania,C,0.75
Saint Martin,C,0.75
Saint Barthelemy,C,0.75
Singapore,C,0.75
Slovakia,C,0.75
Slovenia,C,0.75
South Africa,C,0.75
Spain,C,0.75
St Kitts & Nevis,C,0.75
St Lucia,C,0.75
St Vincent,C,0.75
Sweden,C,0.75
Switzerland,C,0.75
Trinidad & Tobago,C,0.75
UK,C,0.75
US Virgin Islands,C,0.75
Vanuatu,C,0.75
Wallis & Futuna,C,0.75
Zimbabwe,C,0.75
