Zip,C-GEAR Score
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
22,1
25,1
26,1
27,1
28,1
29,1
31,1
32,1
33,1
34,1
35,1
37,1
38,1
39,1
40,1
41,5
42,4
43,5
44,1
45,3
47,1
48,1
49,1
50,1
51,1
52,1
53,5
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
82,1
83,1
84,1
85,1
87,4
97,5
98,4
100,1
116,1
119,1
120,1
121,1
122,1
124,1
125,2
126,2
127,2
128,2
130,2
132,2
133,2
134,2
135,2
136,1
137,2
138,2
139,2
140,1
141,2
145,1
147,1
148,2
151,2
152,2
155,1
156,1
157,1
158,2
159,1
160,1
161,1
164,1
165,1
166,1
168,2
169,1
170,1
172,1
173,1
174,3
176,2
177,2
179,3
180,2
181,2
182,2
183,2
184,5
185,2
186,1
187,1
188,4
189,1
190,1
191,1
192,1
195,1
197,1
198,1
199,1
200,1
201,1
203,1
205,1
206,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
222,3
223,5
225,3
226,5
228,5
229,3
232,4
234,5
236,1
238,1
241,1
242,1
243,1
244,1
246,1
250,1
252,1
255,1
257,1
258,1
259,1
260,1
266,1
267,1
268,1
270,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
401,1
501,1
544,1
1001,2
1002,2
1003,1
1004,1
1005,2
1007,2
1008,2
1009,3
1010,2
1011,2
1012,2
1013,2
1014,1
1020,2
1021,1
1022,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,3
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,1
1050,2
1053,2
1054,2
1056,2
1057,2
1059,1
1060,2
1061,1
1062,2
1063,1
1066,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1077,2
1079,3
1080,2
1081,2
1082,2
1083,2
1084,2
1085,2
1086,1
1088,2
1089,2
1090,1
1092,2
1093,1
1094,1
1095,2
1096,2
1097,1
1098,2
1101,1
1102,1
1103,2
1104,2
1105,1
1106,2
1107,2
1108,2
1109,2
1111,1
1114,1
1115,1
1116,1
1118,2
1119,2
1128,1
1129,2
1133,1
1138,1
1139,1
1144,1
1151,3
1152,1
1195,1
1199,1
1201,2
1202,1
1203,1
1220,2
1222,2
1223,2
1224,1
1225,2
1226,2
1227,1
1229,1
1230,2
1235,2
1236,2
1237,2
1238,2
1240,2
1242,1
1243,2
1244,2
1245,2
1247,2
1252,1
1253,2
1254,2
1255,2
1256,2
1257,2
1258,2
1259,2
1260,2
1262,2
1263,1
1264,2
1266,2
1267,2
1270,2
1301,2
1302,1
1330,2
1331,2
1337,2
1338,2
1339,2
1340,2
1341,2
1342,2
1343,3
1344,2
1346,2
1347,1
1349,2
1350,3
1351,2
1354,2
1355,2
1360,2
1364,2
1366,2
1367,2
1368,2
1370,2
1373,2
1375,2
1376,2
1378,2
1379,2
1380,1
1420,2
1430,2
1431,2
1432,2
1433,1
1434,2
1436,2
1438,1
1440,2
1441,1
1450,2
1451,2
1452,2
1453,2
1460,2
1462,2
1463,2
1464,2
1466,1
1467,1
1468,2
1469,2
1470,1
1471,1
1472,1
1473,2
1474,2
1475,2
1477,1
1501,2
1503,2
1504,2
1505,2
1506,2
1507,2
1508,1
1509,1
1510,2
1515,2
1516,2
1517,1
1518,2
1519,2
1520,2
1521,2
1522,2
1523,2
1524,2
1525,1
1526,1
1527,2
1529,2
1531,2
1532,2
1534,2
1535,2
1536,2
1537,2
1538,1
1539,1
1540,2
1541,2
1542,2
1543,2
1545,2
1546,1
1550,2
1560,2
1561,1
1562,2
1564,2
1566,2
1568,2
1569,2
1570,2
1571,2
1580,1
1581,2
1582,1
1583,2
1585,2
1586,1
1587,1
1588,2
1590,2
1601,1
1602,2
1603,2
1604,2
1605,2
1606,2
1607,2
1608,1
1609,2
1610,2
1611,2
1612,2
1613,1
1614,1
1615,1
1653,1
1654,1
1655,1
1701,2
1702,2
1703,1
1704,1
1705,1
1718,1
1719,2
1720,2
1721,2
1730,2
1731,2
1740,2
1741,2
1742,2
1745,1
1746,2
1747,2
1748,2
1749,2
1752,2
1754,2
1756,2
1757,2
1760,2
1770,2
1772,2
1773,2
1775,2
1776,2
1778,2
1784,1
1801,2
1803,2
1805,1
1806,1
1807,1
1808,1
1810,2
1812,1
1813,1
1814,1
1815,1
1821,2
1822,1
1824,2
1826,2
1827,2
1830,2
1831,1
1832,2
1833,2
1834,2
1835,2
1840,1
