StateCounty,Unknown,No Signs of Fatigue / Good Maintenance,Few Signs of Fatigue / Average Maintenance,Obvious Signs of Fatigue / Poor Maintenance
AKAleutians East Borough,0.000000000000000000,0.000000000000000000,0.047249804488384700,0.094499603473206200
AKAleutians West Census Area,0.000000000000000000,0.000000000000000000,0.049910537079195000,0.099821065938287000
AKAnchorage Municipality,0.000000000000000000,0.000000000000000000,0.044541306418781400,0.087976995799167400
AKBethel Census Area,0.000000000000000000,0.000000000000000000,0.046572172858523300,0.093137560759050300
AKBristol Bay Borough,0.000000000000000000,0.000000000000000000,0.049535933999602200,0.099069123599828700
AKDenali Borough,0.000000000000000000,0.000000000000000000,0.048583069704977800,0.097132186656057500
AKDillingham Census Area,0.000000000000000000,0.000000000000000000,0.049815442743519100,0.099630828667120600
AKFairbanks North Star Borough,0.000000000000000000,0.000000000000000000,0.047137171608957300,0.093351865106360700
AKHaines Borough,0.000000000000000000,0.000000000000000000,0.049835024609640000,0.099670032864039200
AKHoonah-Angoon Census Area,0.000000000000000000,0.000000000000000000,0.043487374444845800,0.086974754257908000
AKJuneau Borough,0.000000000000000000,0.000000000000000000,0.047890175346469100,0.095743347633083300
AKKenai Peninsula Borough,0.000000000000000000,0.000000000000000000,0.048358528026996000,0.095875074397567200
AKKetchikan Gateway Borough,0.000000000000000000,0.000000000000000000,0.049615718792074900,0.099231440778984900
AKKodiak Island Borough,0.000000000000000000,0.000000000000000000,0.050030526402587500,0.099787242612685300
AKKusilvak,0.000000000000000000,0.000000000000000000,0.046804913016446700,0.093609823382603000
AKMatanuska-Susitna Borough,0.000000000000000000,0.000000000000000000,0.046858322189743400,0.092908815007167100
AKNome Census Area,0.000000000000000000,0.000000000000000000,0.047896647316583400,0.095793298685367600
AKNorth Slope Borough,0.000000000000000000,0.000000000000000000,0.047978254733379400,0.095956497521483300
AKNorthwest Arctic Borough,0.000000000000000000,0.000000000000000000,0.048149715125796100,0.096299421499561600
AKPeninsula And Lake Borough,0.000000000000000000,0.000000000000000000,0.047014723722541300,0.094027487880477400
AKPetersburg Census Area,0.000000000000000000,0.000000000000000000,0.049919096177355700,0.099838191718190300
AKPrince Of Wales-Hyder Census Area,0.000000000000000000,0.000000000000000000,0.049780655095695200,0.099561307273054100
AKSitka Borough,0.000000000000000000,0.000000000000000000,0.049766064999181800,0.099532145780788500
AKSkagway Municipality,0.000000000000000000,0.000000000000000000,0.049002060318976000,0.098004102691608800
AKSoutheast Fairbanks Census Area,0.000000000000000000,0.000000000000000000,0.049719717669931800,0.099435368971020800
AKValdez-Cordova Census Area,0.000000000000000000,0.000000000000000000,0.046442350358558300,0.091335719864894700
AKWrangell City And Borough,0.000000000000000000,0.000000000000000000,0.049828960982711200,0.099657919078990400
AKYakutat Borough,0.000000000000000000,0.000000000000000000,0.035520377514724600,0.071040753736494500
AKYukon-Koyukuk Census Area,0.000000000000000000,0.000000000000000000,0.047261051139629400,0.094495168308017300
ALAutauga County,0.000000000000000000,0.000000000000000000,0.049069717367959700,0.097190619720091400
ALBaldwin County,0.000000000000000000,0.000000000000000000,0.047465000749872000,0.093554648016894700
ALBarbour County,0.000000000000000000,0.000000000000000000,0.049577071237029800,0.098523449548617600
ALBibb County,0.000000000000000000,0.000000000000000000,0.049145144054426600,0.097521632305492600
ALBlount County,0.000000000000000000,0.000000000000000000,0.049122310156130400,0.097482941344999400
ALBullock County,0.000000000000000000,0.000000000000000000,0.048913353802698900,0.097017096711489200
ALButler County,0.000000000000000000,0.000000000000000000,0.049443655872892800,0.098225702228992500
ALCalhoun County,0.000000000000000000,0.000000000000000000,0.049099421321322100,0.097694627464503400
ALChambers County,0.000000000000000000,0.000000000000000000,0.049059009632823400,0.097374117913117600
ALCherokee County,0.000000000000000000,0.000000000000000000,0.048957044432038000,0.097331473072449700
ALChilton County,0.000000000000000000,0.000000000000000000,0.049277303392015300,0.097863625799722500
ALChoctaw County,0.000000000000000000,0.000000000000000000,0.049065426872797500,0.097732137691931300
ALClarke County,0.000000000000000000,0.000000000000000000,0.049353954608202700,0.098149290959542300
ALClay County,0.000000000000000000,0.000000000000000000,0.048905395941503600,0.097197139102187300
ALCleburne County,0.000000000000000000,0.000000000000000000,0.049517181660371400,0.098617770231814100
ALCoffee County,0.000000000000000000,0.000000000000000000,0.049498743442491600,0.098383333889628300
ALColbert County,0.000000000000000000,0.000000000000000000,0.049423024553890000,0.098407745014560800
ALConecuh County,0.000000000000000000,0.000000000000000000,0.048955919295128300,0.097290331866040300
ALCoosa County,0.000000000000000000,0.000000000000000000,0.049190307992061300,0.097853336735444800
ALCovington County,0.000000000000000000,0.000000000000000000,0.049158451904796700,0.097514879620719000
ALCrenshaw County,0.000000000000000000,0.000000000000000000,0.049199201731341800,0.097754197549968900
ALCullman County,0.000000000000000000,0.000000000000000000,0.049287633767574500,0.098198625016369300
ALDale County,0.000000000000000000,0.000000000000000000,0.049147803569131300,0.097679247999495200
ALDallas County,0.000000000000000000,0.000000000000000000,0.049513698306476600,0.098544562201916500
ALDekalb County,0.000000000000000000,0.000000000000000000,0.049613813669931300,0.098888883491876600
ALElmore County,0.000000000000000000,0.000000000000000000,0.048699774407025000,0.096351954808243200
ALEscambia County,0.000000000000000000,0.000000000000000000,0.048904298629089100,0.096846630410014000
ALEtowah County,0.000000000000000000,0.000000000000000000,0.048891319251998600,0.096945218404741900
ALFayette County,0.000000000000000000,0.000000000000000000,0.049641910826912400,0.098924767000288000
ALFranklin County,0.000000000000000000,0.000000000000000000,0.049874025094055700,0.099597085260014100
ALGeneva County,0.000000000000000000,0.000000000000000000,0.048957499347620900,0.097253671075335100
ALGreene County,0.000000000000000000,0.000000000000000000,0.049009460115603700,0.097525243241839400
ALHale County,0.000000000000000000,0.000000000000000000,0.049305794972912100,0.098123436051498000
ALHenry County,0.000000000000000000,0.000000000000000000,0.049405942589108000,0.098150544330459100
ALHouston County,0.000000000000000000,0.000000000000000000,0.049116535895483900,0.097654615431148200
ALJackson County,0.000000000000000000,0.000000000000000000,0.049567166596016500,0.098854889253569200
ALJefferson County,0.000000000000000000,0.000000000000000000,0.048306129066259000,0.094957734392218800
ALLamar County,0.000000000000000000,0.000000000000000000,0.049650489516652500,0.099028638052941300
ALLauderdale County,0.000000000000000000,0.000000000000000000,0.049786696677140500,0.099366529141011700
ALLawrence County,0.000000000000000000,0.000000000000000000,0.049459383781685000,0.098557930833286700
ALLee County,0.000000000000000000,0.000000000000000000,0.048241695071477700,0.095687087146013600
ALLimestone County,0.000000000000000000,0.000000000000000000,0.049317737972892400,0.098148754874961600
ALLowndes County,0.000000000000000000,0.000000000000000000,0.049505558231806900,0.098219513792448600
ALMacon County,0.000000000000000000,0.000000000000000000,0.048946034276307900,0.097029271448916500
ALMadison County,0.000000000000000000,0.000000000000000000,0.049115647560398200,0.097184144122924200
ALMarengo County,0.000000000000000000,0.000000000000000000,0.049478024115189500,0.098425075515847300
ALMarion County,0.000000000000000000,0.000000000000000000,0.049788852076015000,0.099201725910913300
ALMarshall County,0.000000000000000000,0.000000000000000000,0.049370973061711800,0.098252477886013200
ALMobile County,0.000000000000000000,0.000000000000000000,0.047363298788580100,0.093195603774023800
ALMonroe County,0.000000000000000000,0.000000000000000000,0.048966768608338400,0.097276213814983200
ALMontgomery County,0.000000000000000000,0.000000000000000000,0.048486935277604500,0.095586837048305300
ALMorgan County,0.000000000000000000,0.000000000000000000,0.049118193081188600,0.097492624197245100
ALPerry County,0.000000000000000000,0.000000000000000000,0.049666042899226400,0.098872525664966100
ALPickens County,0.000000000000000000,0.000000000000000000,0.049677483095620600,0.098862109126753000
ALPike County,0.000000000000000000,0.000000000000000000,0.049599084216476600,0.098600382070617800
ALRandolph County,0.000000000000000000,0.000000000000000000,0.049218672672089100,0.097806341945005300
ALRussell County,0.000000000000000000,0.000000000000000000,0.048657650297309500,0.096476284724276600
ALShelby County,0.000000000000000000,0.000000000000000000,0.048678354274719800,0.096202177648937500
ALSt. Clair County,0.000000000000000000,0.000000000000000000,0.048845331829056500,0.096740984526948500
ALSumter County,0.000000000000000000,0.000000000000000000,0.049689616288791200,0.098916018565692800
ALTalladega County,0.000000000000000000,0.000000000000000000,0.049195233929814100,0.097590974262362600
ALTallapoosa County,0.000000000000000000,0.000000000000000000,0.049346769815074900,0.098260906689997300
ALTuscaloosa County,0.000000000000000000,0.000000000000000000,0.047994615932276800,0.095126041133974700
ALWalker County,0.000000000000000000,0.000000000000000000,0.049445423092433000,0.098443847692865100
ALWashington County,0.000000000000000000,0.000000000000000000,0.048638110264383400,0.096536366988794000
ALWilcox County,0.000000000000000000,0.000000000000000000,0.049112798665628600,0.097604177026626700
ALWinston County,0.000000000000000000,0.000000000000000000,0.049603360979739700,0.098969994580522900
ARArkansas County,0.000000000000000000,0.000000000000000000,0.050549425306824800,0.098760726372856000
ARAshley County,0.000000000000000000,0.000000000000000000,0.050563352910827100,0.100116905930782000
ARBaxter County,0.000000000000000000,0.000000000000000000,0.049628842595066600,0.099084681883505200
ARBenton County,0.000000000000000000,0.000000000000000000,0.049177394099367400,0.097635793022403700
ARBoone County,0.000000000000000000,0.000000000000000000,0.049662192477752500,0.099113916209641300
ARBradley County,0.000000000000000000,0.000000000000000000,0.050489957556335800,0.099981155461691000
ARCalhoun County,0.000000000000000000,0.000000000000000000,0.050475528637450500,0.099967056512202200
ARCarroll County,0.000000000000000000,0.000000000000000000,0.049552116695231100,0.098779554857070000
ARChicot County,0.000000000000000000,0.000000000000000000,0.050410908121029800,0.099608090377118200
ARClark County,0.000000000000000000,0.000000000000000000,0.049224970664846400,0.097846316114789800
ARClay County,0.000000000000000000,0.000000000000000000,0.048715900808857100,0.094548456142002200
ARCleburne County,0.000000000000000000,0.000000000000000000,0.049921845106797500,0.099317133402899000
ARCleveland County,0.000000000000000000,0.000000000000000000,0.050524341460528500,0.100042284523796000
ARColumbia County,0.000000000000000000,0.000000000000000000,0.049413508281856300,0.098169202047770900
ARConway County,0.000000000000000000,0.000000000000000000,0.049765790823876000,0.098974546385669700
ARCraighead County,0.000000000000000000,0.000000000000000000,0.050188877785486400,0.096573787333301000
ARCrawford County,0.000000000000000000,0.000000000000000000,0.049645331885671100,0.098655860005226100
ARCrittenden County,0.000000000000000000,0.000000000000000000,0.048833286028306300,0.093663276122562600
ARCross County,0.000000000000000000,0.000000000000000000,0.048855631719933300,0.092861385472516700
ARDallas County,0.000000000000000000,0.000000000000000000,0.050311005486195700,0.099730008609441300
ARDesha County,0.000000000000000000,0.000000000000000000,0.050936325322403800,0.100172112968985000
ARDrew County,0.000000000000000000,0.000000000000000000,0.050678917055915200,0.100059764601363000
ARFaulkner County,0.000000000000000000,0.000000000000000000,0.049768933100983800,0.098767712899069600
ARFranklin County,0.000000000000000000,0.000000000000000000,0.049470578640291600,0.098381854461066000
ARFulton County,0.000000000000000000,0.000000000000000000,0.049995648709039400,0.099897761539465400
ARGarland County,0.000000000000000000,0.000000000000000000,0.048623537770993200,0.096202202214759300
ARGrant County,0.000000000000000000,0.000000000000000000,0.050457060088352300,0.099708727296983400
ARGreene County,0.000000000000000000,0.000000000000000000,0.051026503230786200,0.099806568853722200
ARHempstead County,0.000000000000000000,0.000000000000000000,0.049382479871675300,0.098183852059423600
ARHot Spring County,0.000000000000000000,0.000000000000000000,0.049437252375205800,0.097815873494737900
ARHoward County,0.000000000000000000,0.000000000000000000,0.049299563140880600,0.098276099281928500
ARIndependence County,0.000000000000000000,0.000000000000000000,0.050777109364284400,0.100405684445987000
ARIzard County,0.000000000000000000,0.000000000000000000,0.050003743513490600,0.099899317203778100
ARJackson County,0.000000000000000000,0.000000000000000000,0.051021013720609100,0.100221419462466000
ARJefferson County,0.000000000000000000,0.000000000000000000,0.051282411205562500,0.100645198801408000
ARJohnson County,0.000000000000000000,0.000000000000000000,0.049559384377626300,0.098634680921561900
ARLafayette County,0.000000000000000000,0.000000000000000000,0.049596230523878600,0.098592876576875800
ARLawrence County,0.000000000000000000,0.000000000000000000,0.050872978483195800,0.100443337780619000
ARLee County,0.000000000000000000,0.000000000000000000,0.048919019144323800,0.095379504058840100
ARLincoln County,0.000000000000000000,0.000000000000000000,0.051092007981593700,0.100425709136420000
ARLittle River County,0.000000000000000000,0.000000000000000000,0.049593055752554100,0.098642663149270100
ARLogan County,0.000000000000000000,0.000000000000000000,0.049549132065781700,0.098590824297150300
ARLonoke County,0.000000000000000000,0.000000000000000000,0.051045847305228400,0.100149052157914000
ARMadison County,0.000000000000000000,0.000000000000000000,0.049708204040749300,0.099112092717766900
ARMarion County,0.000000000000000000,0.000000000000000000,0.049461081644582000,0.098673327310559300
ARMiller County,0.000000000000000000,0.000000000000000000,0.049180560794512800,0.097740267840775900
ARMississippi County,0.000000000000000000,0.000000000000000000,0.045124638735464900,0.084446764654388500
ARMonroe County,0.000000000000000000,0.000000000000000000,0.050395724662889400,0.098146660646228900
ARMontgomery County,0.000000000000000000,0.000000000000000000,0.049222860996108100,0.097881379194901100
ARNevada County,0.000000000000000000,0.000000000000000000,0.049064689513552300,0.097433980819204800
ARNewton County,0.000000000000000000,0.000000000000000000,0.049539493197559500,0.098746335708057600
AROuachita County,0.000000000000000000,0.000000000000000000,0.050095290374096800,0.099326194634204800
ARPerry County,0.000000000000000000,0.000000000000000000,0.049933489359806700,0.098772992935479500
ARPhillips County,0.000000000000000000,0.000000000000000000,0.049326473529657200,0.096507201470015700
ARPike County,0.000000000000000000,0.000000000000000000,0.049267775940293300,0.098148454640523600
ARPoinsett County,0.000000000000000000,0.000000000000000000,0.044896480657969500,0.084414133140678200
ARPolk County,0.000000000000000000,0.000000000000000000,0.049787948690983800,0.099240452884165100
ARPope County,0.000000000000000000,0.000000000000000000,0.049695340708997900,0.098811998383778300
ARPrairie County,0.000000000000000000,0.000000000000000000,0.050827289990629900,0.099329948599354400
ARPulaski County,0.000000000000000000,0.000000000000000000,0.050353598345160600,0.098865165591334000
ARRandolph County,0.000000000000000000,0.000000000000000000,0.050894620460849400,0.100586717034810000
ARSaline County,0.000000000000000000,0.000000000000000000,0.050104074470787000,0.098652188470844900
ARScott County,0.000000000000000000,0.000000000000000000,0.049727863070215400,0.099026915183966200
ARSearcy County,0.000000000000000000,0.000000000000000000,0.049801950060282900,0.099419549412834000
ARSebastian County,0.000000000000000000,0.000000000000000000,0.049475399092350000,0.098149608827510900
ARSevier County,0.000000000000000000,0.000000000000000000,0.049581198013482800,0.098809289242958800
ARSharp County,0.000000000000000000,0.000000000000000000,0.050067205226699900,0.099901227187084100
ARSt. Francis County,0.000000000000000000,0.000000000000000000,0.049537598696338400,0.096299773905467800
ARStone County,0.000000000000000000,0.000000000000000000,0.049982541700319200,0.099637040425558200
ARUnion County,0.000000000000000000,0.000000000000000000,0.049683594511782600,0.098640993162555800
ARVan Buren County,0.000000000000000000,0.000000000000000000,0.049512146255742200,0.098651497414933500
ARWashington County,0.000000000000000000,0.000000000000000000,0.049089559294504400,0.097389777867480800
ARWhite County,0.000000000000000000,0.000000000000000000,0.051003553556640200,0.100063982553582000
ARWoodruff County,0.000000000000000000,0.000000000000000000,0.051181937296949100,0.100727824002929000
ARYell County,0.000000000000000000,0.000000000000000000,0.049832227714554000,0.099091792819441700
AZApache County,0.000000000000000000,0.000000000000000000,0.049968250345136200,0.099934971718603500
AZCochise County,0.000000000000000000,0.000000000000000000,0.049951495626081800,0.099846283841466700
AZCoconino County,0.000000000000000000,0.000000000000000000,0.049876473180176600,0.099707545538371100
AZGila County,0.000000000000000000,0.000000000000000000,0.049939344787520500,0.099826438865056000
AZGraham County,0.000000000000000000,0.000000000000000000,0.049545884974098200,0.099056193963804800
AZGreenlee County,0.000000000000000000,0.000000000000000000,0.049863113486541900,0.099725786552066200
AZLa Paz County,0.000000000000000000,0.000000000000000000,0.049504179264463900,0.099006334319867100
AZMaricopa County,0.000000000000000000,0.000000000000000000,0.050201309429222600,0.099476457647636400
AZMohave County,0.000000000000000000,0.000000000000000000,0.049674729917607900,0.099348840246167700
AZNavajo County,0.000000000000000000,0.000000000000000000,0.049947545163522100,0.099887982798961800
AZPima County,0.000000000000000000,0.000000000000000000,0.050074636082092900,0.099768989151569000
AZPinal County,0.000000000000000000,0.000000000000000000,0.050077724134385500,0.099720686739199100
