StateCounty,Unknown,Little or None,Average,Extensive
AKAleutians East Borough,0.000000000000000000,-0.009449959700245540,0.000000000000000000,0.047249804488384700
AKAleutians West Census Area,0.000000000000000000,-0.009982107113433390,0.000000000000000000,0.049910537079195000
AKAnchorage Municipality,0.000000000000000000,-0.008155573095344650,0.000000000000000000,0.044541306418781400
AKBethel Census Area,0.000000000000000000,-0.009309519509210220,0.000000000000000000,0.046572172858523300
AKBristol Bay Borough,0.000000000000000000,-0.009905493752564550,0.000000000000000000,0.049535933999602200
AKDenali Borough,0.000000000000000000,-0.009694015520596010,0.000000000000000000,0.048583069704977800
AKDillingham Census Area,0.000000000000000000,-0.009963062436459390,0.000000000000000000,0.049815442743519100
AKFairbanks North Star Borough,0.000000000000000000,-0.008804462460058620,0.000000000000000000,0.047137171608957300
AKHaines Borough,0.000000000000000000,-0.009966993241322440,0.000000000000000000,0.049835024609640000
AKHoonah-Angoon Census Area,0.000000000000000000,-0.008697482584684060,0.000000000000000000,0.043487374444845800
AKJuneau Borough,0.000000000000000000,-0.009553021066011860,0.000000000000000000,0.047890175346469100
AKKenai Peninsula Borough,0.000000000000000000,-0.009078331892646170,0.000000000000000000,0.048358528026996000
AKKetchikan Gateway Borough,0.000000000000000000,-0.009923142667444870,0.000000000000000000,0.049615718792074900
AKKodiak Island Borough,0.000000000000000000,-0.009814271480188650,0.000000000000000000,0.050030526402587500
AKKusilvak,0.000000000000000000,-0.009360983796684820,0.000000000000000000,0.046804913016446700
AKMatanuska-Susitna Borough,0.000000000000000000,-0.008805029839014770,0.000000000000000000,0.046858322189743400
AKNome Census Area,0.000000000000000000,-0.009579331459108610,0.000000000000000000,0.047896647316583400
AKNorth Slope Borough,0.000000000000000000,-0.009595648507233380,0.000000000000000000,0.047978254733379400
AKNorthwest Arctic Borough,0.000000000000000000,-0.009629936969336780,0.000000000000000000,0.048149715125796100
AKPeninsula And Lake Borough,0.000000000000000000,-0.009401593953113240,0.000000000000000000,0.047014723722541300
AKPetersburg Census Area,0.000000000000000000,-0.009983813563025360,0.000000000000000000,0.049919096177355700
AKPrince Of Wales-Hyder Census Area,0.000000000000000000,-0.009956124380021580,0.000000000000000000,0.049780655095695200
AKSitka Borough,0.000000000000000000,-0.009953213881195410,0.000000000000000000,0.049766064999181800
AKSkagway Municipality,0.000000000000000000,-0.009800396888650200,0.000000000000000000,0.049002060318976000
AKSoutheast Fairbanks Census Area,0.000000000000000000,-0.009940829045194440,0.000000000000000000,0.049719717669931800
AKValdez-Cordova Census Area,0.000000000000000000,-0.008219713343405880,0.000000000000000000,0.046442350358558300
AKWrangell City And Borough,0.000000000000000000,-0.009965785829449400,0.000000000000000000,0.049828960982711200
AKYakutat Borough,0.000000000000000000,-0.007104088297434360,0.000000000000000000,0.035520377514724600
AKYukon-Koyukuk Census Area,0.000000000000000000,-0.009435510967971240,0.000000000000000000,0.047261051139629400
ALAutauga County,0.000000000000000000,-0.009507159823621270,0.000000000000000000,0.049069717367959700
ALBaldwin County,0.000000000000000000,-0.008915810920891110,0.000000000000000000,0.047465000749872000
ALBarbour County,0.000000000000000000,-0.009712932443001980,0.000000000000000000,0.049577071237029800
ALBibb County,0.000000000000000000,-0.009567170036276500,0.000000000000000000,0.049145144054426600
ALBlount County,0.000000000000000000,-0.009470069912315030,0.000000000000000000,0.049122310156130400
ALBullock County,0.000000000000000000,-0.009482894053157390,0.000000000000000000,0.048913353802698900
ALButler County,0.000000000000000000,-0.009734540352151270,0.000000000000000000,0.049443655872892800
ALCalhoun County,0.000000000000000000,-0.009584999463663420,0.000000000000000000,0.049099421321322100
ALChambers County,0.000000000000000000,-0.009539134879571250,0.000000000000000000,0.049059009632823400
ALCherokee County,0.000000000000000000,-0.009593097059193640,0.000000000000000000,0.048957044432038000
ALChilton County,0.000000000000000000,-0.009640676327384630,0.000000000000000000,0.049277303392015300
ALChoctaw County,0.000000000000000000,-0.009765565084259410,0.000000000000000000,0.049065426872797500
ALClarke County,0.000000000000000000,-0.009757164922746920,0.000000000000000000,0.049353954608202700
ALClay County,0.000000000000000000,-0.009593649889714780,0.000000000000000000,0.048905395941503600
ALCleburne County,0.000000000000000000,-0.009666727972740710,0.000000000000000000,0.049517181660371400
