StateCounty,Unknown,No,Yes
AKAleutians East Borough,0.00000000000000000,-0.04724980540848630,0.23624900713780400
AKAleutians West Census Area,0.00000000000000000,-0.04991053640974010,0.24955266402188400
AKAnchorage Municipality,0.00000000000000000,-0.04205336773573250,0.21867426987584300
AKBethel Census Area,0.00000000000000000,-0.04655690090688860,0.23283832477692000
AKBristol Bay Borough,0.00000000000000000,-0.04953123690992760,0.24766820362599900
AKDenali Borough,0.00000000000000000,-0.04851155915676770,0.24278825012897900
AKDillingham Census Area,0.00000000000000000,-0.04981538374277320,0.24907696814513300
AKFairbanks North Star Borough,0.00000000000000000,-0.04508289192717290,0.23227093990747900
AKHaines Borough,0.00000000000000000,-0.04983501660390890,0.24917504837247000
AKHoonah-Angoon Census Area,0.00000000000000000,-0.04348737600490570,0.21743688898052900
AKJuneau Borough,0.00000000000000000,-0.04781198616058410,0.23931558822778600
AKKenai Peninsula Borough,0.00000000000000000,-0.04640530830799270,0.23875191117696700
AKKetchikan Gateway Borough,0.00000000000000000,-0.04961572010072180,0.24807860470747100
AKKodiak Island Borough,0.00000000000000000,-0.04941784371758770,0.24921465876475900
AKKusilvak,0.00000000000000000,-0.04680491587189000,0.23402455544164700
AKMatanuska-Susitna Borough,0.00000000000000000,-0.04500336821529270,0.23132487049357700
AKNome Census Area,0.00000000000000000,-0.04789664273942060,0.23948323556699000
AKNorth Slope Borough,0.00000000000000000,-0.04797825294119670,0.23989125313705900
AKNorthwest Arctic Borough,0.00000000000000000,-0.04814970264931460,0.24074853891011400
AKPeninsula And Lake Borough,0.00000000000000000,-0.04701057298452900,0.23506655781382000
AKPetersburg Census Area,0.00000000000000000,-0.04991908876654320,0.24959546284209600
AKPrince Of Wales-Hyder Census Area,0.00000000000000000,-0.04978064611734590,0.24890324630136600
AKSitka Borough,0.00000000000000000,-0.04976608107380050,0.24883034877886900
AKSkagway Municipality,0.00000000000000000,-0.04900203782094450,0.24501024342724700
AKSoutheast Fairbanks Census Area,0.00000000000000000,-0.04970950713720430,0.24858424022225600
AKValdez-Cordova Census Area,0.00000000000000000,-0.04290417818173850,0.22653525720536500
AKWrangell City And Borough,0.00000000000000000,-0.04982895476376310,0.24914478650267400
AKYakutat Borough,0.00000000000000000,-0.03552037532984240,0.17760187025643100
AKYukon-Koyukuk Census Area,0.00000000000000000,-0.04720602999080280,0.23620361147308700
ALAutauga County,0.00000000000000000,-0.04814416106633390,0.23910358243254500
ALBaldwin County,0.00000000000000000,-0.04571454260658600,0.22883410712859200
ALBarbour County,0.00000000000000000,-0.04895639909398570,0.24322571448662600
ALBibb County,0.00000000000000000,-0.04835388663479100,0.23950805003429500
ALBlount County,0.00000000000000000,-0.04806045831634510,0.24085668362359700
ALBullock County,0.00000000000000000,-0.04805513342708020,0.23893653266527600
ALButler County,0.00000000000000000,-0.04899666063213070,0.24179777630112000
ALCalhoun County,0.00000000000000000,-0.04850751653620580,0.24136080795227000
ALChambers County,0.00000000000000000,-0.04822193402423260,0.24028011835615100
ALCherokee County,0.00000000000000000,-0.04842751664806980,0.24038988295440200
ALChilton County,0.00000000000000000,-0.04865846922922420,0.24122863023025200
ALChoctaw County,0.00000000000000000,-0.04894751571634560,0.24191038939392500
ALClarke County,0.00000000000000000,-0.04903991817532400,0.24242047746087700
ALClay County,0.00000000000000000,-0.04843364979294900,0.23972534225698500
ALCleburne County,0.00000000000000000,-0.04883559629984210,0.24448112851217300
