StateCounty,Unknown,No,Yes
AKAleutians East Borough,0.0000000000000000000,0.0000000000000000000,0.0944996034732062000
AKAleutians West Census Area,0.0000000000000000000,0.0000000000000000000,0.0998210659382870000
AKAnchorage Municipality,0.0000000000000000000,0.0000000000000000000,0.0879769957991674000
AKBethel Census Area,0.0000000000000000000,0.0000000000000000000,0.0931375607590503000
AKBristol Bay Borough,0.0000000000000000000,0.0000000000000000000,0.0990691235998287000
AKDenali Borough,0.0000000000000000000,0.0000000000000000000,0.0971321866560575000
AKDillingham Census Area,0.0000000000000000000,0.0000000000000000000,0.0996308286671206000
AKFairbanks North Star Borough,0.0000000000000000000,0.0000000000000000000,0.0933518651063607000
AKHaines Borough,0.0000000000000000000,0.0000000000000000000,0.0996700328640392000
AKHoonah-Angoon Census Area,0.0000000000000000000,0.0000000000000000000,0.0869747542579080000
AKJuneau Borough,0.0000000000000000000,0.0000000000000000000,0.0957433476330833000
AKKenai Peninsula Borough,0.0000000000000000000,0.0000000000000000000,0.0958750743975672000
AKKetchikan Gateway Borough,0.0000000000000000000,0.0000000000000000000,0.0992314407789849000
AKKodiak Island Borough,0.0000000000000000000,0.0000000000000000000,0.0997872426126853000
AKKusilvak,0.0000000000000000000,0.0000000000000000000,0.0936098233826030000
AKMatanuska-Susitna Borough,0.0000000000000000000,0.0000000000000000000,0.0929088150071671000
AKNome Census Area,0.0000000000000000000,0.0000000000000000000,0.0957932986853676000
AKNorth Slope Borough,0.0000000000000000000,0.0000000000000000000,0.0959564975214833000
AKNorthwest Arctic Borough,0.0000000000000000000,0.0000000000000000000,0.0962994214995616000
AKPeninsula And Lake Borough,0.0000000000000000000,0.0000000000000000000,0.0940274878804774000
AKPetersburg Census Area,0.0000000000000000000,0.0000000000000000000,0.0998381917181903000
AKPrince Of Wales-Hyder Census Area,0.0000000000000000000,0.0000000000000000000,0.0995613072730541000
AKSitka Borough,0.0000000000000000000,0.0000000000000000000,0.0995321457807885000
AKSkagway Municipality,0.0000000000000000000,0.0000000000000000000,0.0980041026916088000
AKSoutheast Fairbanks Census Area,0.0000000000000000000,0.0000000000000000000,0.0994353689710208000
