StateCounty,FL Buildings,FL Contents,FL BI
AKAleutians East Borough,0.000248,0.000248,0.000248
AKAleutians West Census Area,0.000248,0.000248,0.000248
AKAnchorage Municipality,0.000248,0.000248,0.000248
AKBethel Census Area,0.000248,0.000248,0.000248
AKBristol Bay Borough,0.000248,0.000248,0.000248
AKDenali Borough,0.000248,0.000248,0.000248
AKDillingham Census Area,0.000248,0.000248,0.000248
AKFairbanks North Star Borough,0.000248,0.000248,0.000248
AKHaines Borough,0.000248,0.000248,0.000248
AKHoonah-Angoon Census Area,0.000248,0.000248,0.000248
AKJuneau Borough,0.000248,0.000248,0.000248
AKKenai Peninsula Borough,0.000248,0.000248,0.000248
AKKetchikan Gateway Borough,0.000248,0.000248,0.000248
AKKodiak Island Borough,0.000248,0.000248,0.000248
AKKusilvak,0.000248,0.000248,0.000248
AKMatanuska-Susitna Borough,0.000248,0.000248,0.000248
AKNome Census Area,0.000248,0.000248,0.000248
AKNorth Slope Borough,0.000248,0.000248,0.000248
AKNorthwest Arctic Borough,0.000248,0.000248,0.000248
AKPeninsula And Lake Borough,0.000248,0.000248,0.000248
AKPetersburg Census Area,0.000248,0.000248,0.000248
AKPrince Of Wales-Hyder Census Area,0.000248,0.000248,0.000248
AKSitka Borough,0.000248,0.000248,0.000248
AKSkagway Municipality,0.000248,0.000248,0.000248
AKSoutheast Fairbanks Census Area,0.000248,0.000248,0.000248
AKValdez-Cordova Census Area,0.000248,0.000248,0.000248
AKWrangell City And Borough,0.000248,0.000248,0.000248
AKYakutat Borough,0.000248,0.000248,0.000248
AKYukon-Koyukuk Census Area,0.000248,0.000248,0.000248
ALAutauga County,0.000268,0.000268,0.000268
ALBaldwin County,0.000268,0.000268,0.000268
ALBarbour County,0.000268,0.000268,0.000268
ALBibb County,0.000268,0.000268,0.000268
ALBlount County,0.000268,0.000268,0.000268
ALBullock County,0.000268,0.000268,0.000268
ALButler County,0.000268,0.000268,0.000268
ALCalhoun County,0.000268,0.000268,0.000268
ALChambers County,0.000268,0.000268,0.000268
ALCherokee County,0.000268,0.000268,0.000268
ALChilton County,0.000268,0.000268,0.000268
ALChoctaw County,0.000268,0.000268,0.000268
ALClarke County,0.000268,0.000268,0.000268
ALClay County,0.000268,0.000268,0.000268
ALCleburne County,0.000268,0.000268,0.000268
ALCoffee County,0.000268,0.000268,0.000268
ALColbert County,0.000268,0.000268,0.000268
ALConecuh County,0.000268,0.000268,0.000268
ALCoosa County,0.000268,0.000268,0.000268
ALCovington County,0.000268,0.000268,0.000268
ALCrenshaw County,0.000268,0.000268,0.000268
ALCullman County,0.000268,0.000268,0.000268
ALDale County,0.000268,0.000268,0.000268
ALDallas County,0.000268,0.000268,0.000268
ALDekalb County,0.000268,0.000268,0.000268
ALElmore County,0.000268,0.000268,0.000268
ALEscambia County,0.000268,0.000268,0.000268
ALEtowah County,0.000268,0.000268,0.000268
ALFayette County,0.000268,0.000268,0.000268
ALFranklin County,0.000268,0.000268,0.000268
ALGeneva County,0.000268,0.000268,0.000268
ALGreene County,0.000268,0.000268,0.000268
ALHale County,0.000268,0.000268,0.000268
ALHenry County,0.000268,0.000268,0.000268
ALHouston County,0.000268,0.000268,0.000268
ALJackson County,0.000268,0.000268,0.000268
ALJefferson County,0.000268,0.000268,0.000268
ALLamar County,0.000268,0.000268,0.000268
ALLauderdale County,0.000268,0.000268,0.000268
ALLawrence County,0.000268,0.000268,0.000268
ALLee County,0.000268,0.000268,0.000268
ALLimestone County,0.000268,0.000268,0.000268
ALLowndes County,0.000268,0.000268,0.000268
ALMacon County,0.000268,0.000268,0.000268
ALMadison County,0.000268,0.000268,0.000268
ALMarengo County,0.000268,0.000268,0.000268
ALMarion County,0.000268,0.000268,0.000268
ALMarshall County,0.000268,0.000268,0.000268
ALMobile County,0.000268,0.000268,0.000268
ALMonroe County,0.000268,0.000268,0.000268
ALMontgomery County,0.000268,0.000268,0.000268
ALMorgan County,0.000268,0.000268,0.000268
ALPerry County,0.000268,0.000268,0.000268
ALPickens County,0.000268,0.000268,0.000268
ALPike County,0.000268,0.000268,0.000268
ALRandolph County,0.000268,0.000268,0.000268
ALRussell County,0.000268,0.000268,0.000268
ALShelby County,0.000268,0.000268,0.000268
ALSt. Clair County,0.000268,0.000268,0.000268
ALSumter County,0.000268,0.000268,0.000268
ALTalladega County,0.000268,0.000268,0.000268
ALTallapoosa County,0.000268,0.000268,0.000268
ALTuscaloosa County,0.000268,0.000268,0.000268
ALWalker County,0.000268,0.000268,0.000268
ALWashington County,0.000268,0.000268,0.000268
ALWilcox County,0.000268,0.000268,0.000268
ALWinston County,0.000268,0.000268,0.000268
ARArkansas County,0.00025,0.00025,0.00025
ARAshley County,0.00025,0.00025,0.00025
ARBaxter County,0.00025,0.00025,0.00025
ARBenton County,0.00025,0.00025,0.00025
ARBoone County,0.00025,0.00025,0.00025
ARBradley County,0.00025,0.00025,0.00025
ARCalhoun County,0.00025,0.00025,0.00025
ARCarroll County,0.00025,0.00025,0.00025
ARChicot County,0.00025,0.00025,0.00025
ARClark County,0.00025,0.00025,0.00025
ARClay County,0.00025,0.00025,0.00025
ARCleburne County,0.00025,0.00025,0.00025
ARCleveland County,0.00025,0.00025,0.00025
ARColumbia County,0.00025,0.00025,0.00025
ARConway County,0.00025,0.00025,0.00025
ARCraighead County,0.00025,0.00025,0.00025
ARCrawford County,0.00025,0.00025,0.00025
ARCrittenden County,0.00025,0.00025,0.00025
ARCross County,0.00025,0.00025,0.00025
ARDallas County,0.00025,0.00025,0.00025
ARDesha County,0.00025,0.00025,0.00025
ARDrew County,0.00025,0.00025,0.00025
ARFaulkner County,0.00025,0.00025,0.00025
ARFranklin County,0.00025,0.00025,0.00025
ARFulton County,0.00025,0.00025,0.00025
ARGarland County,0.00025,0.00025,0.00025
ARGrant County,0.00025,0.00025,0.00025
ARGreene County,0.00025,0.00025,0.00025
ARHempstead County,0.00025,0.00025,0.00025
ARHot Spring County,0.00025,0.00025,0.00025
