Country,Statecode,County,StateCounty,HA Buildings,HA Contents,HA BI
US,AK,Aleutians East Borough,AKAleutians East Borough,0,0,0
US,AK,Aleutians West Census Area,AKAleutians West Census Area,0,0,0
US,AK,Anchorage Municipality,AKAnchorage Municipality,0,0,0
US,AK,Bethel Census Area,AKBethel Census Area,0,0,0
US,AK,Bristol Bay Borough,AKBristol Bay Borough,0,0,0
US,AK,Denali Borough,AKDenali Borough,0,0,0
US,AK,Dillingham Census Area,AKDillingham Census Area,0,0,0
US,AK,Fairbanks North Star Borough,AKFairbanks North Star Borough,0,0,0
US,AK,Haines Borough,AKHaines Borough,0,0,0
US,AK,Hoonah-Angoon Census Area,AKHoonah-Angoon Census Area,0,0,0
US,AK,Juneau Borough,AKJuneau Borough,0,0,0
US,AK,Kenai Peninsula Borough,AKKenai Peninsula Borough,0,0,0
US,AK,Ketchikan Gateway Borough,AKKetchikan Gateway Borough,0,0,0
US,AK,Kodiak Island Borough,AKKodiak Island Borough,0,0,0
US,AK,Kusilvak,AKKusilvak,0,0,0
US,AK,Matanuska-Susitna Borough,AKMatanuska-Susitna Borough,0,0,0
US,AK,Nome Census Area,AKNome Census Area,0,0,0
US,AK,North Slope Borough,AKNorth Slope Borough,0,0,0
US,AK,Northwest Arctic Borough,AKNorthwest Arctic Borough,0,0,0
US,AK,Peninsula And Lake Borough,AKPeninsula And Lake Borough,0,0,0
US,AK,Petersburg Census Area,AKPetersburg Census Area,0,0,0
US,AK,Prince Of Wales-Hyder Census Area,AKPrince Of Wales-Hyder Census Area,0,0,0
US,AK,Sitka Borough,AKSitka Borough,0,0,0
US,AK,Skagway Municipality,AKSkagway Municipality,0,0,0
US,AK,Southeast Fairbanks Census Area,AKSoutheast Fairbanks Census Area,0,0,0
US,AK,Valdez-Cordova Census Area,AKValdez-Cordova Census Area,0,0,0
US,AK,Wrangell City And Borough,AKWrangell City And Borough,0,0,0
US,AK,Yakutat Borough,AKYakutat Borough,0,0,0
US,AK,Yukon-Koyukuk Census Area,AKYukon-Koyukuk Census Area,0,0,0
US,AL,Autauga County,ALAutauga County,3.90399E-05,3.90399E-07,1.01504E-05
US,AL,Baldwin County,ALBaldwin County,2.43269E-05,2.43269E-07,6.32499E-06
US,AL,Barbour County,ALBarbour County,3.04892E-05,3.04892E-07,7.92719E-06
US,AL,Bibb County,ALBibb County,4.57502E-05,4.57502E-07,1.1895E-05
US,AL,Blount County,ALBlount County,4.15555E-05,4.15555E-07,1.08044E-05
US,AL,Bullock County,ALBullock County,3.49881E-05,3.49881E-07,9.09692E-06
US,AL,Butler County,ALButler County,2.86281E-05,2.86281E-07,7.44331E-06
US,AL,Calhoun County,ALCalhoun County,5.08983E-05,5.08983E-07,1.32336E-05
US,AL,Chambers County,ALChambers County,5.62468E-05,5.62468E-07,1.46242E-05
US,AL,Cherokee County,ALCherokee County,5.14604E-05,5.14604E-07,1.33797E-05
US,AL,Chilton County,ALChilton County,4.53737E-05,4.53737E-07,1.17972E-05
US,AL,Choctaw County,ALChoctaw County,4.32027E-05,4.32027E-07,1.12327E-05
