Industry,Occupancy
,
Agriculture/Farming,Chicken Egg Production
Agriculture/Farming,Cotton Farming
Agriculture/Farming,Cotton Ginning
Agriculture/Farming,Crop Farming
Agriculture/Farming,Dairy Cattle and Milk Production
Agriculture/Farming,Fish Hatchery
Agriculture/Farming,Grain Silos
Agriculture/Farming,Greenhouses
Agriculture/Farming,Livestock Farming
Agriculture/Farming,Peat Processing
Agriculture/Farming,Poultry Hatcheries
Agriculture/Farming,Poultry Production
Agriculture/Farming,Support Activities For Animal Production
Agriculture/Farming,Tobacco Farming
Agriculture/Farming,Veterinary Services
Communications,"Data Processing, Hosting, Cloud"
Communications,Telecoms - Cable - Above
Communications,Telecoms - Cable - Below
Communications,Telecoms - Cable - Sub-Sea
Communications,Telecoms - Transmission Towers
Communications,Tv and Radio Stations
Education,Schools
Education,Technical and Trade Schools
Education,Universities and Colleges
Food,Bakeries - Commercial
Food,Beef and Pork Processing
Food,Bottling
Food,Breweries
Food,Candy Manufacturing
Food,Cannery - Fruits and Vegetables
Food,Cheese Manufacturing
Food,Chocolate Manufacturing
Food,Coffee and Tea Roasting
Food,Distilleries
Food,Fats and Oils Refining and Blending
Food,Flour Mill
Food,Food Dehydration Manufacturing
Food,Fruit and Vegetable Manufacturing - Frozen
Food,Ice Cream and Frozen Desserts
Food,Ice Plant
Food,Milk Manufacturing
Food,Milk Manufacturing - Dry and Evaporated
Food,Nut Roasting - Including Peanut Butter
Food,Oilseed Processing
Food,Pet Food - Dry
Food,Pet Food - Wet
Food,Poultry Processing
Food,Processed Food Manufacturing - Frozen
Food,Processed Food Manufacturing - Non-Frozen
Food,Rendering Plant
Food,Rice Mill
Food,Seafood Canning
Food,Seafood Processing - Fresh and Frozen
Food,Slaughterhouse - Not Poultry
Food,Slaughterhouse - Poultry
Food,Soybean Processing
Food,Sugar Mill
Food,Sugar Refining
Food,Wineries
Govermental/Municipal,Correctional Institutions and Prisons
Govermental/Municipal,Courts
Govermental/Municipal,Emergency Response Services
Govermental/Municipal,Governmental Office & Administration
Govermental/Municipal,Library
Govermental/Municipal,Municipal Stadiums
Habitational,Fraternity or Sorority House
