Year,Open Market_Rate_Change,NACP_Rate_Change,Renewables_Rate_Change,European Commercial Property_Rate_Change
2027,1.05,1.045491547,1.025,1.05
2026,1.05,1.045491547,1.025,1.05
2025,1.05,1.045491547,1.025,1.05
2024,1.05,1.045491547,1.025,1.05
2023,1.05,1.045491547,1.025,1.05
2022,1.05,1.045491547,1.019308782,1.05
2021,1.103403586,1.126690159,1.041564031,1.103403586
2020,1.204807859,1.154462301,1.037108333,1.204807859
2019,1.18037025,1.11099541,1.012978337,1.18037025
2018,1.172251016,1.079295654,1.067032322,1.172251016
2017,1.008890642,0.977411872,0.908327845,1.008890642
2016,0.940893468,0.945603294,0.879762271,0.940893468
2015,0.928836461,0.929065433,0.84003742,0.928836461
2014,0.941810834,0.957934687,0.884649153,0.941810834
2013,1.004234475,0.953074742,0.962393042,1.004234475
2012,1.072069538,1.028712403,1.017743808,1.072069538
2011,1.048965848,0.988515421,1.038666521,1.048965848
2010,0.942229445,0.97969061,0.963747228,0.942229445
2009,1.087095986,1.030066265,1.251604902,1.087095986
2008,0.90945563,0.906527285,0.869108277,0.90945563
2007,0.941728789,0.976641168,0.905649999,0.941728789
2006,1.26482401,1.145794801,1.387520448,1.26482401
2005,0.975217856,0.98823347,1.119941828,0.975217856
2004,0.894490635,0.944109778,0.958606499,0.894490635
2003,0.998099432,1.038178715,1.079190589,0.998099432
2002,1.209695831,1.205280664,1.482209281,1.209695831
2001,1.312811891,1.203323463,1.529381479,1.312811891
2000,1.11759723,1.047442791,0.99,1.11759723
