EM Construction Code,EM Construction Narrative,ISO
RMS-28,Cranes,0
RMS-18,On Ground Liquid Storage Tanks,0
RMS-40,Electrical Equipment,0
RMS-3,REINFORCED CONCRETE,6
RMS-3B6,Lift Slab,6
RMS-22,Railroads (Track & Bed),0
RMS-2C1,Reinforced Masonry,4
RMS-1A1,Light Wood Stud Walls,1
RMS-44,Automobiles - Personal,0
RMS-39,Office Equipment,0
RMS-3A10,Reinforced Concrete Frame with Wood Frame in the upper floors,1
ATC-2,Light Metal,3
RMS-4B1,Light Metal Frame,3
RMS-3A5,Waffle or Flat Slab,6
RMS-1A,Light Wood Frame,1
RMS-3A,Cast-in-Place Reinforced Concrete with Concrete Roof Deck,6
RMS-51B,NULL,0
RMS-3A6,Steel & Reinforced Concrete Composite Frame,6
RMS-2C,Structural Masonry,4
ATC-4,URM Wall with Frame,1
FIRE-1,Frame,1
RMS-1A3,NULL,1
RMS-7,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,0
ATC-10,Moment Steel Frame (Perimeter),5
RMS-2B1,Unreinforced Cut Stone Masonry,4
RMS-1,WOOD,1
RMS-3A1,Reinforced Concrete Moment Resisting Frame,6
FIRE-8,Superior Non-Combustible,3
RMS-2B7,NULL,0
FIRE-6,Fire Resistive,6
RMS-2C2,Confined Masonry,4
RMS-55,"Boats, Moored, Less than 26 ft, motor",0
ATC-8,RM Shear Wall with Frame,1
RMS-4A2,Steel MRF with Shear Walls,5
RMS-2A3,NULL,0
RMS-4,STEEL,5
RMS-41,Mechanical Equipment,0
RMS-30,Conventional (< 100 ft.) Electrical Transmission Line Towers,0
FIRE-0,Unknown,0
RMS-58,"Boats, Moored, 26-60 ft, sail",0
RMS-37,Waterfront Structures,0
RMS-4A3,Steel MRF with Unreinforced Masonry Infill,5
RMS-49,NULL,0
RMS-12,Earthfill and Rockfill Dams,0
RMS-33,Observation Towers,0
RMS-2B2,Unreinforced Solid Brick Masonry,4
RMS-48,NULL,0
RMS-19,On Ground Solid Storage Tanks,0
RMS-3C,Reinforced Concrete with Wood/Metal Roof Deck,1
RMS-4B2,Light Metal Frame with Unreinforced Masonry Infill,3
RMS-3B2,Precast MRF with Shear Walls,6
RMS-3B4,Tilt-Up,6
ATC-11,NULL,0
RMS-9,Underground Pipelines,0
ATC-16,Tilt-Up,6
RMS-4A,Steel Frame with Concrete Roof Deck,5
RMS-4A1,Steel Moment Resisting Frame,5
RMS-4A5,Eccentrically Braced Steel Frame,5
ATC-12,Ductile RC Frame (Distributed),3
RMS-2B,Unreinforced Masonry,4
RMS-2,MASONRY,4
ATC-18,Specially Engineered Facility,0
RMS-43,"Trains, Trucks, Airplanes",0
ISO-3,All-Metal - Small (2A),0
RMS-3A2,RC MRF with Shear Walls,6
RMS-10,Pipelines At Grade,0
FIRE-4,Masonry Non-Combustile,4
RMS-45,Automobiles - Dealers,0
RMS-8,Major Bridges (> 500 ft. spans),0
RMS-49B,NULL,0
RMS-49A,NULL,0
ATC-5,RC Shear Wall with Frame,4
RMS-14,Rock Tunnels,0
RMS-6,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,0
FIRE-9,Superior Masonry Non-Combustible,0
RMS-5B,Manufactured/Mobile Home with Tie-Downs,1
RMS-3B5,Precast Panel Bearing Wall (non Tilt-Up),6
RMS-4C,Steel Frame with Wood/Metal Roof Deck,1
RMS-13,Alluvium Tunnels,0
RMS-1B,Heavy Timber,1
FIRE-7,Heavy Timber Joisted Masonry,1
RMS-2B3,Unreinforced Concrete Block Masonry,4
RMSCGSPEC-7,Containerized - Stacked Outside,0
RMS-4A4,Concentrically Braced Steel Frame,5
RMS-20,Elevated Liquid Storage Tanks,0
RMS-4B,Light Metal Frame,3
RMS-15,Cut & Cover Tunnels,0
RMS-2A1,Rubble Stone Masonry,4
RMS-2A,Weak Masonry,4
RMS-1A2,Light Wood Post & Beam,1
FIRE-4C,NULL,0
ATC-80,Reinforced Concrete Frame with Wood Frame in the upper floors,1
ATC-1,Wood Frame,1
ATC-17,Mobile Home,1
ATC-22,Underground Pipelines,0
RMS-3A3,RC MRF with Unreinforced Masonry Infill,6
RMS-61,Floating Structure,0
FIRE-5,Modified Fire Resistive,5
RMS-5A,Manufactured/Mobile Home without Tie-Downs,1
FIRE-3,Non-Combustile,3
RMS-2A2,Adobe,4
RMS-54,"Boats, inside a Building (Marina)",0
FIRE-2,Joisted Masonry,2
RMS-5,MANUFACTURED/MOBILE HOME,1
RMS-3B3,Precast MRF with Unreinforced Masonry Infill,6
ISO-4,All-Metal - Large (2B),0
ATC-15,Long Span,0
RMS-23,Highways,0
ATC-6,RC Shear Wall without Frame,6
RMS-1B1,Heavy Timber Frame,1
RMS-3B1,Precast Moment Resisting Frame,6
RMS-0,UNKNOWN,0
ATC-9,Braced Steel Frame,5
RMS-1C1,NULL,1
ISO-6,Steel Frame - Ordinary (3B),5
ATC-14,Precast Concrete (Non Tilt-Up),6
RMS-11,Concrete Dams,0
