Unique ID,RMS Field,Code,Description,Rater Field
CONQUAL0,CONQUAL,0,Unknown,Construction Quality
CONQUAL1,CONQUAL,1,Good,Construction Quality
CONQUAL2,CONQUAL,2,Average,Construction Quality
CONQUAL3,CONQUAL,3,Poor,Construction Quality
SHAPECONF0,SHAPECONF,0,Unknown,Plan Irregularity
SHAPECONF1,SHAPECONF,1,Regular,Plan Irregularity
SHAPECONF2,SHAPECONF,2,Irregular,Plan Irregularity
STORYPROF0,STORYPROF,0,Unknown,Soft Story
STORYPROF1,STORYPROF,1,No,Soft Story
STORYPROF2,STORYPROF,2,Yes,Soft Story
OVERPROF0,OVERPROF,0,Unknown,Vertical Irregularity
OVERPROF1,OVERPROF,1,No,Vertical Irregularity
OVERPROF2,OVERPROF,2,Yes,Vertical Irregularity
ORNAMENT0,ORNAMENT,0,Unknown,Ornamentation
ORNAMENT1,ORNAMENT,1,Little or None,Ornamentation
ORNAMENT2,ORNAMENT,2,Average,Ornamentation
ORNAMENT3,ORNAMENT,3,Extensive,Ornamentation
MECHELEC0,MECHELEC,0,Unknown,Equipment EQ Bracing
MECHELEC1,MECHELEC,1,Generally Well-Braced,Equipment EQ Bracing
MECHELEC2,MECHELEC,2,Somewhat Braced,Equipment EQ Bracing
MECHELEC3,MECHELEC,3,Generally Unbraced,Equipment EQ Bracing
DURESS0,DURESS,0,Unknown,Equipment Support Maintenance
DURESS1,DURESS,1,No Signs of Fatigue / Good Maintenance,Equipment Support Maintenance
DURESS2,DURESS,2,Few Signs of Fatigue / Average Maintenance,Equipment Support Maintenance
DURESS3,DURESS,3,Obvious Signs of Fatigue / Poor Maintenance,Equipment Support Maintenance
POUNDING0,POUNDING,0,Unknown,Pounding
POUNDING1,POUNDING,1,No,Pounding
POUNDING2,POUNDING,2,Yes,Pounding
CONSTQUALI0,CONSTQUALI,0,Unknown,Construction Quality
CONSTQUALI1,CONSTQUALI,1,Obvious signs of deterioration or distress,Construction Quality
CONSTQUALI9,CONSTQUALI,9,Certified design & construction,Construction Quality
ROOFSYS0,ROOFSYS,0,Unknown,Roof Covering
ROOFSYS1,ROOFSYS,1,Metal sheathing,Roof Covering
ROOFSYS2,ROOFSYS,2,Metal sheathing,Roof Covering
ROOFSYS3,ROOFSYS,3,Built-up or single ply membrane,Roof Covering
ROOFSYS4,ROOFSYS,4,Built-up or single ply membrane,Roof Covering
ROOFSYS5,ROOFSYS,5,Concrete/clay tiles,Roof Covering
ROOFSYS6,ROOFSYS,6,Wood shakes,Roof Covering
ROOFSYS7,ROOFSYS,7,Normal shingle,Roof Covering
ROOFSYS8,ROOFSYS,8,Normal shingle,Roof Covering
ROOFSYS9,ROOFSYS,9,Shingle rated for high wind speeds,Roof Covering
ROOFSYS10,ROOFSYS,10,Shingle rated for high wind speeds,Roof Covering
ROOFSYS11,ROOFSYS,11,Unknown,Roof Covering
ROOFSYS12,ROOFSYS,12,Unknown,Roof Covering
ROOFSYS13,ROOFSYS,13,Unknown,Roof Covering
ROOFSYS14,ROOFSYS,14,Unknown,Roof Covering
ROOFSYS15,ROOFSYS,15,Unknown,Roof Covering
ROOFSYS16,ROOFSYS,16,Unknown,Roof Covering
ROOFSYS17,ROOFSYS,17,Unknown,Roof Covering
ROOFGEOM0,ROOFGEOM,0,Unknown,Roof Geometry 
ROOFGEOM1,ROOFGEOM,1,Flat roof with Parapets,Roof Geometry 
ROOFGEOM2,ROOFGEOM,2,Flat roof without Parapets,Roof Geometry 
ROOFGEOM3,ROOFGEOM,3,Hip roof,Roof Geometry 
ROOFGEOM4,ROOFGEOM,4,Hip roof,Roof Geometry 
ROOFGEOM5,ROOFGEOM,5,Gable roof,Roof Geometry 
ROOFGEOM6,ROOFGEOM,6,Gable roof,Roof Geometry 
ROOFGEOM7,ROOFGEOM,7,Braced gable roof,Roof Geometry 
ROOFGEOM8,ROOFGEOM,8,Braced gable roof,Roof Geometry 
ROOFANCH0,ROOFANCH,0,Unknown,Roof Anchor
ROOFANCH1,ROOFANCH,1,Toe nailing or no anchorage,Roof Anchor
ROOFANCH2,ROOFANCH,2,Clips,Roof Anchor
ROOFANCH3,ROOFANCH,3,Single wraps,Roof Anchor
ROOFANCH4,ROOFANCH,4,Double wraps,Roof Anchor
ROOFANCH5,ROOFANCH,5,Structural,Roof Anchor
ROOFAGE0,ROOFAGE,0,Unknown,Roof Age/Condition (Roof Age or Roof Maintenance)
ROOFAGE1,ROOFAGE,1,0-5 years,Roof Age/Condition (Roof Age or Roof Maintenance)
ROOFAGE2,ROOFAGE,2,6-10 years,Roof Age/Condition (Roof Age or Roof Maintenance)
ROOFAGE3,ROOFAGE,3,11 years or more,Roof Age/Condition (Roof Age or Roof Maintenance)
ROOFAGE4,ROOFAGE,4,Obvious signs of deterioration or distress,Roof Age/Condition (Roof Age or Roof Maintenance)
ROOFEQUIP0,ROOFEQUIP,0,Unknown,Roof Equipment Hurricane Bracing
ROOFEQUIP1,ROOFEQUIP,1,Properly installed with adequate anchorage,Roof Equipment Hurricane Bracing
ROOFEQUIP2,ROOFEQUIP,2,Obvious signs of deficiencies in the installation,Roof Equipment Hurricane Bracing
ROOFEQUIP3,ROOFEQUIP,3,No equipment present,Roof Equipment Hurricane Bracing
CLADSYS0,CLADSYS,0,Unknown,Cladding Type
CLADSYS1,CLADSYS,1,Brick Veneer,Cladding Type
CLADSYS2,CLADSYS,2,Metal Sheathing,Cladding Type
CLADSYS3,CLADSYS,3,Wood,Cladding Type
CLADSYS4,CLADSYS,4,EIFS,Cladding Type
CLADSYS5,CLADSYS,5,Impact rated glazing,Cladding Type
CLADSYS6,CLADSYS,6,"Glazing not designed for impact WITH gravel rooftop within 1,000 ft",Cladding Type
CLADSYS7,CLADSYS,7,"Glazing not designed for impact without gravel rooftop within 1,000 ft",Cladding Type
CLADSYS8,CLADSYS,8,Vinyl siding,Cladding Type
CLADSYS9,CLADSYS,9,Stucco,Cladding Type
CLADSYS10,CLADSYS,10,None,Cladding Type
CLADRATE0,CLADRATE,0,Unknown,Roof Sheathing Attachment
CLADRATE1,CLADRATE,1,Batten decking/skipped sheathing,Roof Sheathing Attachment
CLADRATE2,CLADRATE,2,6d Nails – Any nail schedule,Roof Sheathing Attachment
CLADRATE3,CLADRATE,3,8d Nails – Minimum nail schedule,Roof Sheathing Attachment
CLADRATE4,CLADRATE,4,8d Nails – High wind nail schedule,Roof Sheathing Attachment
CLADRATE5,CLADRATE,5,10d Nails – High wind nail schedule,Roof Sheathing Attachment
CLADRATE6,CLADRATE,6,Dimensional lumber / tongue and groove decking with a minimum of 2 nails per board,Roof Sheathing Attachment
FOUNDSYS0,FOUNDSYS,0,Unknown,Frame Foundation Connection
FOUNDSYS1,FOUNDSYS,1,Bolted,Frame Foundation Connection
FOUNDSYS2,FOUNDSYS,2,Unbolted,Frame Foundation Connection
FOUNDSYS3,FOUNDSYS,3,Engineered,Frame Foundation Connection
BASEMENT0,BASEMENT,0,Unknown,Basement
BASEMENT1,BASEMENT,1,No basement,Basement
BASEMENT2,BASEMENT,2,Basement with flood protection,Basement
BASEMENT3,BASEMENT,3,Basement without flood protection,Basement
BASEMENT4,BASEMENT,4,Basement with unknown flood protection,Basement
Sprinkler -Fire0,Sprinkler -Fire,0,Unknown,Sprinkler
Sprinkler -Fire1,Sprinkler -Fire,1,Yes,Sprinkler
Sprinkler -Fire2,Sprinkler -Fire,2,No,Sprinkler
Sprinkler -Fire3,Sprinkler -Fire,3,Partial,Sprinkler
Sprinkler -FireY,Sprinkler -Fire,Y,Yes,Sprinkler
Sprinkler -FireN,Sprinkler -Fire,N,No,Sprinkler
Sprinkler -FireP,Sprinkler -Fire,P,Partial,Sprinkler
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
