Zip,State,County,Wildfire,Flood,Tornado,Hail
00001,AK,DILLINGHAM CENSUS AREA,1.5,5,No Observation,< 0.1
00002,AK,YUKON-KOYUKUK CENSUS AREA,5.6,1,No Observation,< 0.1
00003,AK,PENINSULA AND LAKE BOROUGH,1,6,No Observation,< 0.1
00004,AK,KENAI PENINSULA BOROUGH,1,1,No Observation,< 0.1
00005,AK,PENINSULA AND LAKE BOROUGH,2.2,1,No Observation,< 0.1
00006,AK,MATANUSKA-SUSITNA BOROUGH,1.9,2,No Observation,< 0.1
00007,AK,NORTH SLOPE BOROUGH,1,1,No Observation,< 0.1
00008,AK,ALEUTIANS WEST CENSUS AREA,1,0,No Observation,< 0.1
00009,AK,BETHEL CENSUS AREA,1,3,No Observation,< 0.1
00010,AK,KUSILVAK,2.5,1,No Observation,< 0.1
00011,AK,KENAI PENINSULA BOROUGH,1,2,No Observation,< 0.1
00012,CA,LASSEN COUNTY,5.4,1,< 0.1,< 0.1
00013,HI,HONOLULU COUNTY,1,0,No Observation,< 0.1
00014,AZ,PIMA COUNTY,3.8,2,No Observation,< 0.1
00015,AZ,PIMA COUNTY,5.7,1,No Observation,< 0.1
00016,CA,KERN COUNTY,6.2,1,No Observation,< 0.1
00017,CA,FRESNO COUNTY,5.4,1,No Observation,< 0.1
00018,CA,VENTURA COUNTY,6.6,1,< 0.1,< 0.1
00019,CA,LASSEN COUNTY,4.6,1,No Observation,< 0.1
00020,CA,MADERA COUNTY,5.4,9,No Observation,< 0.1
00022,CA,MENDOCINO COUNTY,5.5,1,No Observation,< 0.1
00025,CA,MODOC COUNTY,4.9,2,No Observation,< 0.1
00026,CA,TULARE COUNTY,5.7,1,< 0.1,< 0.1
00027,CO,EL PASO COUNTY,1.9,2,< 0.1,0.1 - 0.2
00028,CA,PLUMAS COUNTY,5.1,2,No Observation,< 0.1
00029,CA,YUBA COUNTY,5.7,1,< 0.1,< 0.1
00031,CA,PLUMAS COUNTY,5.5,1,< 0.1,< 0.1
00032,CA,SANTA BARBARA COUNTY,6.4,2,No Observation,< 0.1
00033,CA,SIERRA COUNTY,5.2,1,No Observation,< 0.1
00034,CA,SISKIYOU COUNTY,6,4,No Observation,< 0.1
00035,CA,SISKIYOU COUNTY,5.7,2,No Observation,< 0.1
00037,CA,TEHAMA COUNTY,6,1,No Observation,< 0.1
00038,CA,TEHAMA COUNTY,4.6,1,< 0.1,< 0.1
00039,CA,TRINITY COUNTY,6,1,No Observation,< 0.1
00040,CA,TUOLUMNE COUNTY,4.1,2,No Observation,< 0.1
00041,FL,BROWARD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
00042,FL,BREVARD COUNTY,1.1,7,0.1 - 0.2,0.1 - 0.2
00043,FL,MIAMI-DADE COUNTY,1,6,< 0.1,0.1 - 0.2
00044,CA,ALPINE COUNTY,5.3,2,No Observation,< 0.1
00045,FL,MARION COUNTY,5.8,3,0.2 - 0.35,0.1 - 0.2
00047,CA,GLENN COUNTY,6,1,No Observation,< 0.1
00048,CA,LAKE COUNTY,5.9,1,No Observation,< 0.1
00049,CA,DEL NORTE COUNTY,6,1,No Observation,< 0.1
00050,CA,HUMBOLDT COUNTY,6,1,No Observation,< 0.1
00051,CA,EL DORADO COUNTY,5.5,2,< 0.1,< 0.1
00052,CA,EL DORADO COUNTY,5.5,1,< 0.1,< 0.1
00053,FL,PALM BEACH COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
00054,CA,HUMBOLDT COUNTY,5.9,4,No Observation,< 0.1
00055,CA,TRINITY COUNTY,6,1,No Observation,< 0.1
00056,ID,ADA COUNTY,1,2,No Observation,< 0.1
00057,CA,SANTA BARBARA COUNTY,5.2,2,No Observation,< 0.1
00058,CA,MARIPOSA COUNTY,5.4,2,No Observation,< 0.1
00059,MN,ST. LOUIS COUNTY,2.8,2,< 0.1,< 0.1
00060,MN,ST. LOUIS COUNTY,3.1,4,< 0.1,< 0.1
00061,CA,VENTURA COUNTY,1,2,No Observation,< 0.1
00063,MT,CASCADE COUNTY,1,2,No Observation,0.1 - 0.2
00064,NM,SANDOVAL COUNTY,4.1,2,No Observation,< 0.1
00065,CA,SIERRA COUNTY,5.5,1,< 0.1,< 0.1
00066,NM,DONA ANA COUNTY,5.2,2,No Observation,< 0.1
00067,OK,COMANCHE COUNTY,1,7,0.5 - 0.75,>1.0
00068,OR,LANE COUNTY,4.7,2,< 0.1,< 0.1
00069,OR,LANE COUNTY,5.4,1,No Observation,< 0.1
00070,OR,CLACKAMAS COUNTY,5.2,1,< 0.1,< 0.1
00071,UT,UTAH COUNTY,1,1,< 0.1,< 0.1
00072,WA,WHATCOM COUNTY,2.3,2,No Observation,< 0.1
00073,WA,BENTON COUNTY,5.5,1,No Observation,0.1 - 0.2
00074,WA,YAKIMA COUNTY,5.3,1,No Observation,< 0.1
00075,MT,PARK COUNTY,4.3,1,< 0.1,< 0.1
00076,WA,OKANOGAN COUNTY,6.1,2,No Observation,< 0.1
00077,OR,LINN COUNTY,5.3,1,< 0.1,< 0.1
00078,ID,FREMONT COUNTY,3.9,1,< 0.1,< 0.1
00079,NV,DOUGLAS COUNTY,3.9,7,No Observation,< 0.1
00080,ID,BEAR LAKE COUNTY,1,7,No Observation,< 0.1
00082,VT,ORLEANS COUNTY,0,8,< 0.1,0.1 - 0.2
00083,NY,NEW YORK COUNTY,1,2,< 0.1,0.1 - 0.2
00084,NC,ONSLOW COUNTY,3.8,5,0.1 - 0.2,0.1 - 0.2
