Score Band,Label,Category,Load,Points
No Data,No Data,Unknown,0,0
Very Low (<0.5),Very Low,Low,-0.98,1
Low (0.5 - 1),Low,Low,-0.75,1
Moderate (1 - 3),Moderate,Medium,-0.35,2
Significant (3 - 6),Significant,Medium,0,2
High (6 - 8),High,High,0.5,3
Very High (8 - 9),Very High,High,2,3
Extreme (>9),Extreme,High,2,3
0,No Data,Unknown,0,0
No Observation,No Observation,Unknown,0,0
< 0.1,Very Low,Low,-0.98,1
0.1 - 0.2,Low,Low,-0.75,1
0.2 - 0.35,Moderate,Medium,-0.35,2
0.35 - 0.5,Significant,Medium,0,2
0.5 - 0.75,High,High,0.5,3
> 0.75,Very High,High,2,3
