Country,State,County,StateCounty,1900,1981,2002
US,AK,Aleutians East Borough,AKAleutians East Borough,0,0,0
US,AK,Aleutians West Census Area,AKAleutians West Census Area,0,0,0
US,AK,Anchorage Municipality,AKAnchorage Municipality,0,0,0
US,AK,Bethel Census Area,AKBethel Census Area,0,0,0
US,AK,Bristol Bay Borough,AKBristol Bay Borough,0,0,0
US,AK,Denali Borough,AKDenali Borough,0,0,0
US,AK,Dillingham Census Area,AKDillingham Census Area,0,0,0
US,AK,Fairbanks North Star Borough,AKFairbanks North Star Borough,0,0,0
US,AK,Haines Borough,AKHaines Borough,0,0,0
US,AK,Hoonah-Angoon Census Area,AKHoonah-Angoon Census Area,0,0,0
US,AK,Juneau Borough,AKJuneau Borough,0,0,0
US,AK,Kenai Peninsula Borough,AKKenai Peninsula Borough,0,0,0
US,AK,Ketchikan Gateway Borough,AKKetchikan Gateway Borough,0,0,0
US,AK,Kodiak Island Borough,AKKodiak Island Borough,0,0,0
US,AK,Kusilvak,AKKusilvak,0,0,0
US,AK,Matanuska-Susitna Borough,AKMatanuska-Susitna Borough,0,0,0
US,AK,Nome Census Area,AKNome Census Area,0,0,0
US,AK,North Slope Borough,AKNorth Slope Borough,0,0,0
US,AK,Northwest Arctic Borough,AKNorthwest Arctic Borough,0,0,0
US,AK,Peninsula And Lake Borough,AKPeninsula And Lake Borough,0,0,0
US,AK,Petersburg Census Area,AKPetersburg Census Area,0,0,0
US,AK,Prince Of Wales-Hyder Census Area,AKPrince Of Wales-Hyder Census Area,0,0,0
US,AK,Sitka Borough,AKSitka Borough,0,0,0
US,AK,Skagway Municipality,AKSkagway Municipality,0,0,0
US,AK,Southeast Fairbanks Census Area,AKSoutheast Fairbanks Census Area,0,0,0
US,AK,Valdez-Cordova Census Area,AKValdez-Cordova Census Area,0,0,0
US,AK,Wrangell City And Borough,AKWrangell City And Borough,0,0,0
US,AK,Yakutat Borough,AKYakutat Borough,0,0,0
US,AK,Yukon-Koyukuk Census Area,AKYukon-Koyukuk Census Area,0,0,0
US,AL,Autauga County,ALAutauga County,0.061583326,0,0
US,AL,Baldwin County,ALBaldwin County,0.114308652,0,0
US,AL,Barbour County,ALBarbour County,0.051577586,0,0
US,AL,Bibb County,ALBibb County,0.059959707,0,0
US,AL,Blount County,ALBlount County,0.061183069,0,0
US,AL,Bullock County,ALBullock County,0.049400955,0,0
US,AL,Butler County,ALButler County,0.054697842,0,0
US,AL,Calhoun County,ALCalhoun County,0.054419934,0,0
US,AL,Chambers County,ALChambers County,0.052729066,0,0
US,AL,Cherokee County,ALCherokee County,0.0591711,0,0
US,AL,Chilton County,ALChilton County,0.054915308,0,0
US,AL,Choctaw County,ALChoctaw County,0.056829744,0,0
US,AL,Clarke County,ALClarke County,0.061908226,0,0
US,AL,Clay County,ALClay County,0.053825267,0,0
US,AL,Cleburne County,ALCleburne County,0.050869008,0,0
US,AL,Coffee County,ALCoffee County,0.059149503,0,0
US,AL,Colbert County,ALColbert County,0.067997113,0,0
US,AL,Conecuh County,ALConecuh County,0.069275426,0,0
