policy_id,model_version_id,datafix,status,time,error_step,error_message,error_detail,time_taken,policy_id_new
293927,5581,yes,,,,,,,
293946,5581,yes,,,,,,,
294305,5581,yes,,,,,,,
294311,5581,yes,,,,,,,
294401,5581,yes,,,,,,,
294404,5581,yes,,,,,,,
294664,5581,yes,,,,,,,
294673,5581,yes,,,,,,,
294771,5581,yes,,,,,,,
294777,5581,yes,,,,,,,
294885,5581,yes,,,,,,,
294894,5581,yes,,,,,,,
295023,5581,yes,,,,,,,
295025,5581,yes,,,,,,,
295036,5581,yes,,,,,,,
295067,5581,yes,,,,,,,
295100,5581,yes,,,,,,,
295229,5581,yes,,,,,,,
295265,5581,yes,,,,,,,
295290,5581,yes,,,,,,,
295457,5581,yes,,,,,,,
295617,5581,yes,,,,,,,
295637,5581,yes,,,,,,,
295650,5581,yes,,,,,,,
295697,5581,yes,,,,,,,
295876,5581,yes,,,,,,,
295969,5581,yes,,,,,,,
296010,5581,yes,,,,,,,
296030,5581,yes,,,,,,,
297315,5581,yes,,,,,,,
297555,5581,yes,,,,,,,
297688,5581,yes,,,,,,,
297796,5581,yes,,,,,,,
297946,5581,yes,,,,,,,
298063,5581,yes,,,,,,,
298194,5581,yes,,,,,,,
298379,5581,yes,,,,,,,
298401,5581,yes,,,,,,,
298402,5581,yes,,,,,,,
298430,5581,yes,,,,,,,
298434,5581,yes,,,,,,,
298773,5581,yes,,,,,,,
298804,5581,yes,,,,,,,
298819,5581,yes,,,,,,,
298836,5581,yes,,,,,,,
299609,5581,yes,,,,,,,
299658,5581,yes,,,,,,,
300072,5581,yes,,,,,,,
300074,5581,yes,,,,,,,
300112,5581,yes,,,,,,,
300117,5581,yes,,,,,,,
300539,5581,yes,,,,,,,
300577,5581,yes,,,,,,,
300683,5581,yes,,,,,,,
300996,5581,yes,,,,,,,
302227,5581,yes,,,,,,,
302319,5581,yes,,,,,,,
302765,5581,yes,,,,,,,
303236,5581,yes,,,,,,,
303898,5581,yes,,,,,,,
304227,5581,yes,,,,,,,
304230,5581,yes,,,,,,,
304234,5581,yes,,,,,,,
304625,5581,yes,,,,,,,
304631,5581,yes,,,,,,,
304718,5581,yes,,,,,,,
304721,5581,yes,,,,,,,
304728,5581,yes,,,,,,,
305097,5581,yes,,,,,,,
305456,5581,yes,,,,,,,
305457,5581,yes,,,,,,,
305776,5581,yes,,,,,,,
305831,5581,yes,,,,,,,
305915,5581,yes,,,,,,,
306142,5581,yes,,,,,,,
306170,5581,yes,,,,,,,
306176,5581,yes,,,,,,,
306177,5581,yes,,,,,,,
306628,5581,yes,,,,,,,
306633,5581,yes,,,,,,,
306638,5581,yes,,,,,,,
306728,5581,yes,,,,,,,
306835,5581,yes,,,,,,,
306858,5581,yes,,,,,,,
307051,5581,yes,,,,,,,
307281,5581,yes,,,,,,,
307525,5581,yes,,,,,,,
307693,5581,yes,,,,,,,
307796,5581,yes,,,,,,,
307830,5581,yes,,,,,,,
309286,5581,yes,,,,,,,
309775,5581,yes,,,,,,,
310360,5581,yes,,,,,,,
310758,5581,yes,,,,,,,
312152,5581,yes,,,,,,,
312924,5581,yes,,,,,,,
312950,5581,yes,,,,,,,
313416,5581,yes,,,,,,,
313884,5581,yes,,,,,,,
313887,5581,yes,,,,,,,
313903,5581,yes,,,,,,,
313928,5581,yes,,,,,,,
313930,5581,yes,,,,,,,
313940,5581,yes,,,,,,,
314045,5581,yes,,,,,,,
314243,5581,yes,,,,,,,
314296,5581,yes,,,,,,,
314325,5581,yes,,,,,,,
314328,5581,yes,,,,,,,
315520,5581,yes,,,,,,,
317152,5581,yes,,,,,,,
317434,5581,yes,,,,,,,
317673,5581,yes,,,,,,,
318492,5581,yes,,,,,,,
318581,5581,yes,,,,,,,
318915,5581,yes,,,,,,,
319073,5581,yes,,,,,,,
319366,5581,yes,,,,,,,
319560,5581,yes,,,,,,,
319893,5581,yes,,,,,,,
320734,5581,yes,,,,,,,
321917,5581,yes,,,,,,,
322109,5581,yes,,,,,,,
323304,5581,yes,,,,,,,
323327,5581,yes,,,,,,,
324216,5581,yes,,,,,,,
324593,5581,yes,,,,,,,
324970,5581,yes,,,,,,,
325363,5581,yes,,,,,,,
326160,5581,yes,,,,,,,
326348,5581,yes,,,,,,,
326465,5581,yes,,,,,,,
326963,5581,yes,,,,,,,
327535,5581,yes,,,,,,,
327801,5581,yes,,,,,,,
328017,5581,yes,,,,,,,
328022,5581,yes,,,,,,,
328460,5581,yes,,,,,,,
328674,5581,yes,,,,,,,
329024,5581,yes,,,,,,,
329504,5581,yes,,,,,,,
329781,5581,yes,,,,,,,
329834,5581,yes,,,,,,,
329847,5581,yes,,,,,,,
329915,5581,yes,,,,,,,
329968,5581,yes,,,,,,,
330249,5581,yes,,,,,,,
330251,5581,yes,,,,,,,
330463,5581,yes,,,,,,,
330527,5581,yes,,,,,,,
330857,5581,yes,,,,,,,
331378,5581,yes,,,,,,,
332057,5581,yes,,,,,,,
332317,5581,yes,,,,,,,
332361,5581,yes,,,,,,,
332371,5581,yes,,,,,,,
332379,5581,yes,,,,,,,
332824,5581,yes,,,,,,,
355425,5581,yes,,,,,,,
355439,5581,yes,,,,,,,
355557,5581,yes,,,,,,,
355744,5581,yes,,,,,,,
355864,5581,yes,,,,,,,
356022,5581,yes,,,,,,,
356269,5581,yes,,,,,,,
356361,5581,yes,,,,,,,
356363,5581,yes,,,,,,,
356365,5581,yes,,,,,,,
356369,5581,yes,,,,,,,
356438,5581,yes,,,,,,,
358003,5581,yes,,,,,,,
358073,5581,yes,,,,,,,
361282,5581,yes,,,,,,,
389555,5581,yes,,,,,,,
389621,5581,yes,,,,,,,
389770,5581,yes,,,,,,,
389776,5581,yes,,,,,,,
389780,5581,yes,,,,,,,
389924,5581,yes,,,,,,,
390629,5581,yes,,,,,,,
390630,5581,yes,,,,,,,
391375,5581,yes,,,,,,,
391728,5581,yes,,,,,,,
391906,5581,yes,,,,,,,
391909,5581,yes,,,,,,,
391924,5581,yes,,,,,,,
392024,5581,yes,,,,,,,
392469,5581,yes,,,,,,,
408121,5581,yes,,,,,,,
408363,5581,yes,,,,,,,
409298,5581,yes,,,,,,,
409300,5581,yes,,,,,,,
410017,5581,yes,,,,,,,
410021,5581,yes,,,,,,,
410033,5581,yes,,,,,,,
410580,5581,yes,,,,,,,
411042,5581,yes,,,,,,,
411068,5581,yes,,,,,,,
411115,5581,yes,,,,,,,
423795,5581,yes,,,,,,,
424431,5581,yes,,,,,,,
424792,5581,yes,,,,,,,
426023,5581,yes,,,,,,,
435398,5581,yes,,,,,,,
435838,5581,yes,,,,,,,
437858,5581,yes,,,,,,,
449659,5581,yes,,,,,,,
453191,5581,yes,,,,,,,
456116,5581,yes,,,,,,,
459241,5581,yes,,,,,,,
459307,5581,yes,,,,,,,
483574,5581,yes,,,,,,,
484427,5581,yes,,,,,,,
484640,5581,yes,,,,,,,
502928,5581,yes,,,,,,,
502996,5581,yes,,,,,,,
506390,5581,yes,,,,,,,
506435,5581,yes,,,,,,,
508172,5581,yes,,,,,,,
508629,5581,yes,,,,,,,
512416,5581,yes,,,,,,,
514576,5581,yes,,,,,,,
514604,5581,yes,,,,,,,
515507,5581,yes,,,,,,,
515649,5581,yes,,,,,,,
515738,5581,yes,,,,,,,
519072,5581,yes,,,,,,,
533640,5581,yes,,,,,,,
534448,5581,yes,,,,,,,
549889,5581,yes,,,,,,,
552249,5581,yes,,,,,,,
552494,5581,yes,,,,,,,
553956,5581,yes,,,,,,,
554312,5581,yes,,,,,,,
554684,5581,yes,,,,,,,
555016,5581,yes,,,,,,,
555021,5581,yes,,,,,,,
