policy_option_id,policy_option_id_old,datafix,status,time,error_step,error_message,error_detail,time_taken
1411888,1375582,yes,succeeded,20:55.5,,,,13.52307343
1411889,1375590,yes,succeeded,20:57.1,,,,13.1401751
1411890,1377977,yes,succeeded,20:58.4,,,,12.42106295
1411891,1377997,yes,succeeded,21:00.6,,,,12.68920946
1411892,1379187,yes,failed,21:31.6,get values,403,,41.61133766
1411893,1380893,yes,succeeded,21:05.5,,,,13.50664854
1411894,1382583,yes,succeeded,21:09.2,,,,15.21472049
1411895,1382584,yes,succeeded,21:08.5,,,,12.58486438
1411896,1382585,yes,succeeded,21:12.1,,,,16.58199048
1411897,1382586,yes,succeeded,21:09.6,,,,12.54361296
1411898,1382587,yes,succeeded,21:12.3,,,,13.92908573
1411899,1382588,yes,succeeded,21:14.5,,,,13.8486588
1411900,1382589,yes,succeeded,21:17.9,,,,12.4629178
1411901,1382590,yes,succeeded,21:22.2,,,,13.63533354
1411902,1382591,yes,succeeded,21:22.3,,,,13.1662848
1411903,1382592,yes,succeeded,21:23.5,,,,13.86084914
1411904,1382593,yes,succeeded,21:26.3,,,,14.19134998
1411905,1382594,yes,succeeded,21:25.0,,,,12.65743852
1411906,1382595,yes,succeeded,21:28.0,,,,13.47532296
1411907,1382596,yes,succeeded,21:30.9,,,,12.92545319
1411908,1382597,yes,succeeded,21:39.2,,,,17.01797009
1411909,1382598,yes,succeeded,21:36.9,,,,14.58016729
1411910,1382599,yes,succeeded,21:35.9,,,,12.41363645
1411911,1382600,yes,succeeded,21:39.3,,,,14.29715347
1411912,1382601,yes,succeeded,21:38.5,,,,12.19748473
1411913,1382602,yes,succeeded,21:43.8,,,,15.79426742
1411914,1382603,yes,succeeded,21:44.3,,,,13.40752769
1411915,1382604,yes,succeeded,21:43.7,,,,12.11898375
1411916,1382605,yes,succeeded,21:49.7,,,,13.80260324
1411917,1382606,yes,succeeded,21:50.2,,,,13.24259663
1411918,1382608,yes,succeeded,21:51.0,,,,12.58843303
1411919,1382607,yes,succeeded,21:54.0,,,,14.77106905
1411920,1382609,yes,succeeded,21:52.0,,,,12.70485306
1411921,1382610,yes,succeeded,21:57.0,,,,13.2664597
1411922,1382611,yes,failed,22:26.2,get values,403,,42.47412229
1411923,1382612,yes,succeeded,21:57.1,,,,12.81278849
1411924,1382613,yes,succeeded,22:03.2,,,,13.46906281
1411925,1382614,yes,succeeded,22:03.4,,,,13.24419236
1411926,1382615,yes,succeeded,22:03.7,,,,12.66148043
1411927,1382616,yes,succeeded,22:05.2,,,,13.26780891
1411928,1382617,yes,succeeded,22:07.3,,,,13.30042171
1411929,1382618,yes,succeeded,22:10.4,,,,13.45843577
1411930,1382619,yes,succeeded,22:10.2,,,,13.07753873
1411931,1382620,yes,succeeded,22:17.5,,,,14.26980591
1411932,1382621,yes,succeeded,22:17.9,,,,14.45970178
1411933,1382622,yes,succeeded,22:18.4,,,,14.69306684
1411934,1382623,yes,failed,22:47.8,get values,403,,42.53092933
1411935,1382624,yes,succeeded,22:19.4,,,,12.13072395
1411936,1382625,yes,succeeded,22:24.4,,,,14.22516608
1411937,1382626,yes,succeeded,22:24.5,,,,14.09953451
1411938,1382627,yes,succeeded,22:30.3,,,,12.87584352
1411939,1382628,yes,succeeded,22:31.9,,,,14.0277853
1411940,1382629,yes,succeeded,22:31.3,,,,12.87239909
1411941,1382630,yes,succeeded,22:31.4,,,,11.9828229
1411942,1382631,yes,succeeded,22:37.8,,,,13.44889593
1411943,1382632,yes,succeeded,22:38.4,,,,13.87362528
1411944,1382633,yes,succeeded,22:39.2,,,,12.9723177
1411945,1382634,yes,succeeded,22:44.3,,,,13.94965148
1411946,1382635,yes,succeeded,22:46.2,,,,14.96506357
1411947,1382636,yes,succeeded,22:45.5,,,,14.15934324
1411948,1382637,yes,failed,23:14.1,get values,403,,42.17280674
1411950,1382639,yes,succeeded,22:50.5,,,,12.64762783
1411949,1382638,yes,failed,22:55.6,open session,400,,17.2184217
1411951,1382640,yes,succeeded,22:51.8,,,,12.60272312
1411952,1382641,yes,succeeded,22:58.5,,,,14.20956182
1411953,1382642,yes,succeeded,22:59.2,,,,13.69566178
1411954,1382643,yes,succeeded,22:58.9,,,,12.65744352
1411955,1382644,yes,failed,23:29.9,get values,403,,42.12544608
1411956,1382645,yes,succeeded,23:03.8,,,,13.32187676
1411957,1382646,yes,succeeded,23:04.5,,,,12.70584607
1411958,1382648,yes,succeeded,23:09.1,,,,13.48353481
1411959,1382647,yes,succeeded,23:11.0,,,,12.53888893
