Index,Project Type,E&O
1,Air Emission Control Systems,2
2,Airport - Runway,4
3,Airport Terminal,3
4,Amusement Parks,3
5,Amusement Rides,4
6,Apartments,3
7,Arenas/Stadiums,4
8,Asbestos/Lead/Mold Abatement,4
9,Biofuels,5
10,Banks,1
11,Bridge/Tunnels,4
12,Casinos,3
13,Cell Towers,2
14,Churches/Religious,1
15,Clean Room/Lab,2
16,Commercial/Retail/Shopping Center/Restaurant,1
17,Condos/Co-ops (Nothing over 10%),4
18,Construction Staking,3
19,Convention Centers,2
20,Cranes,4
21,Courthouses,2
22,Curtain Walls,4
23,Custom Single Family,4
24,Dams,4
25,Dormitories,1
26,Education - See Schools,4
27,Enveloping,4
28,Enviro Remediation,2
29,Ethanol,4
30,Façade Restoration,4
31,Fast Track ,4
32,Fire Protection,3
33,Fisheries/Fish Farms,4
34,Foundation/Shoring  Design,4
35,Graphic Design/Signage,2
36,Harbors/Piers/Ports,4
37,High Rise >15 floors,3
38,Highways/Roadways,4
39,Hospital/Assisted Living,2
40,Hotels/Motels,2
41,Industrial/Manufacturing,2
42,Industrial/Manufacturing- Process/Mech Engineers,2
43,Interior Design,1
44,Jails/Prisons,2
45,Landfills,5
46,Landman,5
47,Landscape Architecture,1
48,Libraries,1
49,Low Rise <15 floors,1
50,Mass Transit,4
51,Machinery/Equipment Design,3
52,Military facilities ,1
53,Mines ,4
54,Municipal Bldgs,2
55,Naval/Marine Engineering,5
56,Nuclear/Atomic,2
57,Operation & Maintenance Services,2
58,Office,1
59,Oil/Gas Pipeline Inspectors,5
60,Oil/Gas,3
61,Parking Structures,4
62,Parks/Playgrounds (no pools/rides),3
63,Phase I Enviro Assessments,1
64,Phase II – III Enviro Assessments ENVIRO?,2
65,Pipeline Inspectors,5
66,Pools,4
67,Pre-engineered Bldg/Structures,3
68,Private Dwellings,3
69,Product Design (Up to prototype stage only),3
70,Real Estate Exposures,4
71,Recreation Sports (excl stadiums/arenas),2
72,Renewable Energy,4
73,Roofs/Waterproofing/Building Envelope,4
74,Private Schools,3
75,Public Schools,4
76,Sewer/Water Systems,3
77,Site Development,3
78,Steel Design/Fabrication,3
79,Subdivisions,4
80,Telecommunication,2
81,Temporary Shoring/Structures,4
82,Theatres/Museums,2
83,Toxic/Hazardous Waste Sites CPL,4
84,Townhouses,4
85,Tunnels,4
86,Tract Homes,4
87,Underground Storage tanks,3
88,Urban Planning,3
89,Utilities,2
90,Utility Locating Services/Underground,5
91,W/WWTF – Plant Eng,2
92,Warehouses,1
93,Waste Treatment,3
94,Wastewater,3
95,Water/Sewer Pipelines,3
96,Welding Inspection,4
