Rateable Revenue,Size discount
0,0
100000,0
200000,0
300000,0
400000,0
500000,0
600000,0
700000,0
800000,0
900000,0
1000000,0
5000000,0.050000000000000044
10000000,0.0975
15000000,0.15164999999999995
20000000,0.20467187499999995
25000000,0.24921024999999997
30000000,0.3066891629322662
35000000,0.35139288470909025
40000000,0.39090777123458775
45000000,0.4211903838514621
50000000,0.4490634989550264
100000000,0.5665551853329943
150000000,0.6244829442801425
200000000,0.6612001044418898
250000000,0.6870275382387988
300000000,0.704979306
999999999999999,0.704979306
