"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01","['rarc_task', 'steer_format_raw_data_task', 'steer_tri_override_setup_task', 'steer_tri_count_override_setup_task', 'steer_populate_bc_patterns_task', 'start_renewal_task']","n/a"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31","['rarc_task']","n/a"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a","n/a","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a","n/a","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a","n/a","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a","n/a","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a","n/a","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None","n/a","n/a"
"cds/key_industry/code","code","str","input","optional","Industry Code","None","n/a","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None","n/a","n/a"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/standard_fields/insured_name","insured_name","str","input","optional","Insured Name","None","['start_renewal_task']","n/a"
"cds/standard_fields/broker","broker","str","input","optional","Broker Name","None","n/a","n/a"
"cds/standard_fields/expiry_date","expiry_date","date","output","n/a","Expiry Date","n/a","n/a","n/a"
"cds/standard_fields/inception_date","inception_date","date","output","n/a","Inception Date","n/a","n/a","n/a"
"cds/standard_fields/insured_country","insured_country","str","input","optional","Insured Country","None","n/a","n/a"
"cds/standard_fields/insured_postal_code","insured_postal_code","str","input","optional","Insured Postal Code","None","n/a","n/a"
"cds/standard_fields/insured_state_or_province","insured_state_or_province","str","input","optional","Insured State or Province","None","n/a","n/a"
"cds/standard_fields/is_admitted_or_surplus","is_admitted_or_surplus","str","input","optional","Is Admitted Or Surplus","None","n/a","n/a"
"cds/standard_fields/is_free_trade_zone","is_free_trade_zone","bool","input","required","Is Free-Trade Zone","False","n/a","n/a"
"cds/standard_fields/is_renewal","is_renewal","bool","input","required","Is Renewal","False","n/a","[{'task': 'start_renewal_task', 'reset': False}]"
"cds/standard_fields/underwriter","underwriter","str","input","optional","Underwriter","None","n/a","n/a"
"cds/standard_fields/policy_reference","policy_reference","str","input","optional","Policy Reference","None","n/a","n/a"
"cds/standard_fields/facility_reference","facility_reference","str","input","optional","Facility Reference","None","n/a","n/a"
"cds/standard_fields/benchmark_class","benchmark_class","str","output","n/a","Benchmark Class","n/a","n/a","n/a"
"cds/standard_fields/uw_rationale","uw_rationale","str","input","optional","Underwriter Rationale","None","n/a","n/a"
"cds/standard_fields/trifocus","trifocus","str","input","optional","Trifocus","None","n/a","n/a"
"cds/standard_fields/rating_methodology","rating_methodology","str","input","required","Rater Priced or Case Priced?","Rater","n/a","n/a"
"cds/standard_fields/is_case_priced","is_case_priced","bool","output","n/a","Is Case Priced","n/a","n/a","n/a"
"cds/standard_fields/is_rater_priced","is_rater_priced","bool","output","n/a","Is Rater Priced","n/a","n/a","n/a"
"cds/standard_fields","standard_fields","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/limit","limit","float","input","required","Limit","1","['rarc_task', 'steer_format_raw_data_task', 'advanced_features_task']","n/a"
"cds/layers/excess","excess","float","input","required","Excess","0","['rarc_task', 'steer_format_raw_data_task', 'advanced_features_task']","n/a"
"cds/layers/deductible","deductible","float","input","optional","Deductible","None","['rarc_task']","n/a"
"cds/layers/aggregate_limit","aggregate_limit","float","input","optional","Aggregate Limit","None","n/a","n/a"
"cds/layers/aggregate_excess","aggregate_excess","float","input","optional","Aggregate Excess","None","n/a","n/a"
"cds/layers/aggregate_deductible","aggregate_deductible","float","input","optional","Aggregate Deductible","None","['advanced_features_task']","n/a"
"cds/layers/currency","currency","str","output","n/a","Currency","n/a","['rarc_task']","n/a"
"cds/layers/section_reference","section_reference","str","input","optional","Section Reference","None","n/a","['start_renewal_task']"
"cds/layers/brokerage","brokerage","float","input","required","Brokerage","0","['rarc_task', 'advanced_features_task']","n/a"
"cds/layers/written_line","written_line","float","input","required","Written Line","0","['rarc_task']","n/a"
"cds/layers/premium","premium","float","input","optional","Gross Bound Premium","None","n/a","n/a"
"cds/layers/status","status","str","input","optional","Status","None","n/a","n/a"
"cds/layers/is_primary_excess","is_primary_excess","str","input","optional","Primary or Excess","None","n/a","n/a"
"cds/layers/benchmark_premium","benchmark_premium","float","output","n/a","Gross Benchmark Premium","n/a","['rarc_task']","n/a"
"cds/layers/bpi","bpi","float","output","n/a","BPI","n/a","n/a","n/a"
"cds/layers/bpi_pre_uw_adj","bpi_pre_uw_adj","float","output","n/a","BPI (Pre-UW Adjustment)","n/a","n/a","n/a"
"cds/layers/model_premium","model_premium","float","output","n/a","Gross Model Premium","n/a","n/a","n/a"
"cds/layers/unity_premium","unity_premium","float","output","n/a","Gross Unity Premium","n/a","n/a","n/a"
"cds/layers/quoted_premium","quoted_premium","float","output","n/a","Gross Quoted Premium (AFB)","n/a","['rarc_task']","n/a"
"cds/layers/technical_premium","technical_premium","float","output","n/a","Gross Technical Premium","n/a","n/a","n/a"
"cds/layers/technical_premium_pre_uw_adj","technical_premium_pre_uw_adj","float","output","n/a","Gross Technical Premium (Pre-UW Adjustment)","n/a","n/a","n/a"
"cds/layers/technical_premium_net","technical_premium_net","float","output","n/a","Net Technical Premium","n/a","n/a","n/a"
"cds/layers/tpi","tpi","float","output","n/a","TPI","n/a","n/a","n/a"
"cds/layers/tpi_pre_uw_adj","tpi_pre_uw_adj","float","output","n/a","TPI (Pre-UW Adjustment)","n/a","n/a","n/a"
"cds/layers/pflr_att","pflr_att","float","output","n/a","Priced-for Loss Ratio (Att)","n/a","n/a","n/a"
"cds/layers/pflr_cat","pflr_cat","float","output","n/a","Priced-for Loss Ratio (Cat)","n/a","n/a","n/a"
"cds/layers/pflr","pflr","float","output","n/a","Priced-for Loss Ratio","n/a","n/a","n/a"
"cds/layers/roc","roc","float","output","n/a","Return on Capital","n/a","n/a","n/a"
"cds/layers/uw_adj_impact","uw_adj_impact","float","output","n/a","Impact of Underwriting Adjustments","n/a","n/a","n/a"
"cds/layers/trifocus","trifocus","str","input","optional","Trifocus","None","n/a","n/a"
