ccy,fx_rate,period
USD,1,
AED,3.6723,
AFN,70.54,
ALL,93.62,
AMD,403.79,
AOA,842.5,
ARS,808.45,
AUD,1.468,
AWG,1.78,
AZN,1.695,
BAM,1.7718,
BBD,1.9981,
BDT,109.5,
BGN,1.7718,
BHD,0.3769,
BIF,2833.26,
BMD,1,
BND,1.3191,
BOB,6.86,
BRL,4.8521,
BTN,83.12,
BWP,13.3333,
BZD,1.9982,
CAD,1.3245,
CDF,2660,
CHF,0.8415,
CLP,880.58,
CNY,7.0978,
COP,3872.59,
CRC,519.22,
CUP,24,
CVE,99.9,
CZK,22.352,
DJF,177.55,
DKK,6.7542,
DOP,57.9,
DZD,134.1126,
EGP,30.9,
ETB,55.9969,
EUR,0.906,
FJD,2.1626,
GBP,0.7854,
GEL,2.6648,
GHS,11.9,
GMD,66.45,
GNF,8511,
GTQ,7.815,
GYD,207.98,
HKD,7.8086,
HNL,24.623,
HTG,131.2303,
HUF,346.77,
IDR,15395,
ILS,3.6008,
INR,83.19,
IQD,1309,
IRR,42000,
ISK,135.85,
JMD,153.59,
JOD,0.7088,
JPY,141.06,
KES,156.5,
KHR,4071,
KMF,444.8,
KRW,1294.4,
KWD,0.3072,
KYD,0.825,
KZT,453.4,
LAK,20455.5,
LBP,15000,
LKR,323.8,
LRD,189,
LSL,18.2813,
LYD,4.7536,
MAD,9.8637,
MDL,17.248,
MGA,4548.5,
MKD,55.48,
MMK,2093.7,
MNT,3432,
MOP,8.049,
MUR,43.87,
MVR,15.42,
MWK,1666.74,
MXN,16.954,
MYR,4.59,
MZN,63.23,
NAD,18.5205,
NIO,36.2,
NOK,10.1351,
NPR,133.13,
NZD,1.5805,
OMR,0.3849,
PAB,1,
PEN,3.704,
PGK,3.7272,
PHP,55.388,
PKR,280.97,
PLN,3.9328,
PYG,7263.59,
QAR,3.6411,
RON,4.5034,
RSD,106.09,
RUB,89.2455,
RWF,1251.42,
SAR,3.7498,
SCR,13.4462,
SDG,598.7002,
SEK,10.067,
SGD,1.3191,
SHP,0.7862,
SOS,568,
SYP,13000,
SZL,18.2873,
THB,34.35,
TND,3.0755,
TRY,29.4766,
TTD,6.7486,
TWD,30.682,
TZS,2505,
UAH,38.05,
UGX,3775,
UYU,39.04,
UZS,12347.86,
VND,24260,
VUV,116,
XAF,594.27,
XCD,2.7,
XOF,589.25,
XPF,107.79,
YER,249.98,
ZAR,18.2822,
ZWD,378,
