Description,Parametric,Curve Description,Source
A&E Large Risks,Yes,,Professions model.
A&E Small Risks,No,,BUSA US A&E curve
CAL - 1 Light And Medium Trucks (Group 1),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 2),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 3),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 4),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 5),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 6),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 7),No,See Curve Descriptions for groupings.,ISO
CAL - 1 Light And Medium Trucks (Group 8),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 1),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 2),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 3),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 4),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 5),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 6),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 7),No,See Curve Descriptions for groupings.,ISO
CAL - 2 Heavy Trucks And Trucktractors (Group 8),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 1),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),No,See Curve Descriptions for groupings.,ISO
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 8),No,See Curve Descriptions for groupings.,ISO
CAL - 4 Zone Rated Risks (Group 1),No,See Curve Descriptions for groupings.,ISO
CAL - 4 Zone Rated Risks (Group 2),No,See Curve Descriptions for groupings.,ISO
CAL - 4 Zone Rated Risks (Group 3),No,See Curve Descriptions for groupings.,ISO
CAL - 4 Zone Rated Risks (Group 4),No,See Curve Descriptions for groupings.,ISO
