Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8
District of Columbia,Arizona,Alaska,Alabama,Louisiana,Pennsylvania,California,New York
Maine,Connecticut,Arkansas,Florida,Michigan,,,
Maryland,Delaware,Colorado,Mississippi,Nevada,,,
Minnesota,Idaho,Georgia,Oklahoma,,,,
New Hampshire,Indiana,Illinois,,,,,
North Carolina,Iowa,Kentucky,,,,,
North Dakota,Kansas,Missouri,,,,,
Ohio,Nebraska,Montana,,,,,
Oregon,Tennessee,New Jersey,,,,,
Rhode Island,Washington,New Mexico,,,,,
Utah,Wisconsin,South Carolina,,,,,
Vermont,,South Dakota,,,,,
Virginia,,Texas,,,,,
,,West Virginia,,,,,
,,Wyoming,,,,,
