Version,Benchmark Class,qtr,value
18,Aviation Liab,1,1.30E-04
18,Aviation Liab,2,1.18E-03
18,Aviation Liab,3,1.04E-02
18,Aviation Liab,4,5.18E-02
18,Aviation Liab,5,0.207320535
18,Aviation Liab,6,0.414640071
18,Aviation Liab,7,0.621960606
18,Aviation Liab,8,0.701070271
18,Aviation Liab,9,0.764564146
18,Aviation Liab,10,0.815117391
18,Aviation Liab,11,0.85532444
18,Aviation Liab,12,0.887400086
18,Aviation Liab,13,0.91312256
18,Aviation Liab,14,0.933885108
18,Aviation Liab,15,0.950761273
18,Aviation Liab,16,0.964579443
18,Aviation Liab,17,0.975973789
18,Aviation Liab,18,0.985435612
18,Aviation Liab,19,0.993345413
18,Aviation Liab,20,1
18,Aviation Liab,21,1
18,Aviation Liab,22,1
18,Aviation Liab,23,1
18,Aviation Liab,24,1
18,Aviation Liab,25,1
18,Aviation Liab,26,1
18,Aviation Liab,27,1
18,Aviation Liab,28,1
18,Aviation Liab,29,1
18,Aviation Liab,30,1
18,Aviation Liab,31,1
18,Aviation Liab,32,1
18,Aviation Liab,33,1
18,Aviation Liab,34,1
18,Aviation Liab,35,1
18,Aviation Liab,36,1
18,Aviation Liab,37,1
18,Aviation Liab,38,1
18,Aviation Liab,39,1
18,Aviation Liab,40,1
18,Aviation Liab,41,1
18,Aviation Liab,42,1
18,Aviation Liab,43,1
18,Aviation Liab,44,1
18,Aviation Liab,45,1
18,Aviation Liab,46,1
18,Aviation Liab,47,1
18,Aviation Liab,48,1
18,Aviation Liab,49,1
18,Aviation Liab,50,1
18,Aviation Liab,51,1
18,Aviation Liab,52,1
18,Aviation Liab,53,1
18,Aviation Liab,54,1
18,Aviation Liab,55,1
18,Aviation Liab,56,1
18,Aviation Liab,57,1
18,Aviation Liab,58,1
18,Aviation Liab,59,1
18,Aviation Liab,60,1
18,Aviation Liab,61,1
18,Aviation Liab,62,1
18,Aviation Liab,63,1
18,Aviation Liab,64,1
18,Aviation Liab,65,1
18,Aviation Liab,66,1
18,Aviation Liab,67,1
18,Aviation Liab,68,1
18,Aviation Liab,69,1
18,Aviation Liab,70,1
18,Aviation Liab,71,1
18,Aviation Liab,72,1
18,Aviation Liab,73,1
18,Aviation Liab,74,1
18,Aviation Liab,75,1
18,Aviation Liab,76,1
18,Aviation Liab,77,1
18,Aviation Liab,78,1
18,Aviation Liab,79,1
18,Aviation Liab,80,1
18,Aviation PD,1,0.033273
18,Aviation PD,2,0.071966
18,Aviation PD,3,0.116382
18,Aviation PD,4,0.289682
18,Aviation PD,5,0.502674
18,Aviation PD,6,0.713693
18,Aviation PD,7,0.815753
18,Aviation PD,8,0.897329
18,Aviation PD,9,0.954109
18,Aviation PD,10,0.999026
18,Aviation PD,11,1
18,Aviation PD,12,1
18,Aviation PD,13,1
18,Aviation PD,14,1
18,Aviation PD,15,1
18,Aviation PD,16,1
18,Aviation PD,17,1
18,Aviation PD,18,1
18,Aviation PD,19,1
18,Aviation PD,20,1
18,Aviation PD,21,1
18,Aviation PD,22,1
18,Aviation PD,23,1
18,Aviation PD,24,1
18,Aviation PD,25,1
18,Aviation PD,26,1
18,Aviation PD,27,1
18,Aviation PD,28,1
18,Aviation PD,29,1
18,Aviation PD,30,1
18,Aviation PD,31,1
18,Aviation PD,32,1
18,Aviation PD,33,1
18,Aviation PD,34,1
18,Aviation PD,35,1
18,Aviation PD,36,1
18,Aviation PD,37,1
18,Aviation PD,38,1
18,Aviation PD,39,1
18,Aviation PD,40,1
18,Aviation PD,41,1
18,Aviation PD,42,1
18,Aviation PD,43,1
18,Aviation PD,44,1
18,Aviation PD,45,1
18,Aviation PD,46,1
18,Aviation PD,47,1
18,Aviation PD,48,1
18,Aviation PD,49,1
18,Aviation PD,50,1
18,Aviation PD,51,1
18,Aviation PD,52,1
18,Aviation PD,53,1
18,Aviation PD,54,1
18,Aviation PD,55,1
18,Aviation PD,56,1
18,Aviation PD,57,1
18,Aviation PD,58,1
18,Aviation PD,59,1
18,Aviation PD,60,1
18,Aviation PD,61,1
18,Aviation PD,62,1
18,Aviation PD,63,1
18,Aviation PD,64,1
18,Aviation PD,65,1
18,Aviation PD,66,1
18,Aviation PD,67,1
18,Aviation PD,68,1
18,Aviation PD,69,1
18,Aviation PD,70,1
18,Aviation PD,71,1
18,Aviation PD,72,1
18,Aviation PD,73,1
18,Aviation PD,74,1
18,Aviation PD,75,1
18,Aviation PD,76,1
18,Aviation PD,77,1
18,Aviation PD,78,1
18,Aviation PD,79,1
18,Aviation PD,80,1
18,US Marine,1,0.014674
18,US Marine,2,0.025245
18,US Marine,3,0.080435
18,US Marine,4,0.263058
18,US Marine,5,0.469184
18,US Marine,6,0.613411
18,US Marine,7,0.726191
18,US Marine,8,0.807452
18,US Marine,9,0.867393
18,US Marine,10,0.899999
18,US Marine,11,0.922069
18,US Marine,12,0.938405
18,US Marine,13,0.950689
18,US Marine,14,0.960066
18,US Marine,15,0.967325
18,US Marine,16,0.980909
18,US Marine,17,0.991597
18,US Marine,18,1
18,US Marine,19,1
18,US Marine,20,1
18,US Marine,21,1
18,US Marine,22,1
18,US Marine,23,1
18,US Marine,24,1
18,US Marine,25,1
18,US Marine,26,1
18,US Marine,27,1
18,US Marine,28,1
18,US Marine,29,1
18,US Marine,30,1
18,US Marine,31,1
18,US Marine,32,1
18,US Marine,33,1
18,US Marine,34,1
18,US Marine,35,1
18,US Marine,36,1
18,US Marine,37,1
18,US Marine,38,1
18,US Marine,39,1
18,US Marine,40,1
18,US Marine,41,1
18,US Marine,42,1
18,US Marine,43,1
18,US Marine,44,1
18,US Marine,45,1
18,US Marine,46,1
18,US Marine,47,1
18,US Marine,48,1
18,US Marine,49,1
18,US Marine,50,1
18,US Marine,51,1
18,US Marine,52,1
18,US Marine,53,1
18,US Marine,54,1
18,US Marine,55,1
18,US Marine,56,1
18,US Marine,57,1
18,US Marine,58,1
18,US Marine,59,1
18,US Marine,60,1
18,US Marine,61,1
18,US Marine,62,1
18,US Marine,63,1
18,US Marine,64,1
18,US Marine,65,1
18,US Marine,66,1
18,US Marine,67,1
18,US Marine,68,1
18,US Marine,69,1
18,US Marine,70,1
18,US Marine,71,1
18,US Marine,72,1
18,US Marine,73,1
18,US Marine,74,1
18,US Marine,75,1
18,US Marine,76,1
18,US Marine,77,1
18,US Marine,78,1
18,US Marine,79,1
18,US Marine,80,1
18,Cargo,1,0.00062
18,Cargo,2,0.01439
18,Cargo,3,0.12926
18,Cargo,4,0.235676
18,Cargo,5,0.396145
18,Cargo,6,0.568518
18,Cargo,7,0.717091
18,Cargo,8,0.829141
18,Cargo,9,0.895526
18,Cargo,10,0.918519
18,Cargo,11,0.944673
18,Cargo,12,0.964247
18,Cargo,13,0.979194
18,Cargo,14,0.990816
18,Cargo,15,1
18,Cargo,16,1
18,Cargo,17,1
18,Cargo,18,1
18,Cargo,19,1
18,Cargo,20,1
18,Cargo,21,1
18,Cargo,22,1
18,Cargo,23,1
18,Cargo,24,1
18,Cargo,25,1
18,Cargo,26,1
18,Cargo,27,1
18,Cargo,28,1
18,Cargo,29,1
18,Cargo,30,1
18,Cargo,31,1
18,Cargo,32,1
18,Cargo,33,1
18,Cargo,34,1
18,Cargo,35,1
18,Cargo,36,1
18,Cargo,37,1
18,Cargo,38,1
18,Cargo,39,1
18,Cargo,40,1
18,Cargo,41,1
18,Cargo,42,1
18,Cargo,43,1
18,Cargo,44,1
18,Cargo,45,1
18,Cargo,46,1
18,Cargo,47,1
18,Cargo,48,1
18,Cargo,49,1
18,Cargo,50,1
18,Cargo,51,1
18,Cargo,52,1
18,Cargo,53,1
18,Cargo,54,1
18,Cargo,55,1
18,Cargo,56,1
18,Cargo,57,1
18,Cargo,58,1
18,Cargo,59,1
18,Cargo,60,1
18,Cargo,61,1
18,Cargo,62,1
18,Cargo,63,1
18,Cargo,64,1
18,Cargo,65,1
18,Cargo,66,1
18,Cargo,67,1
18,Cargo,68,1
18,Cargo,69,1
18,Cargo,70,1
18,Cargo,71,1
18,Cargo,72,1
18,Cargo,73,1
18,Cargo,74,1
18,Cargo,75,1
18,Cargo,76,1
18,Cargo,77,1
18,Cargo,78,1
18,Cargo,79,1
18,Cargo,80,1
18,Downhole,1,0.001364
18,Downhole,2,0.033718
18,Downhole,3,0.125575
18,Downhole,4,0.253616
18,Downhole,5,0.499151
18,Downhole,6,0.654129
18,Downhole,7,0.880918
18,Downhole,8,1
18,Downhole,9,1
18,Downhole,10,1
18,Downhole,11,1
18,Downhole,12,1
18,Downhole,13,1
18,Downhole,14,1
18,Downhole,15,1
18,Downhole,16,1
18,Downhole,17,1
18,Downhole,18,1
18,Downhole,19,1
18,Downhole,20,1
18,Downhole,21,1
18,Downhole,22,1
18,Downhole,23,1
18,Downhole,24,1
18,Downhole,25,1
18,Downhole,26,1
18,Downhole,27,1
18,Downhole,28,1
18,Downhole,29,1
18,Downhole,30,1
18,Downhole,31,1
18,Downhole,32,1
18,Downhole,33,1
18,Downhole,34,1
18,Downhole,35,1
18,Downhole,36,1
18,Downhole,37,1
18,Downhole,38,1
18,Downhole,39,1
18,Downhole,40,1
18,Downhole,41,1
18,Downhole,42,1
18,Downhole,43,1
18,Downhole,44,1
18,Downhole,45,1
18,Downhole,46,1
18,Downhole,47,1
18,Downhole,48,1
18,Downhole,49,1
18,Downhole,50,1
18,Downhole,51,1
18,Downhole,52,1
18,Downhole,53,1
18,Downhole,54,1
18,Downhole,55,1
18,Downhole,56,1
18,Downhole,57,1
18,Downhole,58,1
18,Downhole,59,1
18,Downhole,60,1
18,Downhole,61,1
18,Downhole,62,1
18,Downhole,63,1
18,Downhole,64,1
18,Downhole,65,1
18,Downhole,66,1
18,Downhole,67,1
18,Downhole,68,1
18,Downhole,69,1
18,Downhole,70,1
18,Downhole,71,1
18,Downhole,72,1
18,Downhole,73,1
18,Downhole,74,1
18,Downhole,75,1
18,Downhole,76,1
18,Downhole,77,1
18,Downhole,78,1
18,Downhole,79,1
18,Downhole,80,1
18,Energy Liab and Cas,1,0.053136
18,Energy Liab and Cas,2,0.207989
18,Energy Liab and Cas,3,0.393948
18,Energy Liab and Cas,4,0.54626
18,Energy Liab and Cas,5,0.656487
18,Energy Liab and Cas,6,0.734357
18,Energy Liab and Cas,7,0.789942
18,Energy Liab and Cas,8,0.830461
18,Energy Liab and Cas,9,0.860682
18,Energy Liab and Cas,10,0.883723
18,Energy Liab and Cas,11,0.901643
18,Energy Liab and Cas,12,0.915832
18,Energy Liab and Cas,13,0.927246
18,Energy Liab and Cas,14,0.936557
18,Energy Liab and Cas,15,0.944249
18,Energy Liab and Cas,16,0.950674
18,Energy Liab and Cas,17,0.956096
18,Energy Liab and Cas,18,0.960712
18,Energy Liab and Cas,19,0.964674
18,Energy Liab and Cas,20,0.9681
18,Energy Liab and Cas,21,0.971083
18,Energy Liab and Cas,22,0.973695
18,Energy Liab and Cas,23,0.975996
18,Energy Liab and Cas,24,0.978034
18,Energy Liab and Cas,25,0.979847
18,Energy Liab and Cas,26,0.981467
18,Energy Liab and Cas,27,0.982921
18,Energy Liab and Cas,28,0.98423
18,Energy Liab and Cas,29,0.985414
18,Energy Liab and Cas,30,0.986487
18,Energy Liab and Cas,31,0.987464
18,Energy Liab and Cas,32,0.988356
18,Energy Liab and Cas,33,0.989172
18,Energy Liab and Cas,34,0.98992
18,Energy Liab and Cas,35,0.990608
18,Energy Liab and Cas,36,0.991585
18,Energy Liab and Cas,37,0.992452
18,Energy Liab and Cas,38,0.993223
18,Energy Liab and Cas,39,0.99391
18,Energy Liab and Cas,40,0.994521
18,Energy Liab and Cas,41,0.995067
18,Energy Liab and Cas,42,0.995555
18,Energy Liab and Cas,43,0.995991
18,Energy Liab and Cas,44,0.996382
18,Energy Liab and Cas,45,0.996731
18,Energy Liab and Cas,46,0.997045
18,Energy Liab and Cas,47,0.997326
18,Energy Liab and Cas,48,0.997579
18,Energy Liab and Cas,49,0.997807
18,Energy Liab and Cas,50,0.998011
18,Energy Liab and Cas,51,0.998195
18,Energy Liab and Cas,52,0.998362
18,Energy Liab and Cas,53,0.998511
18,Energy Liab and Cas,54,0.998647
18,Energy Liab and Cas,55,0.998769
18,Energy Liab and Cas,56,0.998879
18,Energy Liab and Cas,57,0.998979
18,Energy Liab and Cas,58,0.99907
18,Energy Liab and Cas,59,0.999152
18,Energy Liab and Cas,60,0.999226
18,Energy Liab and Cas,61,1
18,Energy Liab and Cas,62,1
18,Energy Liab and Cas,63,1
18,Energy Liab and Cas,64,1
18,Energy Liab and Cas,65,1
18,Energy Liab and Cas,66,1
18,Energy Liab and Cas,67,1
18,Energy Liab and Cas,68,1
18,Energy Liab and Cas,69,1
18,Energy Liab and Cas,70,1
18,Energy Liab and Cas,71,1
18,Energy Liab and Cas,72,1
18,Energy Liab and Cas,73,1
18,Energy Liab and Cas,74,1
18,Energy Liab and Cas,75,1
18,Energy Liab and Cas,76,1
18,Energy Liab and Cas,77,1
18,Energy Liab and Cas,78,1
18,Energy Liab and Cas,79,1
18,Energy Liab and Cas,80,1
18,Energy PD,1,0.001145
18,Energy PD,2,0.011364
18,Energy PD,3,0.075509
18,Energy PD,4,0.154804
18,Energy PD,5,0.296977
18,Energy PD,6,0.40985
18,Energy PD,7,0.697399
18,Energy PD,8,0.783304
18,Energy PD,9,0.841772
18,Energy PD,10,0.886337
18,Energy PD,11,0.920727
18,Energy PD,12,0.947628
18,Energy PD,13,0.968956
18,Energy PD,14,0.986082
18,Energy PD,15,1
18,Energy PD,16,1
18,Energy PD,17,1
18,Energy PD,18,1
18,Energy PD,19,1
18,Energy PD,20,1
18,Energy PD,21,1
18,Energy PD,22,1
18,Energy PD,23,1
18,Energy PD,24,1
18,Energy PD,25,1
18,Energy PD,26,1
18,Energy PD,27,1
18,Energy PD,28,1
18,Energy PD,29,1
18,Energy PD,30,1
18,Energy PD,31,1
18,Energy PD,32,1
18,Energy PD,33,1
18,Energy PD,34,1
18,Energy PD,35,1
18,Energy PD,36,1
18,Energy PD,37,1
18,Energy PD,38,1
18,Energy PD,39,1
18,Energy PD,40,1
18,Energy PD,41,1
18,Energy PD,42,1
18,Energy PD,43,1
18,Energy PD,44,1
18,Energy PD,45,1
18,Energy PD,46,1
18,Energy PD,47,1
18,Energy PD,48,1
18,Energy PD,49,1
18,Energy PD,50,1
18,Energy PD,51,1
18,Energy PD,52,1
18,Energy PD,53,1
18,Energy PD,54,1
18,Energy PD,55,1
18,Energy PD,56,1
18,Energy PD,57,1
18,Energy PD,58,1
18,Energy PD,59,1
18,Energy PD,60,1
18,Energy PD,61,1
18,Energy PD,62,1
18,Energy PD,63,1
18,Energy PD,64,1
18,Energy PD,65,1
18,Energy PD,66,1
18,Energy PD,67,1
18,Energy PD,68,1
18,Energy PD,69,1
18,Energy PD,70,1
18,Energy PD,71,1
18,Energy PD,72,1
18,Energy PD,73,1
18,Energy PD,74,1
18,Energy PD,75,1
18,Energy PD,76,1
18,Energy PD,77,1
18,Energy PD,78,1
18,Energy PD,79,1
18,Energy PD,80,1
18,Hull,1,0.014674
18,Hull,2,0.025245
18,Hull,3,0.080435
18,Hull,4,0.263058
18,Hull,5,0.469184
18,Hull,6,0.613411
18,Hull,7,0.726191
18,Hull,8,0.807452
18,Hull,9,0.867393
18,Hull,10,0.899999
18,Hull,11,0.922069
18,Hull,12,0.938405
18,Hull,13,0.950689
18,Hull,14,0.960066
18,Hull,15,0.967325
18,Hull,16,0.980909
18,Hull,17,0.991597
18,Hull,18,1
18,Hull,19,1
18,Hull,20,1
18,Hull,21,1
18,Hull,22,1
18,Hull,23,1
18,Hull,24,1
18,Hull,25,1
18,Hull,26,1
18,Hull,27,1
18,Hull,28,1
18,Hull,29,1
18,Hull,30,1
18,Hull,31,1
18,Hull,32,1
18,Hull,33,1
18,Hull,34,1
18,Hull,35,1
18,Hull,36,1
18,Hull,37,1
18,Hull,38,1
18,Hull,39,1
18,Hull,40,1
18,Hull,41,1
18,Hull,42,1
18,Hull,43,1
18,Hull,44,1
18,Hull,45,1
18,Hull,46,1
18,Hull,47,1
18,Hull,48,1
18,Hull,49,1
18,Hull,50,1
18,Hull,51,1
18,Hull,52,1
18,Hull,53,1
18,Hull,54,1
18,Hull,55,1
18,Hull,56,1
18,Hull,57,1
18,Hull,58,1
18,Hull,59,1
18,Hull,60,1
18,Hull,61,1
18,Hull,62,1
18,Hull,63,1
18,Hull,64,1
18,Hull,65,1
18,Hull,66,1
18,Hull,67,1
18,Hull,68,1
18,Hull,69,1
18,Hull,70,1
18,Hull,71,1
18,Hull,72,1
18,Hull,73,1
18,Hull,74,1
18,Hull,75,1
18,Hull,76,1
18,Hull,77,1
18,Hull,78,1
18,Hull,79,1
18,Hull,80,1
18,Marine Libs,1,0.014013
18,Marine Libs,2,0.040108
18,Marine Libs,3,0.077619
18,Marine Libs,4,0.116758
18,Marine Libs,5,0.20792
18,Marine Libs,6,0.276852
18,Marine Libs,7,0.382623
18,Marine Libs,8,0.491825
18,Marine Libs,9,0.544849
18,Marine Libs,10,0.61417
18,Marine Libs,11,0.679359
18,Marine Libs,12,0.74004
18,Marine Libs,13,0.796069
18,Marine Libs,14,0.847474
18,Marine Libs,15,0.87698
18,Marine Libs,16,0.902496
18,Marine Libs,17,0.924634
18,Marine Libs,18,0.943907
18,Marine Libs,19,0.960747
