"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01","['task_fetch_ihs_data', 'rarc_task', 'start_renewal_task']","n/a"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31","['rarc_task']","n/a"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a","n/a","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a","n/a","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a","n/a","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a","n/a","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a","n/a","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None","n/a","n/a"
"cds/key_industry/code","code","str","input","optional","Industry Code","None","n/a","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None","n/a","n/a"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/total_sum_insured","total_sum_insured","float","output","n/a","Total Sum Insured","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/bi_sum_insured","bi_sum_insured","float","output","n/a","BI Sum Insured","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/pd_sum_insured","pd_sum_insured","float","output","n/a","PD Sum Insured","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/policy_limit","policy_limit","float","output","n/a","Policy Limit","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/policy_sublimit","policy_sublimit","float","output","n/a","Policy Sub Limit","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/policy_excess","policy_excess","float","output","n/a","Policy Excess","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/policy_deductible","policy_deductible","float","output","n/a","Policy Deductible","n/a","['rarc_task']","n/a"
"cds/exposure/aggregate/no_of_locations","no_of_locations","float","output","n/a","Number of Locations","n/a","n/a","n/a"
"cds/exposure/aggregate/agg_discount","agg_discount","float","output","n/a","Agg Discount","n/a","n/a","n/a"
"cds/exposure/aggregate/has_construction","has_construction","bool","output","n/a","Not set","n/a","n/a","n/a"
"cds/exposure/aggregate/details/limit_type","limit_type","str","input","required","Type of Limit","Occurrence & Agg","['rarc_task']","n/a"
"cds/exposure/aggregate/details/bi_wait_period","bi_wait_period","int","input","optional","BI Wait Period (days)","None","['rarc_task']","n/a"
