group,country,code
Worldwide,India,IN
Worldwide,Pakistan,PK
Worldwide,UK,GB
Worldwide,Germany,DE
Worldwide,Egypt,EG
Worldwide,South Africa,ZA
Worldwide,Singapore,SG
Worldwide,Australia,AU
Worldwide,Canada,CA
Worldwide,Bermuda,BM
Worldwide,Mexico,MX
Worldwide,Colombia,CO
Worldwide,UAE,AE
Worldwide,Turkey,TR
Worldwide,Russia,RU
Worldwide,Czech Republic,CZ
Worldwide,US,US
Worldwide,Hong Kong,HK
APAC,Singapore,SG
APAC,India,IN
APAC,Australia,AU
APAC,Philippines,PH
APAC,Thailand,TH
APAC,Pakistan,PK
APAC,Japan,JP
APAC,Hong Kong,HK
Eastern Europe,Russia,RU
Eastern Europe,Czech Republic,CZ
Eastern Europe,Poland,PL
Eastern Europe,Slovakia,SK
Latin America,Mexico,MX
Latin America,Colombia,CO
Latin America,Peru,PE
Latin America,Chile,CL
Latin America,Argentina,AR
Middle East,UAE,AE
Middle East,Turkey,TR
Middle East,Saudi Arabia,SA
Middle East,Oman,OM
Middle East,Bahrain,BH
North America,Canada,CA
North America,Bermuda,BM
North America,Trinidad & Tobago,TT
North America,US,US
North America,Barbados,BB
Africa,Egypt,EG
Africa,South Africa,ZA
Africa,Mauritius,MU
Africa,Mozambique,MZ
Africa,Algeria,DZ
Western Europe,UK,GB
Western Europe,Germany,DE
Western Europe,Belgium,BE
Western Europe,France,FR
Western Europe,Ireland,IE
