Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx,,,,,,,
project_name,Input,cds,,/policy_info/project_name,Y,str,,Project Name,,,,,,,
target_name,Input,cds,,/policy_info/target_name,Y,str,,Target Company (Name),,,,,,,
transaction_value,Input,cds,,/policy_info/transaction_value,Y,float,,Transaction Value  ,,,,,,,
total_limit,Input,cds,,/policy_info/total_limit,Y,float,,Total limit purchased  ,,,,,,,
policyholder,Input,cds,,/policy_info/policyholder,Y,str,,Policy Purchased by  ,,,,,,,
buyer_name,Input,cds,,/policy_info/buyer_name,Y,str,,Buyer (name)  ,,,,,,,
buyer_lawyer,Input,cds,,/policy_info/buyer_lawyer,Y,str,,Lawyer (buyer) ,,,,,,,
seller_name,Input,cds,,/policy_info/seller_name,Y,str,,Seller (name)  ,,,,,,,
seller_lawyer,Input,cds,,/policy_info/seller_lawyer,Y,str,,Lawyer (seller)  ,,,,,,,
uw_expenses_flag,Input,cds,,/policy_info/uw_expenses_flag,Y,bool,FALSE,Include UW Expenses,,,,,,,
uw_expenses,Input,cds,,/policy_info/uw_expenses,Y,float,,Underwriting Expenses  ,,,,,,,
distressed_business_flag,Input,cds,,/policy_info/distressed_business_flag,Y,bool,FALSE,Distressed Business  ,,,,,,,
jurisdiction,Input,cds,,/rating_factors/freq/target/jurisdiction,Y,str,,Jurisdiction  ,,,,,,,
industry,Input,cds,,/rating_factors/freq/target/industry,Y,str,,Industry,,,,,,,
business_nature,Input,cds,,/rating_factors/freq/target/business_nature,Y,str,,Nature of Business  ,,,,,,,
ihs_enforcement,Output,cds,,/rating_factors/freq/target/ihs_enforcement,Y,str,,IHS Contract Enforcement,,,,,,,
jurisdiction,Input,cds,,/rating_factors/freq/target/jurisdiction,Y,str,,Jurisdiction  ,,,,,,,
industry,Input,cds,,/rating_factors/freq/target/industry,Y,str,,Industry,,,,,,,
business_nature,Input,cds,,/rating_factors/freq/target/business_nature,Y,str,,Nature of Business  ,,,,,,,
ihs_enforcement,Output,cds,,/rating_factors/freq/target/ihs_enforcement,Y,str,,IHS Contract Enforcement,,,,,,,
default_score,Output,cds,,/rating_factors/freq/target/default_score,Y,float,,Default Score  ,,,,,,,
freq_adjustment,Input,cds,,/rating_factors/freq/target/freq_adjustment,Y,float,,Adjustment  ,,,,,,,
