excess,factor
0,1.0
10000000,1.24
20000000,1.42
30000000,1.56
40000000,1.68
50000000,1.78
60000000,1.86
70000000,1.93
80000000,2.0
90000000,2.06
100000000,2.11
110000000,2.16
120000000,2.2
130000000,2.24
140000000,2.28
150000000,2.31
160000000,2.34
170000000,2.37
180000000,2.4
190000000,2.42
200000000,2.44
210000000,2.47
220000000,2.49
230000000,2.51
240000000,2.53
250000000,2.54
260000000,2.56
270000000,2.58
280000000,2.59
290000000,2.61
300000000,2.62
310000000,2.63
320000000,2.64
330000000,2.66
340000000,2.67
350000000,2.68
360000000,2.69
370000000,2.7
380000000,2.71
390000000,2.72
400000000,2.73
410000000,2.74
420000000,2.75
430000000,2.75
440000000,2.76
450000000,2.77
460000000,2.78
470000000,2.78
480000000,2.79
490000000,2.8
500000000,2.81
510000000,2.81
520000000,2.82
530000000,2.82
540000000,2.83
550000000,2.84
560000000,2.84
570000000,2.85
580000000,2.85
590000000,2.86
600000000,2.86
610000000,2.87
620000000,2.87
630000000,2.88
640000000,2.88
650000000,2.88
660000000,2.89
670000000,2.89
680000000,2.9
690000000,2.9
700000000,2.9
710000000,2.91
720000000,2.91
