"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01","n/a","n/a"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31","n/a","n/a"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a","n/a","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a","n/a","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a","n/a","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a","n/a","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a","n/a","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None","n/a","n/a"
"cds/key_industry/code","code","str","input","optional","Industry Code","None","n/a","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None","n/a","n/a"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/ly_aggregates/exposure_total","exposure_total","float","output","n/a","Exposure Total","n/a","n/a","n/a"
"cds/exposure/aggregate/ly_aggregates/bespoke_total","bespoke_total","float","input","optional","Bespoke Total","None","n/a","['start_renewal_task']"
"cds/exposure/aggregate/ly_aggregates/key_zone_total","key_zone_total","float","output","n/a","Key Zone Total","n/a","n/a","n/a"
"cds/exposure/aggregate/ly_aggregates","ly_aggregates","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/ty_aggregates/exposure_total","exposure_total","float","output","n/a","Exposure Total","n/a","n/a","n/a"
"cds/exposure/aggregate/ty_aggregates/bespoke_total","bespoke_total","float","input","optional","Bespoke Total","None","n/a","n/a"
"cds/exposure/aggregate/ty_aggregates/key_zone_total","key_zone_total","float","output","n/a","Key Zone Total","n/a","n/a","n/a"
"cds/exposure/aggregate/ty_aggregates","ty_aggregates","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/value_change/exposure_total","exposure_total","float","output","n/a","Exposure Total","n/a","n/a","n/a"
"cds/exposure/aggregate/value_change/bespoke_total","bespoke_total","float","output","n/a","Bespoke Total","n/a","n/a","n/a"
"cds/exposure/aggregate/value_change/key_zone_total","key_zone_total","float","output","n/a","Key Zone Total","n/a","n/a","n/a"
"cds/exposure/aggregate/value_change","value_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perc_change/exposure_total","exposure_total","float","output","n/a","Exposure Total","n/a","['rate_change_task']","n/a"
"cds/exposure/aggregate/perc_change/bespoke_total","bespoke_total","float","output","n/a","Bespoke Total","n/a","['rate_change_task']","n/a"
"cds/exposure/aggregate/perc_change/key_zone_total","key_zone_total","float","output","n/a","Key Zone Total","n/a","['rate_change_task']","n/a"
"cds/exposure/aggregate/perc_change/prem_change","prem_change","float","output","n/a","Premium","n/a","n/a","n/a"
"cds/exposure/aggregate/perc_change","perc_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/exposure_measure","exposure_measure","str","input","optional","Exposure Measure","None","n/a","n/a"
"cds/exposure/aggregate/exposure_comments","exposure_comments","str","input","required","Comments","","n/a","n/a"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/exposures/peril","peril","str","input","optional","Peril","None","n/a","n/a"
"cds/exposure/granular/exposures/address_dropdown/country","country","str","input","required","Country","<hx_data_schema.nodes.Undefined object at 0x7f5c0a7f6fa0>","n/a","n/a"
"cds/exposure/granular/exposures/address_dropdown/state","state","str","input","required","State","<hx_data_schema.nodes.Undefined object at 0x7f5c0a7f6fa0>","n/a","n/a"
"cds/exposure/granular/exposures/address_dropdown/county","county","str","input","required","County","<hx_data_schema.nodes.Undefined object at 0x7f5c0a7f6fa0>","n/a","n/a"
"cds/exposure/granular/exposures/address_dropdown","address_dropdown","structure","n/a","n/a","n/a","n/a","n/a","n/a"
