field,code,name
bag,BAG,Antigua & Barbuda
bah,BAH,Bahamas
ban,BAN,Anquilla
bbb,BBB,Barbados
bbh,BBH,Turks & Caicos
bbm,BBM,Bermuda
bcb,BCB,Cuba
bcm,BCM,Grand Cayman
bcu,BCU,Curacao & Aruba
bdo,BDO,Dominica
bdr,BDR,Dominican Republic
bgn,BGN,Greneda
bgs,BGS,The Grenadines
bgu,BGU,Guadloupe
bht,BHT,Haiti
bjm,BJM,Jamaica
bkn,BKN,St Kitts & Nevis
bmq,BMQ,Martinique
bms,BMS,Montserrat
bon,BON,Bonaire
bpr,BPR,Puerto Rico
bsl,BSL,St Lucia
bsv,BSV,St Vincent
bv1,BV1,Virgin Islands (UK)
bvs,BVS,Virgin Islands (US)
bx7,BX7,Trinidad & Tobago
cbc,CBC,British Columbia
cqu,CQU,Quebec
con,CON,Ontario
cpr,CPR,Prairies
cat,CAT,Atlantic
bpm,BPM,St Pierre and Miquelon
