field,code,name
eat,EAT,Austria
ebe,EBE,Belgium
ech,ECH,Switzerland
edk,EDK,Denmark
emz,EMZ,Europe Multi zone
efi,EFI,Finland
efr,EFR,France
ege,EGE,Germany
eic,EIC,Iceland
eie,EIE,Ireland
enl,ENL,Netherlands
eno,ENO,Norway
egf,EGF,Germany Flood
ese,ESE,Sweden
euk,EUK,UK
euf,EUF,UK Flood 
ees,EES,Spain
egr,EGR,Greece
eit,EIT,Italy
ept,EPT,Portugal
etu,ETU,Turkey
ebg,EBG,Bulgaria
cef,CEF,CEE Flood
ecx,ECX,Croatia
ecz,ECZ,Czech Republic
ehu,EHU,Hungary
epl,EPL,Poland
ero,ERO,Romania
eru,ERU,Russia
esb,ESB,Slovenia
esc,ESC,Slovakia
esr,ESR,Serbia
