currency,to_usd
AED,3.6728
AFN,68.3843
ALL,82.6689
AMD,377.2649
ANG,1.79
AOA,912.0246
ARS,1255.4301
AUD,1.5267
AWG,1.7914
AZN,1.7
BAM,1.67
BBD,2.0001
BDT,120.8497
BGN,1.67
BHD,0.3748
BIF,2946.9974
BMD,1
BND,1.2791
BOB,6.7414
BRL,5.5153
BSD,1
BTN,85.8685
BWP,13.2316
BYR,32677.0321
BZD,1.9747
CAD,1.3666
CHF,0.7965
CLF,0.0241
CLP,948.3795
CNY,7.1699
COP,4024.8773
CRC,497.8602
CUP,0.9838
CVE,94.1544
CZK,21.0315
DJF,177.7148
DKK,6.3716
DOP,59.8192
DZD,129.1894
EGP,49.3627
ETB,137.4379
EUR,0.8539
FJD,2.2331
FKP,0.7388
GBP,0.7388
GEL,2.683
GHS,10.3706
GIP,0.7388
GMD,69.9426
GNF,8611.9549
GTQ,7.5714
GYD,204.3721
HKD,7.8494
HNL,25.9361
HRK,6.4336
HTG,130.4344
HUF,340.6447
IDG,162.5102
IDR,16251.0154
ILS,3.3444
INR,85.8685
IQD,1294.5659
IRR,42011.9481
ISK,121.3552
JMD,158.6336
JOD,0.7091
JPY,146.5812
KES,128.5212
KGS,87.4335
KHR,3965.5887
KMF,420.0874
KRW,1374.7114
KWD,0.3049
KYD,0.8333
KZT,524.9809
LAK,21426.4833
LBP,89515.4366
LKR,299.2818
LRD,199.0796
LSL,17.723
LTL,2.9483
LVL,0.6001
LYD,5.3857
MAD,8.928
MDL,16.6502
MGA,4400.023
MKD,52.1059
MMK,2082.5589
MNT,2620.0708
MOP,8.0849
MRO,393.4847
MUR,44.5455
MVR,15.2649
MWK,1726.5933
MXN,18.674
MYR,4.2324
MZN,63.2017
NAD,17.723
NGN,1529.525
NIO,36.4447
NOK,10.1283
NPR,136.4355
NZD,1.663
OMR,0.3836
PAB,1
PEN,3.5322
PES,40.2488
PGK,4.1017
PHP,56.5848
PKR,283.8886
PLN,3.6281
PYG,7716.2024
QAR,3.607
RON,4.3258
RSD,99.8469
RUB,78.4036
RWF,1431.6698
SAR,3.7475
SBD,8.2893
SCR,13.8957
SDG,598.0162
SEK,9.5696
SGD,1.2791
SHP,0.7388
SLL,19750.5337
SOS,554.044
SRD,36.9979
STD,20905.4988
SVC,8.7502
SYP,512.8089
SZL,17.723
THB,32.4001
TND,2.8886
TOP,2.405
TRL,40154784.58
TRY,40.1548
TTD,6.6938
TWD,29.2265
TZS,2612.2881
UAH,41.5748
UGX,3565.9526
USD,1
UYU,39.8804
UZS,12620.3605
VEF,12127157.07
VND,26134.5458
VUV,112.143
WST,2.7101
XAF,560.1166
XCD,2.7
XOF,560.1166
XPF,101.8964
YER,241.3223
ZAR,17.723
ZMK,5176.3399
ZMW,23.571
