eventid,region_desc_id,remetrica_description,state
2847001,15,Texas WS,TX
2847002,16,Mexico Wind,Other
2847003,17,Other Wind,Other
2847004,18,Florida non SE WS,FL
2847005,17,Other Wind,Other
2847006,17,Other Wind,Other
2847007,19,Louisiana WS,LA
2847008,20,Caribbean Wind,Other
2847009,18,Florida non SE WS,FL
2847010,20,Caribbean Wind,Other
2847011,18,Florida non SE WS,FL
2847012,17,Other Wind,Other
2847013,17,Other Wind,Other
2847014,17,Other Wind,Other
2847015,17,Other Wind,Other
2847016,17,Other Wind,Other
2847017,17,Other Wind,Other
2847018,17,Other Wind,Other
2847019,21,Florida SE - Jacksonville,FL
2847020,15,Texas WS,TX
2847021,17,Other Wind,Other
2847022,22,Carolinas WS,NC
2847023,15,Texas WS,TX
2847024,17,Other Wind,Other
2847025,16,Mexico Wind,Other
2847026,17,Other Wind,Other
2847027,23,Central America Wind,Other
2847028,17,Other Wind,Other
2847029,19,Louisiana WS,LA
2847030,19,Louisiana WS,LA
2847031,20,Caribbean Wind,Other
2847032,17,Other Wind,Other
2847033,17,Other Wind,Other
2847034,18,Florida non SE WS,FL
2847035,17,Other Wind,Other
2847036,17,Other Wind,Other
2847037,22,Carolinas WS,NC
2847038,17,Other Wind,Other
2847039,16,Mexico Wind,Other
2847040,17,Other Wind,Other
2847041,17,Other Wind,Other
2847042,24,NE WS,NY
2847043,17,Other Wind,Other
2847044,22,Carolinas WS,NC
2847045,20,Caribbean Wind,Other
2847046,16,Mexico Wind,Other
2847047,17,Other Wind,Other
2847048,20,Caribbean Wind,Other
2847049,17,Other Wind,Other
2847050,18,Florida non SE WS,FL
2847051,20,Caribbean Wind,Other
2847052,17,Other Wind,Other
2847053,25,Florida SE - All Other,FL
2847054,19,Louisiana WS,LA
2847055,17,Other Wind,Other
2847056,17,Other Wind,Other
2847057,19,Louisiana WS,LA
2847058,17,Other Wind,Other
2847059,19,Louisiana WS,LA
2847060,20,Caribbean Wind,Other
2847061,17,Other Wind,Other
2847062,26,Florida SE - South Tip,FL
2847063,17,Other Wind,Other
2847064,17,Other Wind,Other
