event,yol
LA Wildfires,2025
Calgary Hail,2024
Hurricane Helene,2024
Hurricane Milton,2024
Tropical Storm Debby,2024
Hawaii Wildfire,2023
Hurricane Idalia,2023
Italian Hail,2023
Australian Floods,2022
Hurricane Ian,2022
South African Floods,2022
WS Elliot,2022
Euro Floods (Bernd),2021
Hurricane Ida,2021
Volker Hail,2021
Winterstorm Uri,2021
Covid-19,2020
Derecho,2020
Hurricane Laura,2020
Hurricane Sally,2020
Typhoon Faxai,2019
Typhoon Hagibis,2019
Camp Wildfire,2018
Hurricane Florence,2018
Hurricane Michael,2018
Typhoon Jebi,2018
Woolsey Wildfire,2018
CA Wildfires (North),2017
Hurricane Irma,2017
Hurricane Maria,2017
Mexican EQ I,2017
Mexican EQ II,2017
Andreas,2013
Kyrill,2007
Lothar/Martin,1999
