NAICS Code ,NAICS Description,Beazley Classification 
54121,Accounting/Tax Prep/Bookkeep/Payroll Services ,Accounting Services
541211,Offices of Certified Public Accountants ,Accountants
541213,Tax Preparation Services ,Accounting Services
541214,Payroll Services ,Payroll Services
541219,Other Accounting Services ,Accounting Services
11111,Soybean Farming ,Agriculture
11112,Oilseed (except Soybean) Farming ,Agriculture
11113,Dry Pea & Bean Farming ,Agriculture
11114,Wheat Farming ,Agriculture
11115,Corn Farming ,Agriculture
11116,Rice Farming ,Agriculture
11119,Other Grain Farming ,Agriculture
111191,Oilseed & Grain Combination Farming ,Agriculture
111199,All Other Grain Farming ,Agriculture
11121,Vegetable & Melon Farming ,Agriculture
111211,Potato Farming ,Agriculture
111219,Other Vegetable (exc Potato) & Melon Farming ,Agriculture
11131,Orange Groves ,Agriculture
11132,Citrus (except Orange) Groves ,Agriculture
11133,Noncitrus Fruit & Tree Nut Farming ,Agriculture
111331,Apple Orchards ,Agriculture
111332,Grape Vineyards ,Agriculture
111333,Strawberry Farming ,Agriculture
111334,Berry (except Strawberry) Farming ,Agriculture
111335,Tree Nut Farming ,Agriculture
111336,Fruit & Tree Nut Combination Farming ,Agriculture
111339,Other Noncitrus Fruit Farming ,Agriculture
11141,Food Crops Grown Under Cover ,Agriculture
111411,Mushroom Production ,Agriculture
111419,Other Food Crops Grown Under Cover ,Agriculture
11142,Nursery & Floriculture Production ,Agriculture
111421,Nursery & Tree Production ,Agriculture
111422,Floriculture Production ,Agriculture
11191,Tobacco Farming ,Agriculture
11192,Cotton Farming ,Agriculture
11193,Sugarcane Farming ,Agriculture
11194,Hay Farming ,Agriculture
11199,All Other Crop Farming ,Agriculture
111991,Sugar Beet Farming ,Agriculture
111992,Peanut Farming ,Agriculture
111998,All Other Miscellaneous Crop Farming ,Agriculture
11211,Beef Cattle Ranching & Farming & Feedlots ,Agriculture
112111,Beef Cattle Ranching & Farming ,Agriculture
112112,Cattle Feedlots ,Agriculture
11212,Dairy Cattle & Milk Production ,Agriculture
11213,Dual Purpose Cattle Ranching & Farming ,Agriculture
11221,Hog & Pig Farming ,Agriculture
11231,Chicken Egg Production ,Agriculture
11232,Broilers & Other Meat Type Chicken Production ,Agriculture
11233,Turkey Production ,Agriculture
11234,Poultry Hatcheries ,Agriculture
11239,Other Poultry Production ,Agriculture
11241,Sheep Farming ,Agriculture
11242,Goat Farming ,Agriculture
11251,Animal Aquaculture ,Agriculture
112511,Finfish Farming & Fish Hatcheries ,Agriculture
112512,Shellfish Farming ,Agriculture
112519,Other Animal Aquaculture ,Agriculture
11291,Apiculture ,Agriculture
11292,Horse & Other Equine Production ,Agriculture
11293,Fur-bearing Animal & Rabbit Prod,Agriculture
11299,All Other Animal Production ,Agriculture
11411,Fishing ,Agriculture
114111,Finfish Fishing ,Agriculture
114112,Shellfish Fishing ,Agriculture
114119,Other Marine Fishing ,Agriculture
11421,Hunting & Trapping ,Agriculture
11511,Crop Production Support Activities ,Agriculture
115111,Cotton Ginning ,Agriculture
115112,"Soil Preparation, Planting, & Cultivating ",Agriculture
115113,"Crop Harvesting, Primarily by Machine ",Agriculture
115114,Postharvest Crop Activities (exc Ginning) ,Agriculture
115115,Farm Labor Contractors & Crew Leaders ,Agriculture
115116,Farm Management Services ,Agriculture
11521,Animal Production Support Activities ,Agriculture
54131,Architectural Services ,Architects & Engineers
54132,Landscape Architectural Services ,Architects & Engineers
54133,Engineering Services ,Architects & Engineers
44111,New Car Dealers ,Auto Dealer
44112,Used Car Dealers ,Auto Dealer
44121,Recreational Vehicle Dealers ,Auto Dealer
441229,All Other Motor Vehicle Dealers ,Auto Dealer
71321,Casinos (except Hotel Casinos) ,Casinos
71329,Other Gambling Industries ,Casinos
72112,Casino Hotels ,Casinos
71391,Golf Courses & Country Clubs ,Golf Club or Country Club
71394,Fitness & Recreational Sports Centers ,Health Club
