State,Allows Ranges?,Exception?,Minimum Limit,Allows Rounding?,Min Before Schedule Rating,Min After Schedule Rating,Min Schedule Rating Modifier,Max Schedule Rating Modifier,Allows Punitive Damages Factor?,Allows Program Factor?,Allows Program Factor Range?,Approved?,Punitive Damages Min Not Purchased,Punitive Damages Max Not Purchased,State Risk Level
AL,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
AK,TRUE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,FALSE,0.8,1,0
AZ,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
AR,TRUE,NA,500000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
CA,FALSE,NA,250000,FALSE,500,0,-0.25,0.25,TRUE,FALSE,TRUE,TRUE,0.8,0.8,0
CO,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
CT,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
DE,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
DC,TRUE,NA,250000,FALSE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
FL,FALSE,NA,250000,FALSE,1000,1000,-0.25,0.25,FALSE,TRUE,FALSE,TRUE,0.9,0.9,0
GA,FALSE,NA,250000,TRUE,500,0,-0.15,0.15,FALSE,TRUE,FALSE,TRUE,1,1,0
HI,FALSE,NA,250000,TRUE,500,0,0,0,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
ID,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
IL,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,NA,0.8,1,0
IN,TRUE,NA,250000,FALSE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,TRUE,0.8,1,0
IA,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
KS,FALSE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,0.8,0
KY,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,NA,0.8,1,0
LA,TRUE,NA,500000,TRUE,500,6000,-0.25,0.25,TRUE,TRUE,TRUE,FALSE,0.8,1,0
ME,TRUE,NA,500000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,FALSE,0.8,1,0
MD,FALSE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
MA,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
MI,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
MN,TRUE,NA,100000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
MS,FALSE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
MO,TRUE,NA,250000,FALSE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
MT,TRUE,NA,1000000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
NE,FALSE,NA,250000,TRUE,500,0,0,0,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
NV,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,NA,0.8,1,0
NH,TRUE,NA,500000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
NJ,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
NM,TRUE,NA,500000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,FALSE,0.8,1,0
NY,TRUE,NA,250000,TRUE,2500,0,-0.15,0.15,TRUE,TRUE,TRUE,NA,0.8,1,0
NYFTZ,TRUE,NA,250000,TRUE,2500,0,-0.15,0.15,TRUE,TRUE,TRUE,TRUE,0.8,1,0
NC,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,TRUE,0.8,1,0
ND,TRUE,NA,1000000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
OH,TRUE,D.1,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,0.8,0
OK,FALSE,NA,1000000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,0.8,0
OR,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
PA,TRUE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
RI,FALSE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,0.8,0
SC,TRUE,NA,250000,TRUE,500,0,-0.4,0.25,FALSE,TRUE,TRUE,TRUE,1,1,0
SD,FALSE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,0.8,0
TN,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,FALSE,TRUE,TRUE,0.8,1,0
TX,TRUE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
UT,TRUE,NA,250000,TRUE,500,0,-0.25,0.25,TRUE,TRUE,TRUE,TRUE,0.8,1,0
VT,TRUE,NA,5000000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,FALSE,0.8,1,0
VA,FALSE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
WA,FALSE,NA,250000,TRUE,1000,0,-0.25,0.25,TRUE,TRUE,FALSE,TRUE,0.8,0.8,0
WV,TRUE,NA,250000,TRUE,500,0,-0.4,0.4,TRUE,TRUE,TRUE,TRUE,0.8,1,0
WI,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,TRUE,0.8,1,0
WY,TRUE,NA,250000,TRUE,500,0,-0.5,0.5,TRUE,TRUE,TRUE,FALSE,0.8,1,0
Surplus,TRUE,NA,0,TRUE,0,0,-0.5,0.5,TRUE,TRUE,TRUE,TRUE,0.8,1,0
