Lower,Upper,Guideline,Factor Lower,Factor Upper
5000,7500,2000000,4.59,4.59
7500,10000,2000000,4.59,4.36
10000,15000,2000000,4.36,4.15
15000,20000,2000000,4.15,3.81
20000,25000,2000000,3.81,3.55
25000,30000,2000000,3.55,3.33
30000,35000,2000000,3.33,3.17
35000,40000,2000000,3.17,3.04
40000,50000,2000000,3.04,2.95
50000,75000,2000000,2.95,2.8
75000,100000,2000000,2.8,2.38
100000,150000,2000000,2.38,2.14
150000,200000,2000000,2.14,1.93
200000,250000,2000000,1.93,1.74
250000,500000,2000000,1.74,1.56
500000,1000000,2000000,1.56,1.54
1000000,2000000,2000000,1.54,1
2000000,5000000,2000000,1,0.62
5000000,10000000,2000000,0.62,0.4
10000000,50000000,2000000,0.4,0.37
