Lower,Upper,5000,7500,10000,15000,20000,25000,30000,35000,40000,50000,60000,70000,75000,80000,100000,150000,200000,250000,350000,400000,500000
5000,7500,1,1.05,1.11,1.2,1.3,1.38,1.45,1.51,1.56,1.64,1.64,1.93,1.93,1.93,2.14,2.38,2.65,2.94,3.426666667,3.67,3.67
7500,10000,0.95,1,1.05,1.14,1.23,1.31,1.38,1.44,1.48,1.56,1.56,1.83,1.83,1.83,2.04,2.26,2.51,2.79,3.256666667,3.49,3.49
10000,15000,0.9,0.95,1,1.09,1.17,1.24,1.31,1.36,1.41,1.48,1.48,1.74,1.74,1.74,1.93,2.15,2.39,2.65,3.096666667,3.32,3.32
15000,20000,0.83,0.87,0.92,1,1.08,1.14,1.2,1.25,1.29,1.36,1.36,1.6,1.6,1.6,1.78,1.98,2.2,2.44,2.846666667,3.05,3.05
20000,25000,0.77,0.81,0.86,0.93,1,1.06,1.12,1.17,1.2,1.27,1.27,1.49,1.49,1.49,1.65,1.84,2.04,2.27,2.65,2.84,2.84
25000,30000,0.73,0.76,0.8,0.87,0.94,1,1.05,1.1,1.13,1.19,1.19,1.4,1.4,1.4,1.56,1.73,1.92,2.13,2.49,2.67,2.67
30000,35000,0.69,0.73,0.76,0.83,0.89,0.95,1,1.04,1.07,1.13,1.13,1.33,1.33,1.33,1.48,1.64,1.82,2.03,2.363333333,2.53,2.53
35000,40000,0.66,0.7,0.73,0.8,0.86,0.91,0.96,1,1.03,1.09,1.09,1.28,1.28,1.28,1.42,1.58,1.75,1.95,2.27,2.43,2.43
40000,50000,0.64,0.68,0.71,0.77,0.83,0.88,0.93,0.97,1,1.05,1.05,1.24,1.24,1.24,1.38,1.53,1.7,1.89,2.203333333,2.36,2.36
50000,75000,0.61,0.64,0.68,0.73,0.79,0.84,0.88,0.92,0.95,1,1,1.18,1.18,1.18,1.31,1.45,1.61,1.79,2.09,2.24,2.24
75000,100000,0.52,0.55,0.57,0.62,0.67,0.71,0.75,0.78,0.81,0.85,0.85,1,1,1,1.11,1.23,1.37,1.52,1.78,1.91,1.91
100000,150000,0.47,0.49,0.52,0.56,0.6,0.64,0.68,0.7,0.73,0.77,0.77,0.9,0.9,0.9,1,1.11,1.23,1.37,1.596666667,1.71,1.71
150000,200000,0.41,0.43,0.46,0.5,0.54,0.58,0.61,0.63,0.65,0.69,0.69,0.81,0.81,0.81,0.9,1,1.11,1.23,1.436666667,1.54,1.54
200000,250000,0.41,0.43,0.45,0.49,0.49,0.52,0.55,0.57,0.59,0.62,0.62,0.73,0.73,0.73,0.81,0.9,1,1.11,1.296666667,1.39,1.39
250000,500000,0.41,0.42,0.45,0.48,0.44,0.47,0.49,0.51,0.53,0.56,0.56,0.66,0.66,0.66,0.73,0.81,0.9,1,1.166666667,1.25,1.25
500000,1000000,0.34,0.35,0.37,0.4,0.42,0.38,0.4,0.42,0.43,0.45,0.45,0.52,0.52,0.52,0.58,0.65,0.72,0.8,0.933333333,1,1
1000000,10000000,0.32,0.34,0.36,0.39,0.34,0.36,0.38,0.4,0.41,0.43,0.43,0.42,0.42,0.42,0.47,0.52,0.58,0.64,0.746666667,0.8,0.8
