Lookup Value,EE Limit From,EE Limit To,Agg Limit From,Agg Limit To,Group1,Group2,Group3,Group4,Group5
500000&0,500000,1000000,0,1000000,7500,5000,3000,2500,2000
500000&1000000,500000,1000000,1000000,2000000,7500,5000,3000,2500,2000
500000&2000000,500000,1000000,2000000,3000000,7500,5000,3000,2500,2000
500000&3000000,500000,1000000,3000000,25000000,7500,5000,3000,2500,2000
1000000&1000000,1000000,2000000,1000000,2000000,7500,5000,3000,2500,2000
1000000&2000000,1000000,2000000,2000000,3000000,8750,5000,4500,3500,3500
1000000&3000000,1000000,2000000,3000000,5000000,10000,7000,6500,5000,5000
1000000&5000000,1000000,2000000,5000000,10000000,15000,14000,12500,10000,10000
1000000&10000000,1000000,2000000,10000000,25000000,50000,22500,17500,15000,15000
2000000&2000000,2000000,3000000,2000000,4000000,10000,7000,6500,5000,5000
2000000&4000000,2000000,3000000,4000000,25000000,15000,14000,12500,10000,10000
3000000&3000000,3000000,4000000,3000000,25000000,17500,16000,13750,11250,11250
4000000&4000000,4000000,5000000,4000000,25000000,20000,18000,15000,12500,12500
5000000&5000000,5000000,10000000,5000000,25000000,35000,25000,25000,25000,25000
10000000&10000000,10000000,25000000,10000000,25000000,100000,100000,100000,100000,100000
