State,Minimum Limit?,Foreign Territory Override?,Foreign Territory Charge Override,Allows Declining Financial Performance (Financial Condition)?,Basic Limits Min Before,Basic Limits Min After,Schedule Rating Min,Schedule Rating Max,Schedule Rating Column,Employee Exposure Def Required?,Allows Plan Litigation Debit?,Allows Expense Rating?,Allows ADL?,Approved?
AK,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
AL,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
AR,1000000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
AZ,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
CA,250000,TRUE,0.05,TRUE,500,0,-0.25,0.25,3,FALSE,TRUE,FALSE,TRUE,TRUE
CO,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
CT,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
DC,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
DE,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
FL,250000,TRUE,0.05,TRUE,1000,1000,-0.25,0.25,2,TRUE,TRUE,TRUE,TRUE,TRUE
GA,250000,FALSE,0,TRUE,500,0,-0.5,0.4,4,FALSE,TRUE,TRUE,TRUE,TRUE
HI,250000,TRUE,0.05,FALSE,500,0,0,0,6,TRUE,FALSE,FALSE,TRUE,TRUE
IA,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
ID,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
IL,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
IN,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,FALSE,TRUE,TRUE
KS,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
KY,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
LA,250000,FALSE,0,TRUE,500,6000,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,FALSE
MA,250000,FALSE,0,TRUE,500,0,-0.4,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
MD,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
ME,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
MI,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
MN,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
MO,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
MS,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
MT,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
NC,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
ND,1000000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
NE,250000,TRUE,0.05,FALSE,500,0,0,0,6,TRUE,FALSE,FALSE,TRUE,TRUE
NH,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
NJ,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
NM,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,FALSE
NV,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
NY,250000,TRUE,0.05,FALSE,2500,0,-0.15,0.15,5,TRUE,TRUE,TRUE,FALSE,TRUE
NYFTZ,250000,TRUE,0.05,FALSE,2500,0,-0.15,0.15,5,TRUE,TRUE,TRUE,FALSE,TRUE
OH,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
OK,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
OR,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
PA,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
RI,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
SC,250000,FALSE,0,TRUE,500,0,-0.4,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
SD,1000000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
TN,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
TX,250000,FALSE,0,TRUE,500,0,-0.4,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
UT,250000,FALSE,0,TRUE,500,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
VA,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
VT,250000,FALSE,0,TRUE,500,0,-0.5,0.25,2,FALSE,TRUE,TRUE,TRUE,FALSE
WA,250000,FALSE,0,TRUE,1000,0,-0.25,0.25,2,FALSE,TRUE,TRUE,TRUE,TRUE
WI,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
WV,250000,FALSE,0,TRUE,500,0,-0.4,0.4,2,FALSE,TRUE,TRUE,TRUE,TRUE
WY,250000,FALSE,0,TRUE,500,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,FALSE
Surplus,250000,FALSE,0,TRUE,0,0,-0.5,0.5,2,FALSE,TRUE,TRUE,TRUE,TRUE
