Occupation,Rate
Accountants,1
Accounting Services,0.7
Advertising,1
Agriculture,0.85
Architects & Engineers,1
Assisted Living,1
Auto Dealer,1.35
Auto Repair,0.85
Bio-tech,1
Casinos,1
Collection Agencies,1
Communications,1
Construction,1
Consulting,1
Contractors,0.85
Distributor,0.7
Education,1
Entertainment,1
Gas Station,0.7
Golf Club or Country Club,1
Health Club,1
Healthcare,0.85
Hi-tech,1
Hotel,0.85
Household Staff,1
Insurance,1
Investment,1
Law Firm,1
Leasing,1
Leisure,0.7
Lumber,0.7
Management Services,1
Manufacturing,0.7
Mining,1
Municipality,1
NonProfit,1
Nursing Homes,1
Oil & Gas,1
Other Club,1
Other Financial,1
Personal Care,1
Pharmaceutical,1
Printing,1
Processing,0.7
Professional,1
Professional Employer Organisation,0.85
Property Managers,1.25
Publishing,1
Real Estate,1
Religious,1
Rental,0.7
Research & Development,1
Restaurant (Franchise),0.7
Restaurant (Non Franchise),0.7
Retail,0.7
Savings & Loans,1
Security,1
Service,1
Social Services,1
Staffing (excluding PEOs),0.7
Storage,0.7
Transportation,1
Trucking,0.7
Utilities,1
Veterinary,1
Wholesale,0.7
Hotel Management Company,1
