NAICS Code,NAICS Title,Valid From,Valid To,tblBeazOccMap,tblPCL_NAICSMap,tblEPL_COBMap,NAICS_Key,SIC_Code
111110,Soybean Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Soybean Farming - 111110,0116
111120,Oilseed (except Soybean) Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Oilseed (except Soybean) Farming - 111120,0119
111130,Dry Pea and Bean Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Dry Pea and Bean Farming - 111130,0119
111140,Wheat Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Wheat Farming - 111140,0111
111150,Corn Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Corn Farming - 111150,0115
111160,Rice Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Rice Farming - 111160,0112
111191,Oilseed and Grain Combination Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Oilseed and Grain Combination Farming - 111191,0119
111199,All Other Grain Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",All Other Grain Farming - 111199,0119
111211,Potato Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Potato Farming - 111211,0134
111219,Other Vegetable (except Potato) and Melon Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Vegetable (except Potato) and Melon Farming - 111219,0139
111310,Orange Groves,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Orange Groves - 111310,0174
111320,Citrus (except Orange) Groves,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Citrus (except Orange) Groves - 111320,0174
111331,Apple Orchards,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Apple Orchards - 111331,0175
111332,Grape Vineyards,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Grape Vineyards - 111332,0172
111333,Strawberry Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Strawberry Farming - 111333,0171
111334,Berry (except Strawberry) Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Berry (except Strawberry) Farming - 111334,0171
111335,Tree Nut Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Tree Nut Farming - 111335,0173
111336,Fruit and Tree Nut Combination Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Fruit and Tree Nut Combination Farming - 111336,0179
111339,Other Noncitrus Fruit Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Noncitrus Fruit Farming - 111339,0175
111411,Mushroom Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Mushroom Production - 111411,0182
111419,Other Food Crops Grown Under Cover,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Food Crops Grown Under Cover - 111419,0182
111421,Nursery and Tree Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Nursery and Tree Production - 111421,0181
111422,Floriculture Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Floriculture Production - 111422,0181
111910,Tobacco Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Tobacco Farming - 111910,0132
111920,Cotton Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Cotton Farming - 111920,0131
111930,Sugarcane Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Sugarcane Farming - 111930,0133
111940,Hay Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Hay Farming - 111940,0139
