Lower,Upper,AssetsSize,BasePremium Assets,BasePremium Revenue,MinimumRetention,MaximumRetention,RetentionGroup
0,2500000,2.5,5000,5000,0,250000,less than $50
2500000,5000001,2.5 - 5,6500,6500,0,250000,less than $50
5000001,10000001,5.0-10.0,8000,8000,0,250000,less than $50
10000001,15000001,10.0-15.0,11250,11250,0,250000,less than $50
15000001,25000001,15-25,13500,13500,0,250000,less than $50
25000001,50000000,25 - 50,14175,14175,0,250000,less than $50
50000000,50000001,25 - 50,14884,14884,5000,1000000,$50-$150
50000001,75000001,50 - 75,14884,14884,10000,1000000,$50-$150
75000001,100000001,75 - 100,15256,15256,10000,1000000,$50-$150
100000001,150000001,100 - 150,16400,16400,10000,1000000,$50-$150
150000001,250000001,150 - 250,17630,17630,10000,1000000,greater than $150
250000001,350000001,250 - 350,18952,18952,10000,1000000,greater than $150
350000001,450000001,350 - 450,19900,19900,10000,1000000,greater than $150
450000001,550000001,450 - 550,20895,20895,10000,1000000,greater than $150
550000001,1000000000000,over 550,25074,25074,10000,1000000,greater than $150
