Lower,Upper,AssetsSize,BasePremium Assets,BasePremium Revenue
0,500000,0.5,3600,3600
500000,1000000,0.5 - 1,3650,3650
1000000,2000000,1 - 2,3750,3750
2000000,5000000,2 - 5,3850,3850
5000000,7500000,5 - 7.5,4100,4100
7500000,15000000,7.5 - 15,4400,4400
15000000,25000000,15 - 25,4850,4850
25000000,40000000,25 - 40,5300,5300
40000000,60000000,40 - 60,5850,5850
60000000,100000000,60 - 100,6550,6550
100000000,160000000,100 - 160,6950,6950
160000000,250000000,160 - 250,7850,7850
250000000,500000000,250 - 500,8850,8850
500000000,1000000000,500 - 1000,10050,10050
1000000000,1500000000,1000 - 1500,10650,10650
1500000000,2000000000,1500 - 2000,10950,10950
2000000000,2500000000,2000 - 2500,11250,11250
2500000000,3000000000,2500 - 3000,11550,11550
3000000000,4000000000,3000 - 4000,12050,12050
4000000000,5000000000,4000 - 5000,12550,12550
5000000000,6000000000,5000 - 6000,13050,13050
6000000000,7000000000,6000 - 7000,13350,13350
7000000000,8000000000,7000 - 8000,13600,13600
8000000000,9000000000,8000 - 9000,13850,13850
9000000000,999999999999,9000 - 10000,14050,14050
