lookup,EELimitFrom,EELimitTo,ReinstateMultiple,Factor
1000001,100000,250000,1,0.65
1000002,100000,250000,2,1
1000003,100000,250000,3,1
1000004,100000,250000,4,1
1000005,100000,250000,5,1
1000006,100000,250000,6,1
1000007,100000,250000,7,1
1000008,100000,250000,8,1
1000009,100000,250000,9,1
10000010,100000,250000,10,1
2500001,250000,500000,1,0.7
2500002,250000,500000,2,1
2500003,250000,500000,3,1
2500004,250000,500000,4,1
2500005,250000,500000,5,1
2500006,250000,500000,6,1
2500007,250000,500000,7,1
2500008,250000,500000,8,1
2500009,250000,500000,9,1
25000010,250000,500000,10,1
5000001,500000,1000000,1,0.85
5000002,500000,1000000,2,0.9
5000003,500000,1000000,3,1
5000004,500000,1000000,4,1.15
5000005,500000,1000000,5,1.25
5000006,500000,1000000,6,1.3
5000007,500000,1000000,7,1
5000008,500000,1000000,8,1
5000009,500000,1000000,9,1
50000010,500000,1000000,10,1
10000001,1000000,2000000,1,1
10000002,1000000,2000000,2,1.2
10000003,1000000,2000000,3,1.4
10000004,1000000,2000000,4,1.45
10000005,1000000,2000000,5,1.55
10000006,1000000,2000000,6,1.6
10000007,1000000,2000000,7,1.65
10000008,1000000,2000000,8,1.7
10000009,1000000,2000000,9,1.75
100000010,1000000,2000000,10,1.85
20000001,2000000,3000000,1,1.5
20000002,2000000,3000000,2,1.611111111
20000003,2000000,3000000,3,1.722222222
20000004,2000000,3000000,4,1.833333333
20000005,2000000,3000000,5,1
20000006,2000000,3000000,6,1
20000007,2000000,3000000,7,1
20000008,2000000,3000000,8,1
20000009,2000000,3000000,9,1
200000010,2000000,3000000,10,1
30000001,3000000,4000000,1,1.85
30000002,3000000,4000000,2,1
30000003,3000000,4000000,3,1
30000004,3000000,4000000,4,1
30000005,3000000,4000000,5,1
30000006,3000000,4000000,6,1
30000007,3000000,4000000,7,1
30000008,3000000,4000000,8,1
30000009,3000000,4000000,9,1
300000010,3000000,4000000,10,1
40000001,4000000,5000000,1,2.1
40000002,4000000,5000000,2,1
40000003,4000000,5000000,3,1
40000004,4000000,5000000,4,1
40000005,4000000,5000000,5,1
40000006,4000000,5000000,6,1
40000007,4000000,5000000,7,1
40000008,4000000,5000000,8,1
40000009,4000000,5000000,9,1
400000010,4000000,5000000,10,1
50000001,5000000,10000000,1,2.3
50000002,5000000,10000000,2,1
50000003,5000000,10000000,3,1
50000004,5000000,10000000,4,1
50000005,5000000,10000000,5,1
50000006,5000000,10000000,6,1
50000007,5000000,10000000,7,1
50000008,5000000,10000000,8,1
50000009,5000000,10000000,9,1
500000010,5000000,10000000,10,1
100000001,10000000,20000000,1,3.2
100000002,10000000,20000000,2,1
100000003,10000000,20000000,3,1
100000004,10000000,20000000,4,1
100000005,10000000,20000000,5,1
100000006,10000000,20000000,6,1
100000007,10000000,20000000,7,1
100000008,10000000,20000000,8,1
100000009,10000000,20000000,9,1
1000000010,10000000,20000000,10,1
200000001,20000000,25000000,1,4.8
200000002,20000000,25000000,2,1
200000003,20000000,25000000,3,1
200000004,20000000,25000000,4,1
200000005,20000000,25000000,5,1
200000006,20000000,25000000,6,1
200000007,20000000,25000000,7,1
200000008,20000000,25000000,8,1
200000009,20000000,25000000,9,1
2000000010,20000000,25000000,10,1
2000000011,25000000,25000001,10,1
