Lookup Value,EE Limit From,EE Limit To,Agg Limit From,Agg Limit To,Group1,Group2,Group3,Group4,Group5
500000&0,500000,1000000,0,1000000,5000,3750,3750,3750,3750
500000&1000000,500000,1000000,1000000,2000000,5000,3750,3750,3750,3750
500000&2000000,500000,1000000,2000000,3000000,5000,3750,3750,3750,3750
500000&3000000,500000,1000000,3000000,25000000,5000,3750,3750,3750,3750
1000000&1000000,1000000,2000000,1000000,2000000,6000,4500,4500,4500,4500
1000000&2000000,1000000,2000000,2000000,3000000,7000,5250,5250,5250,5250
1000000&3000000,1000000,2000000,3000000,5000000,8000,6000,6000,6000,6000
1000000&5000000,1000000,2000000,5000000,10000000,12000,9000,9000,9000,9000
1000000&10000000,1000000,2000000,10000000,25000000,40000,30000,30000,30000,30000
2000000&2000000,2000000,3000000,2000000,4000000,8000,6000,6000,6000,6000
2000000&4000000,2000000,3000000,4000000,25000000,12000,9000,9000,9000,9000
3000000&3000000,3000000,4000000,3000000,25000000,14000,10500,10500,10500,10500
4000000&4000000,4000000,5000000,4000000,25000000,16000,12000,12000,12000,12000
5000000&5000000,5000000,10000000,5000000,25000000,28000,21000,21000,21000,21000
10000000&10000000,10000000,25000000,10000000,25000000,80000,60000,60000,60000,60000
