Lower,Upper,DORetAssetsType,RetentionLower,RetentionUpper,<$50 - Lower Rate,<$50 - Upper Rate,$50-$150 - Lower Rate,$50-$150 - Upper Rate,> $150 - Lower Rate,> $150 - Upper Rate
0,5000,less than $50 D,0,5000,1.3,1.2,0,1.6,0,0
5000,10000,less than $50 D,5000,10000,1.2,1.1,1.6,1.45,0,2.25
10000,15000,less than $50 D,10000,15000,1.1,1,1.45,1.3,2.25,2
15000,20000,less than $50 D,15000,20000,1,0.95,1.3,1.25,2,1.75
20000,25000,less than $50 D,20000,25000,0.95,0.9,1.25,1.15,1.75,1.6
25000,30000,less than $50 D,25000,30000,0.9,0.85,1.15,1.1,1.6,1.5
30000,35000,less than $50 D,30000,35000,0.85,0.8,1.1,1,1.5,1.4
35000,40000,less than $50 D,35000,40000,0.8,0.75,1,0.95,1.4,1.3
40000,50000,less than $50 D,40000,50000,0.75,0.7,0.95,0.9,1.3,1.2
50000,75000,less than $50 D,50000,75000,0.7,0.6,0.9,0.85,1.2,1
75000,100000,less than $50 D,75000,100000,0.6,0.5,0.85,0.8,1,0.9
100000,250000,less than $50 D,100000,250000,0.5,0.4,0.8,0.7,0.9,0.8
250000,500000,less than $50 D,250000,500000,0.4,0.4,0.7,0.55,0.8,0.75
500000,1000000,less than $50 D,500000,1000000,0,0,0.55,0.45,0.75,0.6
1000000,1000000000,less than $50 D,1000000,1000000000,0,0,0.45,0,0.6,0
