state,is_approved,allows_rounding,allows_program_factor_range,allows_program_factor,erp_a_rating,program_min,program_max
AL,True,True,True,True,True,0.75,1
AK,False,True,True,True,True,0.75,1
AZ,True,True,True,True,True,0.75,1
AR,True,True,True,True,True,0.75,1
CA,True,True,True,True,True,0.75,1
CO,True,True,True,True,True,0.75,1
CT,True,True,True,True,True,0.75,1
DE,True,True,True,True,True,0.75,1
DC,True,False,True,True,True,0.75,1
FL,True,False,False,True,False,0.85,1
GA,True,True,True,True,True,0.75,1
HI,True,True,False,True,True,0.85,0.85
ID,True,True,True,True,True,0.75,1
IL,True,True,True,True,True,0.75,1
IN,True,False,True,True,True,0.75,1
IA,True,True,True,True,True,0.75,1
KS,True,True,True,True,True,0.75,1
KY,True,True,True,True,True,0.75,1
LA,False,True,True,True,True,0.75,1
ME,True,True,True,True,False,0.75,1
MD,True,False,False,True,False,0.85,0.85
MA,True,True,True,True,True,0.75,1
MI,True,True,True,True,True,0.75,1
MN,True,True,True,True,True,0.75,1
MS,True,True,False,True,True,0.85,0.85
MO,True,False,False,True,False,0.85,0.85
MT,True,True,True,True,True,0.75,1
NE,True,True,True,True,True,0.75,1
NV,True,True,True,True,True,0.75,1
NH,True,True,True,True,True,0.75,1
NJ,True,True,True,True,True,0.75,1
NM,False,True,True,True,True,0.75,1
NY,False,True,True,True,True,0.75,1
NYFTZ,False,True,True,True,True,0.75,1
NC,True,True,True,True,False,0.75,1
ND,True,True,True,True,True,0.75,1
OH,True,True,True,True,True,0.75,1
OK,True,True,True,True,False,0.75,1
OR,True,True,True,True,True,0.75,1
PA,True,True,True,True,True,0.75,1
RI,True,True,True,True,True,0.75,1
SC,True,True,True,True,True,0.75,1
SD,True,True,True,True,False,0.75,1
TN,True,True,True,False,False,0,0
TX,True,True,True,True,False,0.75,1
UT,True,True,True,True,True,0.75,1
VT,False,True,True,True,True,0.75,1
VA,True,True,True,True,False,0.75,1
WA,True,False,False,True,True,0.75,0.75
WV,True,True,True,True,True,0.75,1
WI,True,True,True,True,True,0.75,1
WY,False,True,True,True,True,0.75,1
Surplus,True,True,True,True,True,0.75,1
