Attachment Point,Below Average,Average,Above Average
0,0,0,0
10000,0.0114,0.0101,0.01
15000,0.0171,0.0152,0.015
20000,0.0227,0.0202,0.02
25000,0.0284,0.0253,0.025
50000,0.0568,0.0505,0.05
100000,0.1135,0.101,0.1
250000,0.2806,0.2525,0.2501
500000,0.543,0.5041,0.5001
1000000,1,1,1
2000000,1.6962,1.945,1.9972
3000000,2.1986,2.8173,2.9877
4000000,2.5784,3.618,3.9683
5000000,2.8754,4.3533,4.9364
10000000,3.7262,7.2646,9.5509
15000000,4.1202,9.312,13.7607
20000000,4.3397,10.8305,17.585
25000000,4.4756,12.0006,21.0641
30000000,4.5659,12.9284,24.2387
35000000,4.6289,13.6806,27.1458
40000000,4.6746,14.3014,29.8174
45000000,4.7087,14.8211,32.2809
50000000,4.7348,15.2617,34.5598
60000000,4.7714,15.9652,38.6413
70000000,4.7951,16.4985,42.1914
80000000,4.8113,16.9137,45.3074
90000000,4.8227,17.244,48.0641
100000000,4.831,17.5113,50.5195
125000000,4.8439,17.9937,55.6211
150000000,4.8508,18.3094,59.6163
175000000,4.8548,18.5272,62.8212
200000000,4.8574,18.6835,65.4417
250000000,4.8602,18.887,69.4494
300000000,4.8615,19.0089,72.3462
400000000,4.8627,19.1395,76.1916
500000000,4.8632,19.2028,78.5721
600000000,4.8634,19.2374,80.152
