StateCode,StateName,ZIP,County
AL,Alabama,35004,St Clair
AL,Alabama,35005,Jefferson
AL,Alabama,35006,Jefferson
AL,Alabama,35007,Shelby
AL,Alabama,35010,Tallapoosa
AL,Alabama,35011,Tallapoosa
AL,Alabama,35013,Blount
AL,Alabama,35014,Talladega
AL,Alabama,35015,Jefferson
AL,Alabama,35016,Marshall
AL,Alabama,35019,Cullman
AL,Alabama,35020,Jefferson
AL,Alabama,35021,Jefferson
AL,Alabama,35022,Jefferson
AL,Alabama,35023,Jefferson
AL,Alabama,35031,Blount
AL,Alabama,35032,Talladega
AL,Alabama,35033,Cullman
AL,Alabama,35034,Bibb
AL,Alabama,35035,Bibb
AL,Alabama,35036,Jefferson
AL,Alabama,35038,Walker
AL,Alabama,35040,Shelby
AL,Alabama,35041,Jefferson
AL,Alabama,35042,Bibb
AL,Alabama,35043,Shelby
AL,Alabama,35044,Talladega
AL,Alabama,35045,Chilton
AL,Alabama,35046,Chilton
AL,Alabama,35048,Jefferson
AL,Alabama,35049,Blount
AL,Alabama,35051,Shelby
AL,Alabama,35052,St. Clair
AL,Alabama,35053,Cullman
AL,Alabama,35054,St Clair
AL,Alabama,35055,Cullman
AL,Alabama,35056,Cullman
AL,Alabama,35057,Cullman
AL,Alabama,35058,Cullman
AL,Alabama,35060,Jefferson
AL,Alabama,35061,Jefferson
AL,Alabama,35062,Jefferson
AL,Alabama,35063,Walker
AL,Alabama,35064,Jefferson
AL,Alabama,35068,Jefferson
AL,Alabama,35070,Cullman
AL,Alabama,35071,Jefferson
AL,Alabama,35072,Coosa
AL,Alabama,35073,Jefferson
AL,Alabama,35074,Bibb
AL,Alabama,35077,Cullman
AL,Alabama,35078,Shelby
AL,Alabama,35079,Blount
AL,Alabama,35080,Shelby
AL,Alabama,35082,Clay
AL,Alabama,35083,Cullman
AL,Alabama,35085,Chilton
AL,Alabama,35087,Cullman
AL,Alabama,35089,Coosa
AL,Alabama,35091,Jefferson
AL,Alabama,35094,Jefferson
AL,Alabama,35096,Talladega
AL,Alabama,35097,Blount
AL,Alabama,35098,Cullman
AL,Alabama,35111,Tuscaloosa
AL,Alabama,35112,St Clair
AL,Alabama,35114,Shelby
AL,Alabama,35115,Shelby
AL,Alabama,35116,Jefferson
AL,Alabama,35117,Jefferson
AL,Alabama,35118,Jefferson
AL,Alabama,35119,Jefferson
AL,Alabama,35120,St Clair
AL,Alabama,35121,Blount
AL,Alabama,35123,Jefferson
AL,Alabama,35124,Shelby
AL,Alabama,35125,St Clair
AL,Alabama,35126,Jefferson
AL,Alabama,35127,Jefferson
AL,Alabama,35128,St Clair
AL,Alabama,35130,Walker
AL,Alabama,35131,St Clair
AL,Alabama,35133,Blount
AL,Alabama,35135,St Clair
AL,Alabama,35136,Coosa
AL,Alabama,35137,Shelby
AL,Alabama,35139,Jefferson
AL,Alabama,35142,Jefferson
AL,Alabama,35143,Shelby
AL,Alabama,35144,Shelby
AL,Alabama,35146,St Clair
AL,Alabama,35147,Shelby
AL,Alabama,35148,Walker
AL,Alabama,35149,Talladega
AL,Alabama,35150,Talladega
AL,Alabama,35151,Talladega
AL,Alabama,35160,Talladega
AL,Alabama,35161,Talladega
AL,Alabama,35171,Chilton
AL,Alabama,35172,Blount
AL,Alabama,35173,Jefferson
AL,Alabama,35175,Marshall
AL,Alabama,35176,Shelby
AL,Alabama,35178,Shelby
AL,Alabama,35179,Cullman
AL,Alabama,35180,Jefferson
AL,Alabama,35181,Jefferson
AL,Alabama,35182,St Clair
AL,Alabama,35183,Coosa
AL,Alabama,35184,Bibb
AL,Alabama,35185,Shelby
AL,Alabama,35186,Shelby
AL,Alabama,35187,Chilton
AL,Alabama,35188,Bibb
AL,Alabama,35201,Jefferson
AL,Alabama,35202,Jefferson
AL,Alabama,35203,Jefferson
AL,Alabama,35204,Jefferson
AL,Alabama,35205,Jefferson
AL,Alabama,35206,Jefferson
AL,Alabama,35207,Jefferson
AL,Alabama,35208,Jefferson
AL,Alabama,35209,Jefferson
AL,Alabama,35210,Jefferson
AL,Alabama,35211,Jefferson
